encoding,grid_cols,grid_rows,grid_label,grid_area,episodes,avg_reward,std_reward,avg_score,std_score,avg_steps,win_rate,total_wins
basic,3,3,3x3,9,500,1257.4257158723717,1256.4946753788474,7.634,1.5207463097694347,37.874,79.4,397
basic,5,5,5x5,25,500,3022.055139419446,2496.8835656203214,13.938,7.835364821357558,135.518,6.800000000000001,34
basic,8,8,8x8,64,500,6885.68015631203,4489.2314375061205,22.084,10.099551766874784,250.806,0.0,0
basic,10,10,10x10,100,500,4810.498768807329,7499.083073768048,16.716,14.809388237193323,505.722,0.0,0
bodyaware,3,3,3x3,9,500,1412.6800719221342,1354.4291193045374,8.042,0.9391485505499121,19.174,90.8,454
bodyaware,5,5,5x5,25,500,2775.5860561539516,2502.128385285518,13.154,7.633795495514315,97.912,6.2,31
bodyaware,8,8,8x8,64,500,5705.616790649089,5341.35479323039,21.482,8.178964906017614,265.922,0.0,0
bodyaware,10,10,10x10,100,500,2131.4570442385457,11050.714403895885,20.88,8.381294183141932,814.534,0.0,0
distance,3,3,3x3,9,500,571.7578280556573,1234.2426680954884,4.264,4.081129161207829,37.196,49.4,247
distance,5,5,5x5,25,500,3289.156473259496,2115.0216523226177,14.932,6.814414758216142,98.596,3.0,15
distance,8,8,8x8,64,500,3987.012437047265,4993.859808623306,14.438,12.761499431315697,275.066,0.0,0
distance,10,10,10x10,100,500,1311.8101654874756,6447.9953029216795,10.484,12.53682927124529,629.986,0.0,0
localgrid,3,3,3x3,9,500,-32.322417010674386,414.3352621578698,1.836,2.495106232251533,51.422,6.4,32
localgrid,5,5,5x5,25,500,4811.2849618533655,2430.607270437803,20.204,3.962042346961759,261.52,23.200000000000003,116
localgrid,8,8,8x8,64,500,7881.090082000182,6009.015963526125,23.108,12.164221000339076,266.98,0.0,0
localgrid,10,10,10x10,100,500,9088.59437858441,7591.283168362673,24.594,14.084100531292405,371.944,0.0,0
raycasting,3,3,3x3,9,500,237.24542373089932,796.872837224683,3.154,3.471366412457649,54.66,23.799999999999997,119
raycasting,5,5,5x5,25,500,3671.104161022147,2768.5349270765482,17.302,7.3832120137023365,350.374,22.0,110
raycasting,8,8,8x8,64,500,2253.0361608508792,5629.488710419358,10.424,13.18924320317679,460.928,0.0,0
raycasting,10,10,10x10,100,500,-975.733380923689,4641.90719375879,4.314,9.221794129883184,761.704,0.0,0
