encoding,food_count,food_pattern,grid,episode,reward,score,steps,win
basic,1,uniform,7x7,0,5761.945510222336,21,165,0
basic,1,uniform,7x7,1,4433.820759498168,19,140,0
basic,1,uniform,7x7,2,8795.03638605692,27,223,0
basic,1,uniform,7x7,3,3346.658480069067,16,118,0
basic,1,uniform,7x7,4,-558.278529697413,5,588,0
basic,1,uniform,7x7,5,5766.587959201928,21,203,0
basic,1,uniform,7x7,6,6216.321141586868,22,124,0
basic,1,uniform,7x7,7,6674.467259308366,23,189,0
basic,1,uniform,7x7,8,9373.100848017746,28,267,0
basic,1,uniform,7x7,9,7184.664774933998,24,169,0
basic,1,center_biased,7x7,0,8782.789039118143,27,161,0
basic,1,center_biased,7x7,1,4057.4496795936266,18,127,0
basic,1,center_biased,7x7,2,4437.476065620616,19,141,0
basic,1,center_biased,7x7,3,2159.967594899106,13,80,0
basic,1,center_biased,7x7,4,4053.115597960972,18,135,0
basic,1,center_biased,7x7,5,7693.274382061948,25,211,0
basic,1,center_biased,7x7,6,7178.767019831958,24,145,0
basic,1,center_biased,7x7,7,5341.723191940122,20,135,0
basic,1,center_biased,7x7,8,3356.4646025180464,16,93,0
basic,1,center_biased,7x7,9,10621.962089817767,30,190,0
basic,1,edge_biased,7x7,0,4426.31177990633,19,181,0
basic,1,edge_biased,7x7,1,-489.217803014439,10,1078,0
basic,1,edge_biased,7x7,2,6683.054810328773,23,163,0
basic,1,edge_biased,7x7,3,7693.377035123177,25,209,0
basic,1,edge_biased,7x7,4,1906.7341531568063,12,87,0
basic,1,edge_biased,7x7,5,5769.330204099887,21,175,0
basic,1,edge_biased,7x7,6,9382.199623527946,28,226,0
basic,1,edge_biased,7x7,7,5339.798906225834,20,126,0
basic,1,edge_biased,7x7,8,-666.6981002541727,7,784,0
basic,1,edge_biased,7x7,9,7690.925198388478,25,225,0
basic,1,corners,7x7,0,8237.370295149834,26,223,0
basic,1,corners,7x7,1,8230.443356374324,26,191,0
basic,1,corners,7x7,2,9994.385515495891,29,229,0
basic,1,corners,7x7,3,66.01621199789989,2,15,0
basic,1,corners,7x7,4,8789.283324832431,27,243,0
basic,1,corners,7x7,5,-557.7963265306121,1,294,0
basic,1,corners,7x7,6,8788.638426873245,27,223,0
basic,1,corners,7x7,7,9385.41411332386,28,187,0
basic,1,corners,7x7,8,11954.724458457624,32,307,0
basic,1,corners,7x7,9,5343.00951847073,20,183,0
basic,2,uniform,7x7,0,6215.042161995034,22,132,0
basic,2,uniform,7x7,1,10622.07270206266,30,142,0
basic,2,uniform,7x7,2,5345.725436838077,20,91,0
basic,2,uniform,7x7,3,11271.535887029057,31,177,0
basic,2,uniform,7x7,4,10618.887804103479,30,191,0
basic,2,uniform,7x7,5,13389.433773904184,34,199,0
basic,2,uniform,7x7,6,8215.324989027382,26,166,0
basic,2,uniform,7x7,7,14139.5886979773,35,176,0
basic,2,uniform,7x7,8,14143.701351038524,35,168,0
basic,2,uniform,7x7,9,-546.9963265306122,1,294,0
basic,2,center_biased,7x7,0,5766.483265324376,21,90,0
basic,2,center_biased,7x7,1,8231.296009435546,26,119,0
basic,2,center_biased,7x7,2,18277.18139419698,40,236,0
basic,2,center_biased,7x7,3,568.7577784342081,6,28,0
basic,2,center_biased,7x7,4,2442.504061696595,14,75,0
basic,2,center_biased,7x7,5,5333.5258450013425,20,118,0
basic,2,center_biased,7x7,6,10623.277395940213,30,180,0
basic,2,center_biased,7x7,7,10625.212293899394,30,131,0
basic,2,center_biased,7x7,8,7177.967836158488,24,124,0
basic,2,center_biased,7x7,9,8229.196213517185,26,145,0
basic,2,edge_biased,7x7,0,-537.3697959183673,1,294,0
basic,2,edge_biased,7x7,1,6681.688075634896,23,116,0
basic,2,edge_biased,7x7,2,7174.784774933998,24,127,0
basic,2,edge_biased,7x7,3,1049.6587961067962,9,41,0
basic,2,edge_biased,7x7,4,66.10192628361418,2,10,0
basic,2,edge_biased,7x7,5,8798.115365648755,27,175,0
basic,2,edge_biased,7x7,6,4056.4453938793395,18,126,0
basic,2,edge_biased,7x7,7,12665.020270667286,33,163,0
basic,2,edge_biased,7x7,8,7694.597035123173,25,147,0
basic,2,edge_biased,7x7,9,9988.185107332627,29,202,0
basic,2,corners,7x7,0,237.0688647805465,4,29,0
