encoding,food_count,food_pattern,grid,episode,reward,score,steps,win
basic,1,uniform,6x6,0,4051.1103768725334,18,144,0
basic,1,uniform,6x6,1,2436.607939247614,14,74,0
basic,1,uniform,6x6,2,6690.967865884325,23,101,0
basic,1,uniform,6x6,3,4432.979393285011,19,153,0
basic,1,uniform,6x6,4,-325.9916666666667,1,216,0
basic,1,uniform,6x6,5,5761.465487546597,21,129,0
basic,1,uniform,6x6,6,-353.5472222222222,1,216,0
basic,1,uniform,6x6,7,7178.929593528096,24,173,0
basic,1,uniform,6x6,8,5771.4232653243735,21,116,0
basic,1,uniform,6x6,9,3685.913045549764,17,107,0
basic,1,uniform,6x6,10,4046.8103768725323,18,104,0
basic,1,uniform,6x6,11,7687.403355984843,25,172,0
basic,1,uniform,6x6,12,5342.831122779116,20,129,0
basic,1,uniform,6x6,13,4052.638710205868,18,122,0
basic,1,uniform,6x6,14,6679.455365884323,23,156,0
basic,1,uniform,6x6,15,7687.419189318179,25,200,0
basic,1,uniform,6x6,16,-371.1861111111111,1,216,0
basic,1,uniform,6x6,17,5767.356043102149,21,148,0
basic,1,uniform,6x6,18,9374.963512416833,28,226,0
basic,1,uniform,6x6,19,4428.966337729458,19,150,0
basic,1,uniform,6x6,20,5337.321956112451,20,152,0
basic,1,uniform,6x6,21,-321.45184383623354,4,360,0
basic,1,uniform,6x6,22,7176.280149083652,24,181,0
basic,1,uniform,6x6,23,2437.022383692059,14,57,0
basic,1,uniform,6x6,24,3689.3930455497643,17,124,0
basic,1,uniform,6x6,25,-440.0433333333333,0,216,0
basic,1,uniform,6x6,26,-361.475,1,216,0
basic,1,uniform,6x6,27,5342.715845001339,20,139,0
basic,1,uniform,6x6,28,3693.584712216431,17,154,0
basic,1,uniform,6x6,29,3031.281783941289,15,126,0
basic,1,uniform,6x6,30,-440.0433333333333,0,216,0
basic,1,uniform,6x6,31,8791.925257939005,27,180,0
basic,1,uniform,6x6,32,7179.303760194762,24,161,0
basic,1,uniform,6x6,33,-440.0433333333333,0,216,0
basic,1,uniform,6x6,34,8789.848591272337,27,206,0
basic,1,uniform,6x6,35,1668.8155209163265,11,68,0
basic,1,uniform,6x6,36,5346.069178334672,20,152,0
basic,1,uniform,6x6,37,9379.825734639051,28,222,0
basic,1,uniform,6x6,38,-459.5433333333332,0,216,0
