encoding,food_count,food_pattern,grid,episodes,avg_reward,std_reward,avg_score,std_score,avg_steps,win_rate,total_wins
basic,1,center_biased,6x6,10,4351.103751003007,1506.5878715200445,18.2,3.2930904093942583,110.9,0.0,0
basic,1,corners,6x6,10,6247.069108835406,2318.792557666585,21.8,5.287301349039561,153.1,0.0,0
basic,1,edge_biased,6x6,10,5258.216047147306,3681.7803937233543,18.3,10.06699778704875,157.0,0.0,0
basic,1,uniform,6x6,10,5565.236699532726,1982.3412075633169,20.4,4.623610902506587,133.9,0.0,0
basic,2,center_biased,6x6,10,6270.9124181933485,2792.397751553451,21.4,7.105553383719588,77.7,0.0,0
basic,2,corners,6x6,10,5547.749836333173,2698.609064223861,20.2,5.808040403899867,90.9,0.0,0
basic,2,edge_biased,6x6,10,4836.396723841023,3486.5048272084805,17.9,8.812238963825003,142.0,0.0,0
basic,2,uniform,6x6,10,5145.350288206484,3183.273678271217,18.8,7.509993342207435,78.9,0.0,0
basic,3,center_biased,6x6,10,5016.029634161596,3048.8210271543844,18.8,7.420691791650335,61.1,0.0,0
basic,3,corners,6x6,10,7421.261007001114,2816.959985083168,24.1,5.321862664727663,77.3,0.0,0
basic,3,edge_biased,6x6,10,5969.042984170029,3265.369209781667,20.8,7.714344503009385,70.9,0.0,0
basic,3,uniform,6x6,10,6342.551165512121,3491.0222602330296,21.4,8.707595662536372,88.8,0.0,0
basic,5,center_biased,6x6,10,6826.5606792353965,4009.0582092380782,22.3,8.260347046785222,48.8,0.0,0
basic,5,corners,6x6,10,8349.488627137414,4506.68569686335,24.6,10.415799963943666,55.4,0.0,0
basic,5,edge_biased,6x6,10,7552.0083446606095,1854.1990790989994,24.5,3.3416562759605704,59.8,0.0,0
basic,5,uniform,6x6,10,5540.057229801825,3908.701144762705,19.0,9.83192080250175,48.8,0.0,0
basic,8,center_biased,6x6,10,8030.576618831454,3712.2863103397726,25.0,7.102425250887505,40.3,0.0,0
basic,8,corners,6x6,10,6069.084247741314,3563.8238798994375,20.6,8.64355893779357,36.4,0.0,0
basic,8,edge_biased,6x6,10,6767.618809258725,3711.607175402374,22.0,8.844332774281067,40.3,0.0,0
basic,8,uniform,6x6,10,6817.58555945409,3189.2905403699165,22.4,7.229568912920512,41.6,0.0,0
bodyaware,1,center_biased,6x6,10,4004.9993206355116,1500.1235941471973,18.3,2.2632326929023936,362.6,0.0,0
bodyaware,1,corners,6x6,10,6403.546724935072,3667.594032635185,21.3,8.882567196480982,152.5,0.0,0
bodyaware,1,edge_biased,6x6,10,5615.363608681905,2922.350208760677,20.6,6.1137368096588665,209.8,0.0,0
bodyaware,1,uniform,6x6,10,6265.1045400726025,2405.4150338730333,22.0,4.78423336480244,150.0,0.0,0
bodyaware,2,center_biased,6x6,10,6354.367578050794,2358.419474876552,22.2,4.756282395129858,90.0,0.0,0
bodyaware,2,corners,6x6,10,7064.851906384967,4510.296135580586,22.1,10.514011814927946,101.4,0.0,0
bodyaware,2,edge_biased,6x6,10,6531.175319352713,3580.350200403187,21.5,8.784455968736292,113.3,0.0,0
bodyaware,2,uniform,6x6,10,5362.687348008055,3598.7033942412063,19.9,7.709301740970666,211.0,0.0,0
bodyaware,3,center_biased,6x6,10,6054.61080128522,2549.5016845986415,21.3,5.657836257007719,61.0,0.0,0
bodyaware,3,corners,6x6,10,6805.188867555783,6806.991862121641,20.5,7.137537701787953,65.3,10.0,1
bodyaware,3,edge_biased,6x6,10,6599.56122826301,3205.3719412298774,22.0,7.586537784494028,77.1,0.0,0
bodyaware,3,uniform,6x6,10,6459.696461279103,3255.466527560595,22.0,6.666666666666667,70.8,0.0,0
bodyaware,5,center_biased,6x6,10,6959.417334059814,4574.409892909561,22.5,8.910044269749106,53.0,0.0,0
bodyaware,5,corners,6x6,10,6447.801805117631,3355.811142435005,21.8,7.554248252914824,48.7,0.0,0
bodyaware,5,edge_biased,6x6,10,7744.14006034117,3551.5739219701695,24.5,6.536223850375859,54.0,10.0,1
bodyaware,5,uniform,6x6,10,7965.853785105571,2501.521013457665,25.2,4.541169697580373,57.8,0.0,0
bodyaware,8,center_biased,6x6,10,5231.601785979359,2504.0158999714095,19.7,5.457919831665622,33.5,0.0,0
bodyaware,8,corners,6x6,10,6514.816195710063,3353.6222831210907,21.6,8.315981935740094,37.5,0.0,0
bodyaware,8,edge_biased,6x6,10,5873.5285084669895,2344.4888772803574,20.9,5.526702854726717,36.7,0.0,0
bodyaware,8,uniform,6x6,10,4721.116402419061,3592.396980982507,18.0,7.944250191875324,32.8,0.0,0
distance,1,center_biased,6x6,10,5132.271061148721,2176.8687947800786,19.9,4.280446497997869,114.2,0.0,0
distance,1,corners,6x6,10,5656.724872181416,1461.0874330816764,20.9,2.8460498941515415,149.4,0.0,0
distance,1,edge_biased,6x6,10,6201.64404875872,1535.6133411291487,22.0,2.9439202887759492,155.2,0.0,0
distance,1,uniform,6x6,10,5552.864633301578,1776.7746973125509,20.8,3.521363372331801,125.7,0.0,0
distance,2,center_biased,6x6,10,5012.60378251136,2357.1798227903673,19.2,5.3499740393970345,67.6,0.0,0
distance,2,corners,6x6,10,6145.852066917198,2711.723761775232,20.9,7.837941906733765,113.4,0.0,0
distance,2,edge_biased,6x6,10,8066.754466640958,2132.6496655949054,25.5,3.865804501581067,102.7,0.0,0
distance,2,uniform,6x6,10,5268.71658873815,3114.7085865255162,18.9,8.491171886141512,98.9,0.0,0
distance,3,center_biased,6x6,10,7125.966381682154,2618.4857651942416,23.6,4.9035134795822115,60.1,0.0,0
distance,3,corners,6x6,10,6975.338837665647,3489.714458731063,22.4,9.008637830191397,95.1,0.0,0
distance,3,edge_biased,6x6,10,6618.009979579653,3268.0341419190977,21.8,8.560892995995738,90.3,0.0,0
distance,3,uniform,6x6,10,7753.365551245563,1711.877992885818,24.9,3.2472210341220142,80.3,0.0,0
distance,5,center_biased,6x6,10,7248.932533957857,3014.486823731276,23.8,5.593647190240809,48.9,0.0,0
distance,5,corners,6x6,10,7953.3432852788565,1627.5634675970214,25.3,3.0568684048294332,55.6,0.0,0
distance,5,edge_biased,6x6,10,8420.454762294723,2648.5797382056785,25.9,4.794672969962486,58.6,0.0,0
distance,5,uniform,6x6,10,8522.116056277802,2212.563202972563,26.3,4.056544780420347,56.9,0.0,0
distance,8,center_biased,6x6,10,8027.992078811042,2211.357960366178,25.4,4.033195589934446,41.2,0.0,0
distance,8,corners,6x6,10,7986.898434050224,2467.350007902003,25.2,4.779586221049312,42.3,0.0,0
distance,8,edge_biased,6x6,10,7090.8322743571825,3151.8698431287276,22.7,8.57710129744698,59.2,0.0,0
distance,8,uniform,6x6,10,8281.218605628383,2916.9009731332244,25.7,4.98998997994986,43.8,10.0,1
localgrid,1,center_biased,6x6,10,10411.202832487734,8106.263407308335,25.5,6.72061505121865,154.2,20.0,2
localgrid,1,corners,6x6,10,9121.681455978196,8770.743923225877,23.3,8.152027695951208,362.6,20.0,2
localgrid,1,edge_biased,6x6,10,9433.867948168863,8972.594844922587,22.6,10.72069649478677,165.7,20.0,2
localgrid,1,uniform,6x6,10,6114.95986318982,3173.5083087391076,21.9,9.048634028281715,581.3,0.0,0
localgrid,2,center_biased,6x6,10,9622.331137835139,3720.2174635816705,27.7,6.9610024820822725,109.8,0.0,0
localgrid,2,corners,6x6,10,8803.32014720977,3468.70621355948,27.0,6.073622386096199,340.2,0.0,0
localgrid,2,edge_biased,6x6,10,10601.331656888904,6182.733622813605,28.8,6.696599468718765,567.6,10.0,1
localgrid,2,uniform,6x6,10,11320.420426525874,7702.715702868492,27.7,6.201254353399444,320.4,20.0,2
localgrid,3,center_biased,6x6,10,8414.703829103917,3386.82699944509,25.8,6.142746399887703,69.7,0.0,0
localgrid,3,corners,6x6,10,8104.244262120381,3043.792967546346,25.4,5.3374983736661585,82.2,0.0,0
localgrid,3,edge_biased,6x6,10,9518.052045464197,4556.612555480708,26.7,10.252912865240893,100.0,0.0,0
localgrid,3,uniform,6x6,10,10368.428647131583,6698.754113424516,27.0,8.096638534327413,87.0,10.0,1
localgrid,5,center_biased,6x6,10,7705.763999038041,4432.026210852943,23.4,10.394442959795606,70.9,0.0,0
localgrid,5,corners,6x6,10,8299.611317617127,3834.6555667013895,24.9,9.12201244852862,57.1,0.0,0
localgrid,5,edge_biased,6x6,10,8207.790781379092,3786.3749860629846,24.7,9.20205291105076,59.2,0.0,0
localgrid,5,uniform,6x6,10,7716.856652576625,3697.0462495100314,24.4,7.105553383719588,52.9,0.0,0
localgrid,8,center_biased,6x6,10,5964.5257358255985,2888.2627385107407,21.4,5.738757124441958,35.0,0.0,0
localgrid,8,corners,6x6,10,9970.730996520724,1888.197896572892,28.8,3.084008934992101,48.4,0.0,0
localgrid,8,edge_biased,6x6,10,5976.08121578027,3705.514864610536,20.3,8.994442728707543,36.1,0.0,0
localgrid,8,uniform,6x6,10,8097.962882217071,4109.801722779936,24.5,9.204467514322717,41.4,0.0,0
raycasting,1,center_biased,6x6,10,5730.36762071195,3737.303423485478,19.2,10.757942802103631,192.1,0.0,0
raycasting,1,corners,6x6,10,5090.323168902015,4213.401679251867,17.0,12.156388352540313,223.9,0.0,0
raycasting,1,edge_biased,6x6,10,2379.5077192440313,3721.4609992069654,9.6,11.587349423689039,220.6,0.0,0
raycasting,1,uniform,6x6,10,1887.5494645091633,3486.74111204208,8.5,10.458914326491488,243.8,0.0,0
