encoding,food_count,food_pattern,grid,episodes,avg_reward,std_reward,avg_score,std_score,avg_steps,win_rate,total_wins
basic,1,center_biased,6x6,200,3780.7907761208307,2994.7061445257614,15.22,8.951662488417034,184.02,0.0,0
basic,1,corners,6x6,200,3481.1683766139263,3637.189186589259,13.13,10.907703238984308,188.79,0.0,0
basic,1,edge_biased,6x6,200,3683.8579886807593,3468.168336928963,13.965,10.518410516755608,185.555,0.0,0
basic,1,uniform,6x6,200,4136.369262032023,3303.8257400132975,15.72,9.653889782864649,178.58,0.0,0
basic,2,center_biased,6x6,200,5775.366764484178,3420.2191553101216,20.04,8.167738964915257,117.86,0.5,1
basic,2,corners,6x6,200,4969.175680300463,3909.348554245749,17.095,10.992732866735048,139.45,0.0,0
basic,2,edge_biased,6x6,200,5438.921552988452,4273.059215030484,18.045,10.831416013814707,143.265,1.0,2
basic,2,uniform,6x6,200,5183.697902393029,3737.4186268793474,17.865,10.359700379827549,131.585,0.0,0
basic,3,center_biased,6x6,200,6127.932889354009,3173.8621719641137,20.965,7.612062300212182,77.305,0.5,1
basic,3,corners,6x6,200,5594.311964762934,3831.5880311867445,18.755,10.505082521997144,112.885,0.0,0
basic,3,edge_biased,6x6,200,5360.710011534688,3938.6245521639826,18.09,10.846202123439914,115.31,0.0,0
basic,3,uniform,6x6,200,6187.582921784583,3478.9129768626003,20.66,8.959114277829931,98.67,0.0,0
basic,5,center_biased,6x6,200,6928.12062251236,2592.93086961761,23.08,5.5232355239720095,52.31,0.0,0
basic,5,corners,6x6,200,6616.757067003089,3461.537638847395,21.505,9.012552664347552,74.88,0.5,1
basic,5,edge_biased,6x6,200,6665.098094988893,3667.58509397798,21.525,9.24862477893376,77.375,0.5,1
basic,5,uniform,6x6,200,6998.39224161898,3312.22097657349,22.59,8.138369942846857,75.69,0.0,0
basic,8,center_biased,6x6,200,7052.113104792741,2608.355975304045,23.335,5.305991209337596,37.995,0.0,0
basic,8,corners,6x6,200,7349.1571145099415,3270.1288141544787,23.37,7.670546684048066,49.565,1.5,3
basic,8,edge_biased,6x6,200,7167.604013108361,3496.5199311831857,22.795,8.07147561434493,50.53,0.5,1
basic,8,uniform,6x6,200,7421.501453733472,3264.202802978097,23.6,6.95354289509814,48.125,0.5,1
bodyaware,1,center_biased,6x6,200,4146.2256324525315,2770.797509719707,16.61,7.6143147390112285,122.28,0.0,0
bodyaware,1,corners,6x6,200,3079.752076324963,3260.323399422235,12.615,9.793689640984113,145.02,0.0,0
bodyaware,1,edge_biased,6x6,200,3555.875607774959,3687.223911143387,13.795,9.944720323445893,147.1,0.5,1
bodyaware,1,uniform,6x6,200,3921.5958323666873,3915.4669837386255,14.515,10.56969095263295,159.9,0.5,1
bodyaware,2,center_biased,6x6,200,4688.340755330627,3091.7800485205594,17.845,7.688075671953838,75.39,0.0,0
bodyaware,2,corners,6x6,200,3730.629085369046,3671.4703993847984,14.785,8.943079354546091,85.705,1.0,2
bodyaware,2,edge_biased,6x6,200,4284.600838687005,3704.646679898336,16.255,8.8522191522577,89.135,0.5,1
bodyaware,2,uniform,6x6,200,4640.147013781928,3507.0779243828974,17.335,8.350534842799231,90.925,0.5,1
bodyaware,3,center_biased,6x6,200,5050.802530874549,3220.478094802118,18.585,7.882476908374375,64.7,0.0,0
bodyaware,3,corners,6x6,200,4595.608653946442,3966.789616641742,17.13,8.419473718020754,71.035,1.0,2
bodyaware,3,edge_biased,6x6,200,4398.27871705027,3773.8133816652676,16.71,8.542880311704037,76.135,1.0,2
bodyaware,3,uniform,6x6,200,4372.214051907028,3301.8982342273453,16.965,8.028452856957058,67.795,0.0,0
bodyaware,5,center_biased,6x6,200,5813.689026163516,3443.646298925824,20.475,6.849375498804112,43.875,0.5,1
bodyaware,5,corners,6x6,200,4499.236866310417,3604.0496440053857,17.115,8.370309756940639,43.85,0.0,0
bodyaware,5,edge_biased,6x6,200,4831.8070669403705,3517.433065448764,18.03,7.60514900953863,44.595,0.5,1
bodyaware,5,uniform,6x6,200,5189.092033458375,3173.597163698764,19.22,6.950044286038004,44.79,0.0,0
bodyaware,8,center_biased,6x6,200,5472.973438354688,2927.0056503842043,20.07,6.119833478865681,31.635,0.0,0
bodyaware,8,corners,6x6,200,5006.356508770218,3588.3754102513903,18.495,7.93566942647129,33.385,0.0,0
bodyaware,8,edge_biased,6x6,200,4846.3886916063775,3686.105497576659,18.01,7.860588032781361,32.74,1.0,2
bodyaware,8,uniform,6x6,200,5077.548016629335,3527.6739661980105,18.675,7.8400706975583825,34.425,0.5,1
distance,1,center_biased,6x6,200,4682.293963667382,2360.465865802415,18.24,6.189016044412065,109.7,0.0,0
distance,1,corners,6x6,200,5053.3759423384345,3230.999765877639,18.285,8.342166005800994,155.45,0.5,1
distance,1,edge_biased,6x6,200,5365.543626713226,3140.104575351994,19.345,7.367317137808392,149.96,0.5,1
distance,1,uniform,6x6,200,4815.474704765618,2650.9871082678756,18.28,7.1657757227353045,136.23,0.5,1
distance,2,center_biased,6x6,200,5992.417530308663,2442.2741705037097,21.27,5.316807520594974,79.23,0.0,0
distance,2,corners,6x6,200,6510.640281621888,3056.5546605176046,21.905,7.215698617089221,108.44,0.0,0
distance,2,edge_biased,6x6,200,6327.918511531763,2990.4855224519683,21.39,7.51199376006505,107.23,0.0,0
distance,2,uniform,6x6,200,6231.997359604201,3064.885202480785,21.275,6.817755049838473,99.79,0.5,1
distance,3,center_biased,6x6,200,6352.563282942773,2644.706066863157,21.95,5.618302824978894,65.56,0.5,1
distance,3,corners,6x6,200,6849.5434337162915,3023.722198540026,22.515,7.3059330883506775,88.335,0.0,0
distance,3,edge_biased,6x6,200,7047.378521447017,3687.308231201198,22.625,7.723512037341226,86.285,1.5,3
distance,3,uniform,6x6,200,6587.192616362808,2974.919505269819,22.105,6.909608414534867,81.22,0.5,1
distance,5,center_biased,6x6,200,6947.475484529813,2772.6403054924604,23.09,5.719744521124581,49.32,0.0,0
distance,5,corners,6x6,200,7722.914523386366,3074.265173379249,24.32,6.78215216134956,65.605,0.0,0
distance,5,edge_biased,6x6,200,7992.281726639332,2985.601276736112,24.81,6.717852911361891,64.87,1.0,2
distance,5,uniform,6x6,200,7738.199322594144,3442.7496549484395,24.34,6.140269910424486,58.68,1.0,2
distance,8,center_biased,6x6,200,7390.229311645544,2926.0859196242664,23.915,5.807444105213229,37.38,0.0,0
distance,8,corners,6x6,200,8491.45402841545,2638.6946439475832,25.94,5.761281264531808,50.135,0.0,0
distance,8,edge_biased,6x6,200,8258.938484725268,3101.525870659359,25.33,6.2975707209149,48.84,0.5,1
distance,8,uniform,6x6,200,7800.448972273263,2785.0609997314323,24.71,5.624417334423077,44.855,0.0,0
localgrid,1,center_biased,6x6,200,10130.457327259803,8079.456055586568,24.715,7.982000794501157,184.815,20.0,40
localgrid,1,corners,6x6,200,8221.763509217439,7232.717580991632,21.895,10.689494913583973,214.355,11.5,23
localgrid,1,edge_biased,6x6,200,9057.728905379194,7747.896233836538,22.92,9.9027228375831,182.705,15.5,31
localgrid,1,uniform,6x6,200,9714.523479619733,7430.310747858574,24.645,9.382383524617564,263.485,15.0,30
localgrid,2,center_biased,6x6,200,9670.415380196977,5808.203177983057,26.26,7.183341980586076,109.775,10.5,21
localgrid,2,corners,6x6,200,10598.271635082177,6237.901248783615,27.315,7.03799987290816,150.425,13.5,27
localgrid,2,edge_biased,6x6,200,11181.179754463934,7585.743800962363,26.795,7.470072618430367,155.22,20.0,40
localgrid,2,uniform,6x6,200,10467.15446796667,7029.587372721869,26.34,8.113788747508526,158.005,14.499999999999998,29
localgrid,3,center_biased,6x6,200,9138.689701063784,4799.297823258001,26.11,7.366766334773742,75.595,4.5,9
localgrid,3,corners,6x6,200,10566.352700739291,5672.972577110464,27.72,6.89997451018524,88.38,11.5,23
localgrid,3,edge_biased,6x6,200,9580.782736980853,4666.539992450906,26.875,6.631686916372328,83.47,6.5,13
localgrid,3,uniform,6x6,200,9838.516196434235,5751.680005115547,26.48,7.780248151989286,82.75,9.0,18
localgrid,5,center_biased,6x6,200,8327.265494344194,3254.4868169696697,25.475,6.5715524427290175,52.285,0.5,1
localgrid,5,corners,6x6,200,9055.672788954202,4048.864386866728,26.425,6.376336198522073,60.11,3.5000000000000004,7
localgrid,5,edge_biased,6x6,200,9489.640081362711,4221.911393642736,26.985,6.812991948951826,58.8,4.0,8
localgrid,5,uniform,6x6,200,8929.030775440793,4001.9694928182157,26.27,6.65269809624629,58.18,4.0,8
localgrid,8,center_biased,6x6,200,8081.521670246425,3154.8350445895176,25.05,5.977133983211879,39.36,1.0,2
localgrid,8,corners,6x6,200,8700.242455145099,3984.1871309382827,25.735,7.159684378658745,42.71,1.5,3
localgrid,8,edge_biased,6x6,200,8658.58320660131,3527.0173797252855,25.895,6.4585244203643155,42.06,1.5,3
localgrid,8,uniform,6x6,200,8513.381599133925,3421.161654081967,25.8,6.237349005231737,43.325,1.5,3
raycasting,1,center_biased,6x6,200,5400.843476205863,4539.588986989983,18.36,11.144568499281432,340.8,1.0,2
raycasting,1,corners,6x6,200,5034.434969001378,5338.00603153488,16.57,11.990997460616128,310.355,2.0,4
raycasting,1,edge_biased,6x6,200,4771.014660662403,5221.052279387188,16.095,12.202478329705595,354.76,2.5,5
raycasting,1,uniform,6x6,200,5555.519256465071,5169.5129492185115,18.34,11.584272825016773,383.195,2.0,4
raycasting,2,center_biased,6x6,200,8176.823842117851,4378.143482613704,24.485,7.94072101583076,161.985,4.0,8
raycasting,2,corners,6x6,200,7593.7772114270865,3794.262466790466,23.875,8.535434565157205,220.57,0.5,1
raycasting,2,edge_biased,6x6,200,8266.17901279661,4142.6374812829345,25.045,7.485528752434097,186.07,2.5,5
raycasting,2,uniform,6x6,200,8131.440757746132,4692.487563594428,24.325,8.355744571053105,210.65,3.5000000000000004,7
raycasting,3,center_biased,6x6,200,7802.254618041874,3066.735252218271,24.68,6.070573226350407,95.945,0.0,0
raycasting,3,corners,6x6,200,8108.874596119169,4080.703748452602,24.665,6.848157511808025,101.265,2.5,5
raycasting,3,edge_biased,6x6,200,8174.704066993333,3845.4819838198837,24.835,7.38787373957892,98.11,1.0,2
raycasting,3,uniform,6x6,200,8803.707221367165,3789.7818268610963,26.09,6.494829795333496,99.065,2.5,5
raycasting,5,center_biased,6x6,200,7576.7661427910525,2842.687649739605,24.335,5.563952085889162,68.075,0.0,0
raycasting,5,corners,6x6,200,8233.06665292642,2812.275479749024,25.54,5.296096979482193,67.235,0.5,1
raycasting,5,edge_biased,6x6,200,8303.382329225185,3399.9336305615197,25.38,6.364600592615187,66.455,2.0,4
raycasting,5,uniform,6x6,200,8335.121326924087,3292.067161104538,25.405,6.998275092575082,65.475,1.0,2
raycasting,8,center_biased,6x6,200,7229.8939697225105,2477.8672813920443,23.75,4.844050383780396,41.565,0.5,1
raycasting,8,corners,6x6,200,7499.752478873508,3006.7420449963006,24.06,6.1698244438834475,45.42,0.5,1
raycasting,8,edge_biased,6x6,200,7797.858810133772,2755.7789622344044,24.66,5.7234771734299645,45.44,0.0,0
raycasting,8,uniform,6x6,200,7734.985447280628,2911.968767155611,24.555,5.850479944234443,45.995,1.5,3
