episode,reward,score,steps,win,epsilon
1,-312.51,0,7,0,0.995
2,-300.13,0,3,0,0.990025
3,-302.35,0,7,0,0.985074875
4,-247.4,1,7,0,0.9801495006250001
5,-311.47,0,8,0,0.9752487531218751
6,-328.5,0,18,0,0.9703725093562657
7,-307.31,0,8,0,0.9655206468094844
8,-317.99,0,15,0,0.960693043575437
9,-325.28,0,17,0,0.9558895783575597
10,-256.43,1,8,0,0.9511101304657719
11,-303.21,0,4,0,0.946354579813443
12,-247.20999999999998,1,5,0,0.9416228069143757
13,-306.51,0,7,0,0.9369146928798039
14,-327.14,0,18,0,0.9322301194154049
15,-270.64,1,20,0,0.9275689688183278
16,-316.1,0,13,0,0.9229311239742362
17,-349.68,0,33,0,0.918316468354365
18,-306.3,0,5,0,0.9137248860125932
19,-291.21,0,4,0,0.9091562615825302
20,-303.57,0,12,0,0.9046104802746175
21,-316.73,0,11,0,0.9000874278732445
22,-203.8360329000593,2,18,0,0.8955869907338783
23,-247.20999999999998,1,5,0,0.8911090557802088
24,-337.79,0,39,0,0.8866535105013078
25,-325.83,0,15,0,0.8822202429488013
26,-250.26999999999998,1,6,0,0.8778091417340573
27,-313.27,0,15,0,0.8734200960253871
28,-297.21,0,4,0,0.8690529955452602
29,-247.26,1,11,0,0.8647077305675338
30,-322.79,0,15,0,0.8603841919146962
31,-255.31,1,9,0,0.8560822709551227
32,-244.3,1,6,0,0.851801859600347
33,-313.2,0,17,0,0.8475428503023453
34,-337.76,0,33,0,0.8433051360508336
35,-322.4,0,17,0,0.8390886103705794
36,-325.51,0,15,0,0.8348931673187264
37,-313.94,0,13,0,0.8307187014821328
38,-309.21,0,4,0,0.8265651079747222
39,-271.90000000000003,1,27,0,0.8224322824348486
40,-307.73,0,12,0,0.8183201210226743
41,-295.89,0,12,0,0.8142285204175609
42,-235.34,1,7,0,0.810157377815473
43,-310.44,0,9,0,0.8061065909263957
44,-338.48,0,33,0,0.8020760579717637
45,-309.21,0,4,0,0.798065677681905
46,-317.94,0,13,0,0.7940753492934954
47,-335.4,0,25,0,0.7901049725470279
48,-244.26999999999998,1,6,0,0.7861544476842928
49,-252.14,1,8,0,0.7822236754458713
50,-311.47,0,8,0,0.778312557068642
51,-312.3,0,5,0,0.7744209942832988
52,-172.9860329000593,2,20,0,0.7705488893118823
53,-308.83,0,8,0,0.7666961448653229
54,-278.08,1,44,0,0.7628626641409962
55,-249.20999999999998,1,9,0,0.7590483508202912
56,-305.58,0,10,0,0.7552531090661897
57,-99.96410471159379,3,12,0,0.7514768435208588
58,-306.3,0,5,0,0.7477194593032545
59,-250.13,1,4,0,0.7439808620067382
60,-304.67,0,8,0,0.7402609576967045
61,-248.16,1,10,0,0.736559652908221
62,-307.89,0,19,0,0.7328768546436799
63,-294.13,0,3,0,0.7292124703704616
64,-294.13,0,3,0,0.7255664080186093
65,-344.65999999999997,0,29,0,0.7219385759785162
66,-304.25,0,11,0,0.7183288830986236
67,-314.94,0,10,0,0.7147372386831305
68,-250.26999999999998,1,6,0,0.7111635524897149
69,-243.32,1,20,0,0.7076077347272662
70,-256.33000000000004,1,28,0,0.7040696960536299
71,-178.49603290005928,2,10,0,0.7005493475733617
72,-324.46,0,21,0,0.697046600835495
73,-107.68410471159382,3,31,0,0.6935613678313175
74,-326.68,0,25,0,0.6900935609921609
75,-251.09,1,9,0,0.6866430931872001
76,-306.13,0,3,0,0.6832098777212641
77,-303.21,0,4,0,0.6797938283326578
78,-100.84410471159379,3,7,0,0.6763948591909945
79,-300.13,0,3,0,0.6730128848950395
80,-98.44410471159381,3,20,0,0.6696478204705644
81,-287.63,1,38,0,0.6662995813682115
82,-294.3,0,5,0,0.6629680834613705
83,-246.14,1,6,0,0.6596532430440636
84,-296.35,0,7,0,0.6563549768288433
85,-86.89410471159374,3,20,0,0.653073201944699
86,-181.1560329000593,2,5,0,0.6498078359349755
87,-243.24,1,7,0,0.6465587967553006
88,-305.47,0,8,0,0.6433260027715241
89,-250.0,1,12,0,0.6401093727576664
90,-300.3,0,5,0,0.6369088258938781
91,-245.88,1,15,0,0.6337242817644086
92,-201.07603290005932,2,21,0,0.6305556603555866
93,-309.21,0,4,0,0.6274028820538087
94,-298.44,0,9,0,0.6242658676435396
95,-184.0860329000593,2,12,0,0.6211445383053219
96,-309.83,0,15,0,0.6180388156137953
97,-247.04999999999998,1,9,0,0.6149486215357263
98,-303.25,0,12,0,0.6118738784280476
99,-186.6460329000593,2,20,0,0.6088145090359074
100,-301.31,0,8,0,0.6057704364907278
101,-308.14,0,5,0,0.6027415843082742
102,-189.30603290005936,2,37,0,0.5997278763867329
103,-294.13,0,3,0,0.5967292370047992
104,-306.3,0,5,0,0.5937455908197752
105,-306.13,0,3,0,0.5907768628656763
106,-244.13,1,4,0,0.5878229785513479
107,-304.57,0,11,0,0.5848838636585911
108,-98.8841047115938,3,15,0,0.5819594443402982
109,-194.2460329000593,2,17,0,0.5790496471185967
110,-294.3,0,5,0,0.5761543988830038
111,-320.09000000000003,0,20,0,0.5732736268885887
112,-2.9537882806780544,4,20,0,0.5704072587541458
113,-240.89999999999998,1,14,0,0.567555222460375
114,-100.97410471159378,3,9,0,0.5647174463480732
115,-263.54999999999995,1,25,0,0.5618938591163328
116,-178.51603290005932,2,10,0,0.5590843898207511
117,-175.4460329000593,2,9,0,0.5562889678716474
118,-331.25,0,19,0,0.5535075230322891
119,-177.6760329000593,2,13,0,0.5507399854171277
120,-294.13,0,3,0,0.547986285490042
121,-306.28,0,9,0,0.5452463540625918
122,-305.47,0,8,0,0.5425201222922789
123,-240.64999999999998,1,12,0,0.5398075216808175
124,-197.58603290005928,2,45,0,0.5371084840724134
125,-180.0160329000593,2,14,0,0.5344229416520513
126,-176.2060329000593,2,12,0,0.531750826943791
127,-309.21,0,4,0,0.5290920728090721
128,-181.4560329000593,2,9,0,0.5264466124450268
129,-181.1560329000593,2,5,0,0.5238143793828016
130,-314.12,0,9,0,0.5211953074858876
131,-313.31,0,8,0,0.5185893309484582
