episode,grid,reward,score,steps,win,epsilon
1,4x4,-1.86,1,8,0,0.99993
2,3x3,4.97,1,4,0,0.99986
3,5x5,-53.93,0,16,0,0.99979
4,3x3,0.0,1,2,0,0.99972
5,3x3,-54.95,0,8,0,0.99965
6,3x3,2.27,1,9,0,0.99958
7,3x3,-58.29,0,7,0,0.99951
8,3x3,-54.12,0,4,0,0.99944
9,3x3,0.0,1,2,0,0.99937
10,3x3,-54.19,0,6,0,0.9993
11,3x3,-50.04,0,3,0,0.99923
12,3x3,-52.52,0,2,0,0.99916
13,3x3,-56.65,0,5,0,0.99909
14,3x3,2.48,1,3,0,0.99902
15,3x3,0.0,1,2,0,0.998951
16,6x6,-51.36,0,8,0,0.998881
17,3x3,-50.04,0,3,0,0.998811
18,4x4,-53.57,0,5,0,0.998741
19,3x3,2.48,1,3,0,0.998671
20,3x3,2.48,1,3,0,0.998601
21,3x3,-52.52,0,2,0,0.998531
22,3x3,66.34,2,7,0,0.998461
23,3x3,-55.04,0,3,0,0.998391
24,6x6,-7.59,1,16,0,0.998321
25,3x3,-54.06,0,9,0,0.998251
26,4x4,-1.89,1,3,0,0.998182
27,4x4,-3.78,1,4,0,0.998112
28,3x3,-2.55,1,5,0,0.998042
29,3x3,-52.56,0,4,0,0.997972
30,4x4,-51.89,0,2,0,0.997902
31,3x3,-52.52,0,2,0,0.997832
32,3x3,2.48,1,3,0,0.997762
33,3x3,-59.84,0,7,0,0.997693
34,3x3,-56.29,0,7,0,0.997623
35,3x3,-50.04,0,3,0,0.997553
36,3x3,-55.61,0,9,0,0.997483
37,3x3,-52.52,0,2,0,0.997413
38,3x3,62.94,2,5,0,0.997343
39,3x3,0.0,1,2,0,0.997274
40,3x3,57.36,2,12,0,0.997204
41,3x3,2.6,1,8,0,0.997134
42,3x3,-52.52,0,2,0,0.997064
43,4x4,-65.9,0,16,0,0.996994
44,3x3,-47.56,0,4,0,0.996925
45,3x3,-53.29,0,7,0,0.996855
46,3x3,0.0,1,2,0,0.996785
47,7x7,-66.22,0,13,0,0.996715
48,3x3,-56.95,0,8,0,0.996646
49,3x3,-52.56,0,4,0,0.996576
50,5x5,-60.53,0,14,0,0.996506
51,3x3,62.94,2,5,0,0.996436
52,3x3,-52.52,0,2,0,0.996366
53,3x3,-52.52,0,2,0,0.996297
54,7x7,-0.75,1,11,0,0.996227
55,6x6,-55.03,0,8,0,0.996157
56,6x6,-47.59,0,7,0,0.996088
57,3x3,-50.1,0,5,0,0.996018
58,3x3,-52.52,0,2,0,0.995948
59,3x3,-54.95,0,8,0,0.995878
60,3x3,-0.04,1,4,0,0.995809
61,3x3,-54.12,0,4,0,0.995739
62,3x3,-47.52,0,2,0,0.995669
63,4x4,-0.03,1,4,0,0.9956
64,3x3,-52.56,0,4,0,0.99553
65,3x3,-54.12,0,4,0,0.99546
66,3x3,62.88,2,7,0,0.99539
67,3x3,-52.52,0,2,0,0.995321
68,3x3,-56.65,0,5,0,0.995251
69,3x3,-52.52,0,2,0,0.995181
70,6x6,-17.34,1,20,0,0.995112
71,3x3,-0.03,1,4,0,0.995042
72,3x3,-47.56,0,4,0,0.994973
73,3x3,-55.04,0,3,0,0.994903
74,6x6,-63.79,0,16,0,0.994833
75,3x3,-50.1,0,5,0,0.994764
76,8x8,-57.62,1,52,0,0.994694
77,3x3,-50.04,0,3,0,0.994624
78,3x3,-47.52,0,2,0,0.994555
79,7x7,-59.82,0,15,0,0.994485
80,3x3,2.39,1,7,0,0.994415
81,3x3,2.48,1,3,0,0.994346
82,3x3,-58.29,0,7,0,0.994276
83,4x4,-49.92,0,4,0,0.994207
84,8x8,-60.81,0,16,0,0.994137
85,3x3,-47.52,0,2,0,0.994067
86,3x3,-55.1,0,5,0,0.993998
87,3x3,-52.52,0,2,0,0.993928
88,3x3,-50.04,0,3,0,0.993859
89,3x3,-0.84,1,11,0,0.993789
90,5x5,-54.58,0,6,0,0.99372
91,3x3,-11.29,1,15,0,0.99365
92,3x3,-52.52,0,2,0,0.99358
93,3x3,-52.52,0,2,0,0.993511
94,3x3,-53.29,0,7,0,0.993441
