episode,reward,score,steps,win,epsilon
1,-269.28437499999995,1,23,0,0.99985
2,-300.18333333333334,0,3,0,0.9997000225
3,-305.31666666666666,0,4,0,0.999550067496625
4,-310.18333333333334,0,3,0,0.9994001349865005
5,-311.33125,0,12,0,0.9992502249662525
6,-303.85625,0,5,0,0.9991003374325076
7,-306.73333333333335,0,9,0,0.9989504723818927
8,-320.25,0,11,0,0.9988006298110355
9,-303.815625,0,2,0,0.9986508097165638
10,-255.890625,1,7,0,0.9985010120951063
11,-303.99444444444447,0,7,0,0.9983512369432921
12,-187.39269956672598,2,7,0,0.9982014842577506
13,-306.3,0,5,0,0.9980517540351119
14,-308.35,0,7,0,0.9979020462720066
15,-313.484375,0,6,0,0.9977523609650658
16,-250.3,1,6,0,0.9976026981109211
17,-184.3760329000593,2,23,0,0.9974530577062044
18,-329.053125,0,23,0,0.9973034397475485
19,-248.421875,1,7,0,0.9971538442315864
20,-302.03333333333336,0,5,0,0.9970042711549516
21,-315.10555555555555,0,7,0,0.9968547205142784
22,-300.146875,0,3,0,0.9967051923062012
23,-162.49825512228153,2,8,0,0.9965556865273554
24,-319.340625,0,15,0,0.9964062031743763
25,-309.26,0,10,0,0.9962567422439002
26,-307.31,0,8,0,0.9961073037325636
27,-306.0375,0,8,0,0.9959578876370038
28,-262.0333333333333,1,6,0,0.9958084939538583
29,-303.815625,0,2,0,0.9956591226797652
30,-315.61,0,11,0,0.9955097738113633
31,-302.03333333333336,0,5,0,0.9953604473452916
32,-309.60625,0,5,0,0.9952111432781898
33,-242.79375,1,6,0,0.9950618616066981
34,-309.60625,0,5,0,0.994912602327457
35,-300.18333333333334,0,3,0,0.994763365437108
36,-299.47,0,8,0,0.9946141509322924
37,-305.24,0,6,0,0.9944649588096526
38,-180.01353290005935,2,9,0,0.9943157890658312
39,-297.21,0,4,0,0.9941666416974714
40,-303.99375,0,4,0,0.9940175167012167
41,-242.79375,1,6,0,0.9938684140737116
42,-323.63,0,23,0,0.9937193338116006
43,-310.47777777777776,0,5,0,0.9935702759115289
44,-250.13125,1,4,0,0.9934212403701422
45,-308.77777777777777,0,6,0,0.9932722271840867
46,-311.49375,0,4,0,0.9931232363500091
47,-250.146875,1,4,0,0.9929742678645566
48,-307.646875,0,3,0,0.9928253217243769
49,-300.18333333333334,0,3,0,0.9926763979261183
50,-310.47777777777776,0,5,0,0.9925274964664293
51,-305.7125,0,9,0,0.9923786173419594
52,-296.8722222222222,0,4,0,0.9922297605493582
53,-303.5888888888889,0,5,0,0.9920809260852758
54,-305.24,0,6,0,0.9919321139463629
55,-312.06875,0,13,0,0.991783324129271
56,-253.33999999999997,1,7,0,0.9916345566306516
57,-300.13,0,3,0,0.991485811447157
58,-247.42000000000002,1,11,0,0.9913370885754399
59,-309.60625,0,5,0,0.9911883880121536
60,-296.8722222222222,0,4,0,0.9910397097539517
61,-305.25,0,12,0,0.9908910537974887
62,-303.25,0,12,0,0.990742420139419
63,-305.31666666666666,0,4,0,0.9905938087763981
64,-310.47777777777776,0,5,0,0.9904452197050817
65,-307.646875,0,3,0,0.990296652922126
66,-300.146875,0,3,0,0.9901481084241877
67,-325.375,0,16,0,0.989999586207924
68,-255.07777777777778,1,3,0,0.9898510862699929
69,-308.41,0,11,0,0.9897026086070524
70,-305.31666666666666,0,4,0,0.9895541532157613
71,-311.590625,0,15,0,0.989405720092779
72,-311.24,0,6,0,0.9892573092347652
73,-252.10625,1,6,0,0.98910892063838
74,-311.8,0,9,0,0.9889605543002842
75,-175.2760329000593,2,7,0,0.9888122102171392
76,-303.99375,0,4,0,0.9886638883856066
77,-300.18333333333334,0,3,0,0.9885155888023488
78,-303.99375,0,4,0,0.9883673114640285
79,-308.14,0,5,0,0.9882190563673089
80,-261.75,1,13,0,0.9880708235088538
81,-300.146875,0,3,0,0.9879226128853275
82,-250.29375,1,6,0,0.9877744244933947
83,-262.12,1,10,0,0.9876262583297207
84,-190.0860329000593,2,4,0,0.9874781143909713
85,-306.13,0,3,0,0.9873299926738127
86,-246.315625,1,3,0,0.9871818931749117
87,-253.20999999999998,1,5,0,0.9870338158909354
88,-306.8722222222222,0,4,0,0.9868857608185518
89,-306.57,0,11,0,0.986737727954429
90,-300.146875,0,3,0,0.9865897172952359
91,-295.31666666666666,0,4,0,0.9864417288376417
92,-250.25555555555556,1,11,0,0.986293762578316
93,-305.0777777777778,0,2,0,0.9861458185139292
94,-328.51,0,23,0,0.9859978966411521
95,-245.66666666666669,1,7,0,0.985849996956656
96,-319.73,0,19,0,0.9857021194571125
97,-305.0777777777778,0,2,0,0.985554264139194
98,-310.58,0,13,0,0.9854064309995731
99,-297.4,0,6,0,0.9852586200349233
100,-302.10625,0,5,0,0.985110831241918
101,-300.18333333333334,0,3,0,0.9849630646172317
102,-300.146875,0,3,0,0.9848153201575391
103,-305.24,0,6,0,0.9846675978595155
104,-309.21,0,4,0,0.9845198977198366
105,-305.0777777777778,0,2,0,0.9843722197351786
106,-294.60625,0,5,0,0.9842245639022184
107,-310.18333333333334,0,3,0,0.984076930217633
108,-306.13,0,3,0,0.9839293186781004
109,-254.140625,1,7,0,0.9837817292802987
110,-306.2875,0,8,0,0.9836341620209067
111,-310.19,0,7,0,0.9834866168966035
112,-309.04,0,17,0,0.983339093904069
113,-297.4,0,6,0,0.9831915930399835
114,-342.89,0,27,0,0.9830441143010276
115,-306.9625,0,9,0,0.9828966576838825
116,-313.5888888888889,0,5,0,0.9827492231852298
117,-102.05410471159377,3,18,0,0.982601810801752
118,-306.2875,0,8,0,0.9824544205301318
119,-302.6,0,9,0,0.9823070523670523
120,-315.26,0,10,0,0.9821597063091972
121,-303.815625,0,2,0,0.9820123823532508
122,-307.646875,0,3,0,0.9818650804958978
123,-320.40999999999997,0,11,0,0.9817178007338234
124,-305.1777777777778,0,9,0,0.9815705430637134
125,-305.0777777777778,0,2,0,0.9814233074822538
126,-317.378125,0,7,0,0.9812760939861315
127,-256.38,1,14,0,0.9811289025720336
128,-300.18333333333334,0,3,0,0.9809817332366477
129,-306.13,0,3,0,0.9808345859766623
130,-304.73,0,11,0,0.9806874607887658
131,-302.6,0,9,0,0.9805403576696475
132,-303.99375,0,4,0,0.9803932766159971
133,-311.83125,0,12,0,0.9802462176245047
134,-267.83,1,14,0,0.9800991806918611
135,-292.646875,0,3,0,0.9799521658147573
136,-303.815625,0,2,0,0.9798051729898851
137,-308.14,0,5,0,0.9796582022139366
138,-305.0777777777778,0,2,0,0.9795112534836046
139,-298.7875,0,8,0,0.979364326795582
140,-289.234375,0,6,0,0.9792174221465627
141,-179.8041579000593,2,7,0,0.9790705395332407
142,-309.21,0,4,0,0.9789236789523108
143,-307.646875,0,3,0,0.978776840400468
144,-306.77777777777777,0,6,0,0.9786300238744079
