episode,reward,score,steps,win,epsilon
1,-66.2260329000593,2,4,0,0.995
2,-189.45,1,9,0,0.990025
3,-301.15000000000003,0,3,0,0.985074875
4,-188.75,1,5,0,0.9801495006250001
5,-189.15,1,3,0,0.9752487531218751
6,-300.6,0,2,0,0.9703725093562657
7,-189.85,1,7,0,0.9655206468094844
8,-300.2,0,4,0,0.960693043575437
9,-66.7760329000593,2,5,0,0.9558895783575597
10,-299.25,0,5,0,0.9511101304657719
11,-298.3,0,6,0,0.946354579813443
12,-298.3,0,6,0,0.9416228069143757
13,-189.15,1,3,0,0.9369146928798039
14,-299.1,0,2,0,0.9322301194154049
15,-298.3,0,6,0,0.9275689688183278
16,-300.6,0,2,0,0.9229311239742362
17,-299.65000000000003,0,3,0,0.918316468354365
18,-299.65000000000003,0,3,0,0.9137248860125932
19,-299.25,0,5,0,0.9091562615825302
20,-300.6,0,2,0,0.9046104802746175
21,-299.65000000000003,0,3,0,0.9000874278732445
22,-298.45,0,9,0,0.8955869907338783
23,-298.85,0,7,0,0.8911090557802088
24,-300.2,0,4,0,0.8866535105013078
25,-301.15000000000003,0,3,0,0.8822202429488013
26,-299.1,0,2,0,0.8778091417340573
27,-301.15000000000003,0,3,0,0.8734200960253871
28,-298.85,0,7,0,0.8690529955452602
29,-299.25,0,5,0,0.8647077305675338
30,-66.37603290005933,2,7,0,0.8603841919146962
31,-301.15000000000003,0,3,0,0.8560822709551227
32,-190.10000000000002,1,2,0,0.851801859600347
33,-300.6,0,2,0,0.8475428503023453
34,-299.1,0,2,0,0.8433051360508336
35,-300.6,0,2,0,0.8390886103705794
36,-299.1,0,2,0,0.8348931673187264
37,-189.7,1,4,0,0.8307187014821328
38,-190.25,1,5,0,0.8265651079747222
39,-66.2260329000593,2,4,0,0.8224322824348486
40,-190.10000000000002,1,2,0,0.8183201210226743
41,-299.65000000000003,0,3,0,0.8142285204175609
42,-300.6,0,2,0,0.810157377815473
43,-188.2,1,4,0,0.8061065909263957
44,-62.776032900059306,2,25,0,0.8020760579717637
45,-300.2,0,4,0,0.798065677681905
46,-189.3,1,6,0,0.7940753492934954
47,-189.15,1,3,0,0.7901049725470279
48,-299.8,0,6,0,0.7861544476842928
49,-298.85,0,7,0,0.7822236754458713
50,-299.65000000000003,0,3,0,0.778312557068642
51,-300.2,0,4,0,0.7744209942832988
52,-189.3,1,6,0,0.7705488893118823
53,-299.25,0,5,0,0.7666961448653229
54,-299.1,0,2,0,0.7628626641409962
55,-299.65000000000003,0,3,0,0.7590483508202912
56,-301.15000000000003,0,3,0,0.7552531090661897
57,-300.75,0,5,0,0.7514768435208588
58,-188.35000000000002,1,7,0,0.7477194593032545
59,-300.2,0,4,0,0.7439808620067382
60,-189.45,1,9,0,0.7402609576967045
61,-300.6,0,2,0,0.736559652908221
62,-298.7,0,4,0,0.7328768546436799
63,-300.2,0,4,0,0.7292124703704616
64,-299.8,0,6,0,0.7255664080186093
65,-300.2,0,4,0,0.7219385759785162
66,-300.75,0,5,0,0.7183288830986236
67,-299.1,0,2,0,0.7147372386831305
68,-65.02603290005933,2,10,0,0.7111635524897149
69,-299.1,0,2,0,0.7076077347272662
70,-188.75,1,5,0,0.7040696960536299
71,-298.85,0,7,0,0.7005493475733617
72,-300.6,0,2,0,0.697046600835495
73,-189.15,1,3,0,0.6935613678313175
74,-188.1,1,12,0,0.6900935609921609
75,-298.75,0,15,0,0.6866430931872001
76,-300.2,0,4,0,0.6832098777212641
77,-299.1,0,2,0,0.6797938283326578
78,-187.4,1,8,0,0.6763948591909945
79,-298.7,0,4,0,0.6730128848950395
80,-299.1,0,2,0,0.6696478204705644
81,-186.35000000000002,1,17,0,0.6662995813682115
82,-188.75,1,5,0,0.6629680834613705
83,-64.32603290005932,2,6,0,0.6596532430440636
84,-188.9,1,8,0,0.6563549768288433
85,-297.90000000000003,0,8,0,0.653073201944699
86,-187.14999999999998,1,13,0,0.6498078359349755
87,-63.37603290005933,2,7,0,0.6465587967553006
88,-188.2,1,4,0,0.6433260027715241
89,-66.37603290005933,2,7,0,0.6401093727576664
90,-62.726032900059295,2,14,0,0.6369088258938781
91,-189.45,1,9,0,0.6337242817644086
92,-189.3,1,6,0,0.6305556603555866
93,-187.39999999999998,1,8,0,0.6274028820538087
94,-188.89999999999998,1,8,0,0.6242658676435396
95,-188.35000000000002,1,7,0,0.6211445383053219
96,71.89589528840617,3,9,0,0.6180388156137953
97,-299.25,0,5,0,0.6149486215357263
98,-190.25,1,5,0,0.6118738784280476
99,-300.6,0,2,0,0.6088145090359074
100,-298.3,0,6,0,0.6057704364907278
101,-190.10000000000002,1,2,0,0.6027415843082742
102,-300.6,0,2,0,0.5997278763867329
103,-299.1,0,2,0,0.5967292370047992
104,-299.40000000000003,0,8,0,0.5937455908197752
105,-65.82603290005932,2,6,0,0.5907768628656763
106,73.39589528840617,3,9,0,0.5878229785513479
107,-186.75,1,15,0,0.5848838636585911
108,-299.1,0,2,0,0.5819594443402982
109,-298.7,0,4,0,0.5790496471185967
110,-63.526032900059306,2,10,0,0.5761543988830038
111,-187.95,1,9,0,0.5732736268885887
112,-65.42603290005934,2,8,0,0.5704072587541458
113,-189.3,1,6,0,0.567555222460375
114,-299.8,0,6,0,0.5647174463480732
115,-187.55,1,11,0,0.5618938591163328
116,-299.65000000000003,0,3,0,0.5590843898207511
117,-65.82603290005932,2,6,0,0.5562889678716474
118,-190.8,1,6,0,0.5535075230322891
119,-190.10000000000002,1,2,0,0.5507399854171277
120,-67.17603290005931,2,3,0,0.547986285490042
121,-188.35000000000002,1,7,0,0.5452463540625918
122,-299.1,0,2,0,0.5425201222922789
123,-65.97603290005935,2,9,0,0.5398075216808175
124,72.84589528840615,3,10,0,0.5371084840724134
125,-65.9760329000593,2,9,0,0.5344229416520513
126,-188.75,1,5,0,0.531750826943791
127,-298.7,0,4,0,0.5290920728090721
128,-189.3,1,6,0,0.5264466124450268
129,-298.7,0,4,0,0.5238143793828016
130,-300.75,0,5,0,0.5211953074858876
131,-299.1,0,2,0,0.5185893309484582
132,-62.97603290005932,2,9,0,0.5159963842937159
133,72.44589528840618,3,8,0,0.5134164023722473
134,-67.72603290005932,2,4,0,0.510849320360386
135,-65.82603290005932,2,6,0,0.5082950737585841
136,-65.82603290005932,2,6,0,0.5057535983897912
137,-66.92603290005934,2,8,0,0.5032248303978422
138,-299.65000000000003,0,3,0,0.500708706245853
139,223.82621171932198,4,6,0,0.4982051627146237
140,-299.0,0,10,0,0.49571413690105054
141,-65.42603290005928,2,8,0,0.4932355662165453
142,-298.3,0,6,0,0.4907693883854626
143,-63.12603290005933,2,12,0,0.4883155414435353
144,-64.32603290005932,2,6,0,0.4858739637363176
145,-300.2,0,4,0,0.483444593917636
146,-63.92603290005928,2,8,0,0.4810273709480478
147,-188.2,1,4,0,0.47862223409330756
148,71.09589528840621,3,5,0,0.47622912292284103
149,-187.4,1,8,0,0.4738479773082268
150,-64.62603290005933,2,12,0,0.47147873742168567
151,-190.65,1,3,0,0.46912134373457726
152,-63.12603290005933,2,12,0,0.46677573701590436
153,-300.6,0,2,0,0.46444185833082485
154,-62.976032900059295,2,9,0,0.46211964903917074
155,-67.17603290005931,2,3,0,0.4598090507939749
156,-188.2,1,4,0,0.457510005540005
157,-187.8,1,6,0,0.45522245551230495
158,-65.42603290005931,2,8,0,0.4529463432347434
159,-63.52603290005936,2,10,0,0.4506816115185697
160,72.2958952884062,3,11,0,0.4484282034609769
161,-63.67603290005928,2,13,0,0.446186062443672
162,-65.2760329000593,2,5,0,0.4439551321314536
163,227.62621171932193,4,10,0,0.4417353564707963
164,-188.75,1,5,0,0.43952667968844233
165,-299.1,0,2,0,0.43732904629000013
166,-65.82603290005932,2,6,0,0.4351424010585501
167,-187.95,1,9,0,0.43296668905325736
168,-62.476032900059295,2,19,0,0.43080185560799106
169,-66.2260329000593,2,4,0,0.4286478463299511
170,-300.2,0,4,0,0.42650460709830135
171,70.14589528840617,3,4,0,0.42437208406280985
172,72.69589528840618,3,13,0,0.4222502236424958
173,-299.1,0,2,0,0.42013897252428334
174,-65.82603290005932,2,6,0,0.4180382776616619
175,-299.1,0,2,0,0.4159480862733536
176,-190.10000000000002,1,2,0,0.41386834584198684
177,-189.15,1,3,0,0.4117990041127769
178,-188.75,1,5,0,0.40974000909221303
179,-187.8,1,6,0,0.40769130904675194
180,-66.7760329000593,2,5,0,0.40565285250151817
181,-188.2,1,4,0,0.4036245882390106
182,-190.10000000000002,1,2,0,0.4016064652978155
183,-67.87603290005933,2,7,0,0.3995984329713264
184,-64.32603290005932,2,6,0,0.3976004408064698
185,227.87621171932182,4,15,0,0.39561243860243744
186,-299.1,0,2,0,0.3936343764094253
187,72.04589528840614,3,6,0,0.39166620452737816
188,-63.37603290005933,2,7,0,0.3897078735047413
189,-60.526032900059334,2,10,0,0.3877593341372176
190,-62.17603290005928,2,13,0,0.3858205374665315
191,-66.2260329000593,2,4,0,0.38389143477919885
192,-64.87603290005933,2,7,0,0.3819719776053028
193,225.176211719322,4,9,0,0.3800621177172763
194,-189.15,1,3,0,0.37816180712868996
195,-188.75,1,5,0,0.37627099809304654
196,-299.65000000000003,0,3,0,0.3743896431025813
197,-189.15,1,3,0,0.37251769488706843
198,225.72621171932195,4,8,0,0.3706551064126331
199,-300.6,0,2,0,0.36880183088056995
200,226.676211719322,4,9,0,0.3669578217261671
201,-299.1,0,2,0,0.36512303261753626
202,-189.15,1,3,0,0.3632974174544486
203,74.74589528840613,3,12,0,0.3614809303671764
204,-189.7,1,4,0,0.3596735257153405
205,-65.2760329000593,2,5,0,0.3578751580867638
206,225.176211719322,4,9,0,0.35608578229633
207,74.89589528840617,3,9,0,0.3543053533848483
208,683.3208396586981,6,13,0,0.35253382661792404
209,-188.2,1,4,0,0.3507711574848344
210,-64.4760329000593,2,9,0,0.34901730169741024
211,72.84589528840615,3,10,0,0.3472722151889232
212,-187.95,1,9,0,0.3455358541129786
213,-187.0,1,10,0,0.3438081748424137
214,-190.10000000000002,1,2,0,0.3420891339682016
215,-67.17603290005931,2,3,0,0.3403786882983606
216,-66.22603290005932,2,4,0,0.3386767948568688
217,224.7762117193219,4,7,0,0.33698341088258443
218,-188.2,1,4,0,0.3352984938281715
219,-64.8760329000593,2,7,0,0.33362200135903064
220,-190.10000000000002,1,2,0,0.33195389135223546
221,226.12621171932193,4,10,0,0.3302941218954743
222,-189.7,1,4,0,0.32864265128599696
223,72.44589528840618,3,8,0,0.326999438029567
224,-66.2260329000593,2,4,0,0.3253644408394192
225,-64.22603290005944,2,14,0,0.3237376186352221
226,683.3208396586981,6,13,0,0.322118930542046
227,-188.35,1,7,0,0.32050833588933575
228,72.44589528840618,3,8,0,0.31890579420988907
229,-189.7,1,4,0,0.3173112652388396
230,684.6708396586982,6,16,0,0.3157247089126454
231,224.7762117193219,4,7,0,0.3141460853680822
232,-63.92603290005934,2,8,0,0.3125753549412418
233,72.2958952884062,3,11,0,0.31101247816653554
234,-190.10000000000002,1,2,0,0.30945741577570285
235,-66.2260329000593,2,4,0,0.3079101286968243
236,228.97621171932195,4,13,0,0.3063705780533402
237,224.77621171932202,4,7,0,0.30483872516307353
238,496.41269479238275,5,14,0,0.3033145315372582
239,-64.32603290005932,2,6,0,0.3017979588795719
240,-66.2260329000593,2,4,0,0.30028896908517405
241,-66.2260329000593,2,4,0,0.2987875242397482
242,224.7762117193219,4,7,0,0.29729358661854943
243,229.92621171932188,4,14,0,0.29580711868545667
244,72.99589528840619,3,7,0,0.2943280830920294
245,72.0458952884062,3,6,0,0.29285644267656924
246,225.176211719322,4,9,0,0.2913921604631864
247,74.34589528840615,3,10,0,0.28993519966087045
248,229.37621171932193,4,15,0,0.2884855236625661
249,71.09589528840621,3,5,0,0.28704309604425327
250,-189.15,1,3,0,0.285607880564032
251,-189.15,1,3,0,0.28417984116121187
252,224.7762117193219,4,7,0,0.2827589419554058
253,-189.15,1,3,0,0.28134514724562876
254,73.94589528840618,3,8,0,0.2799384215094006
255,-66.2260329000593,2,4,0,0.27853872940185365
256,75.2958952884062,3,11,0,0.27714603575484437
257,-190.10000000000002,1,2,0,0.2757603055760701
258,-66.2260329000593,2,4,0,0.2743815040481898
259,74.89589528840617,3,9,0,0.2730095965279488
260,494.66269479238275,5,9,0,0.27164454854530906
261,-188.75,1,5,0,0.2702863258025825
262,-64.87603290005933,2,7,0,0.2689348941735696
263,-190.65,1,3,0,0.26759021970270175
