episode,reward,score,steps,win,epsilon
1,-343.57,0,28,0,0.995
2,-305.24,0,6,0,0.990025
3,-306.13,0,3,0,0.985074875
4,-275.43,1,33,0,0.9801495006250001
5,-300.3,0,5,0,0.9752487531218751
6,-253.33999999999997,1,7,0,0.9703725093562657
7,-321.28,0,14,0,0.9655206468094844
8,-307.31,0,8,0,0.960693043575437
9,-339.99,0,31,0,0.9558895783575597
10,-313.31,0,8,0,0.9511101304657719
11,-302.12,0,9,0,0.946354579813443
12,-301.58,0,10,0,0.9416228069143757
13,-306.3,0,5,0,0.9369146928798039
14,-298.44,0,9,0,0.9322301194154049
15,-185.13603290005932,2,9,0,0.9275689688183278
16,-316.46,0,10,0,0.9229311239742362
17,-182.42603290005928,2,12,0,0.918316468354365
18,-307.31,0,8,0,0.9137248860125932
19,-306.77,0,12,0,0.9091562615825302
20,-315.09,0,12,0,0.9046104802746175
21,-301.42,0,10,0,0.9000874278732445
22,-247.19,1,5,0,0.8955869907338783
23,-332.03,0,24,0,0.8911090557802088
24,-300.13,0,3,0,0.8866535105013078
25,-299.24,0,6,0,0.8822202429488013
26,-303.98,0,5,0,0.8778091417340573
27,-302.14,0,5,0,0.8734200960253871
28,-302.6,0,9,0,0.8690529955452602
29,-254.37,1,10,0,0.8647077305675338
30,-297.21,0,4,0,0.8603841919146962
31,-295.1,0,10,0,0.8560822709551227
32,-256.79,1,29,0,0.851801859600347
33,-311.57,0,12,0,0.8475428503023453
34,-303.4,0,6,0,0.8433051360508336
35,-311.41,0,12,0,0.8390886103705794
36,-319.92,0,17,0,0.8348931673187264
37,-330.72,0,17,0,0.8307187014821328
38,-246.07,1,14,0,0.8265651079747222
39,-315.73,0,12,0,0.8224322824348486
40,-315.61,0,11,0,0.8183201210226743
41,-319.66,0,21,0,0.8142285204175609
42,-317.78,0,13,0,0.810157377815473
43,-306.13,0,3,0,0.8061065909263957
44,-309.21,0,4,0,0.8020760579717637
45,-320.12,0,22,0,0.798065677681905
46,-319.96,0,22,0,0.7940753492934954
47,-265.52,1,19,0,0.7901049725470279
48,-309.57,0,12,0,0.7861544476842928
49,-309.21,0,4,0,0.7822236754458713
50,-252.19,1,17,0,0.778312557068642
51,-310.79,0,15,0,0.7744209942832988
52,-244.26999999999998,1,6,0,0.7705488893118823
53,-251.93,1,12,0,0.7666961448653229
54,-320.26,0,13,0,0.7628626641409962
55,-300.51,0,7,0,0.7590483508202912
56,-179.87603290005933,2,15,0,0.7552531090661897
57,-302.09,0,11,0,0.7514768435208588
58,-306.51,0,7,0,0.7477194593032545
59,-310.28,0,9,0,0.7439808620067382
60,-328.91,0,24,0,0.7402609576967045
61,-316.19,0,7,0,0.736559652908221
62,-247.06,1,3,0,0.7328768546436799
63,-296.19,0,7,0,0.7292124703704616
64,-268.31,1,16,0,0.7255664080186093
65,-259.22,1,11,0,0.7219385759785162
66,-304.94,0,10,0,0.7183288830986236
67,-309.21,0,4,0,0.7147372386831305
68,-326.04,0,22,0,0.7111635524897149
69,-308.35,0,7,0,0.7076077347272662
70,-249.37,1,9,0,0.7040696960536299
71,-305.41,0,12,0,0.7005493475733617
72,-294.3,0,5,0,0.697046600835495
73,-247.52999999999997,1,9,0,0.6935613678313175
74,-256.47,1,16,0,0.6900935609921609
