episode,reward,score,steps,win,epsilon
1,-302.35,0,7,0,0.995
2,-302.6,0,9,0,0.990025
3,-316.93,0,12,0,0.985074875
4,-308.35,0,7,0,0.9801495006250001
5,-315.25,0,12,0,0.9752487531218751
6,-315.29,0,11,0,0.9703725093562657
7,-247.15,1,9,0,0.9655206468094844
8,-313.31,0,8,0,0.960693043575437
9,-308.35,0,7,0,0.9558895783575597
10,-304.41,0,11,0,0.9511101304657719
11,-303.21,0,4,0,0.946354579813443
12,-311.74,0,10,0,0.9416228069143757
13,-274.71999999999997,1,31,0,0.9369146928798039
14,-312.3,0,5,0,0.9322301194154049
15,-294.3,0,5,0,0.9275689688183278
16,-300.28,0,9,0,0.9229311239742362
17,-305.41,0,12,0,0.918316468354365
18,-258.35,1,8,0,0.9137248860125932
19,-317.93,0,20,0,0.9091562615825302
20,-250.83999999999997,1,12,0,0.9046104802746175
21,-303.4,0,6,0,0.9000874278732445
22,-306.28000000000003,0,9,0,0.8955869907338783
23,-269.73,1,20,0,0.8911090557802088
24,-273.74,1,22,0,0.8866535105013078
25,-266.94,1,11,0,0.8822202429488013
26,-309.21,0,4,0,0.8778091417340573
27,-313.31,0,8,0,0.8734200960253871
28,-308.35,0,7,0,0.8690529955452602
29,-257.25,1,9,0,0.8647077305675338
30,-302.35,0,7,0,0.8603841919146962
31,-313.58,0,10,0,0.8560822709551227
32,-303.83,0,16,0,0.851801859600347
33,-306.3,0,5,0,0.8475428503023453
34,-257.65999999999997,1,19,0,0.8433051360508336
35,-312.3,0,5,0,0.8390886103705794
36,-309.21,0,4,0,0.8348931673187264
37,-256.29,1,17,0,0.8307187014821328
38,-324.7,0,26,0,0.8265651079747222
39,-262.07,1,16,0,0.8224322824348486
40,-329.29,0,20,0,0.8183201210226743
41,-309.22,0,13,0,0.8142285204175609
42,-324.8,0,14,0,0.810157377815473
43,-264.36,1,20,0,0.8061065909263957
44,-187.1560329000593,2,5,0,0.8020760579717637
45,-244.48,1,12,0,0.798065677681905
46,-300.57,0,11,0,0.7940753492934954
47,-246.6,1,10,0,0.7901049725470279
48,-354.24,0,46,0,0.7861544476842928
49,-302.14,0,5,0,0.7822236754458713
50,-313.08,0,6,0,0.778312557068642
51,-336.8,0,33,0,0.7744209942832988
52,-311.8,0,9,0,0.7705488893118823
53,-259.86,1,27,0,0.7666961448653229
54,-329.55,0,24,0,0.7628626641409962
55,-294.13,0,3,0,0.7590483508202912
56,-193.1160329000593,2,13,0,0.7552531090661897
57,-326.11,0,23,0,0.7514768435208588
58,-323.83,0,15,0,0.7477194593032545
59,-293.24,0,6,0,0.7439808620067382
60,-313.08,0,6,0,0.7402609576967045
61,-244.13,1,4,0,0.736559652908221
62,-253.43,1,13,0,0.7328768546436799
63,-180.4160329000593,2,22,0,0.7292124703704616
64,-184.53603290005933,2,10,0,0.7255664080186093
65,-304.44,0,9,0,0.7219385759785162
66,-307.99,0,16,0,0.7183288830986236
67,-208.14603290005925,2,29,0,0.7147372386831305
68,-303.4,0,6,0,0.7111635524897149
69,-318.61,0,12,0,0.7076077347272662
70,-296.94,0,10,0,0.7040696960536299
71,-296.35,0,7,0,0.7005493475733617
72,-305.24,0,6,0,0.697046600835495
73,-257.7,1,15,0,0.6935613678313175
74,-279.87,1,24,0,0.6900935609921609
75,-310.19,0,7,0,0.6866430931872001
76,-264.62,1,38,0,0.6832098777212641
77,-252.26,1,8,0,0.6797938283326578
78,-108.21410471159379,3,14,0,0.6763948591909945
79,-194.01603290005932,2,14,0,0.6730128848950395
80,-250.41,1,18,0,0.6696478204705644
81,-263.84000000000003,1,18,0,0.6662995813682115
82,-186.2260329000593,2,8,0,0.6629680834613705
83,-190.1560329000593,2,14,0,0.6596532430440636
84,-303.4,0,6,0,0.6563549768288433
85,-459.62,0,98,0,0.653073201944699
86,-309.21,0,4,0,0.6498078359349755
87,-303.63,0,8,0,0.6465587967553006
88,-253.45,1,18,0,0.6433260027715241
89,-252.57999999999998,1,14,0,0.6401093727576664
90,-324.43,0,23,0,0.6369088258938781
91,-293.24,0,6,0,0.6337242817644086
92,-250.12,1,4,0,0.6305556603555866
93,-247.33999999999997,1,7,0,0.6274028820538087
94,-250.12,1,4,0,0.6242658676435396
95,-258.8,1,18,0,0.6211445383053219
96,-244.3,1,6,0,0.6180388156137953
97,-181.1460329000593,2,5,0,0.6149486215357263
98,-253.82,1,16,0,0.6118738784280476
99,-336.52,0,25,0,0.6088145090359074
