encoding,grid_cols,grid_rows,grid_label,grid_area,episodes,avg_reward,std_reward,avg_score,std_score,avg_steps,win_rate,total_wins
basic,3,3,3x3,9,2000,961.5385889039103,1158.1404767923684,7.2005,1.4238375633137912,16.749,54.50000000000001,1090
basic,4,4,4x4,16,2000,2108.528430862557,2104.2781683673106,10.8405,3.3534583031992016,36.974,19.5,390
basic,5,5,5x5,25,2000,2107.938338724519,1428.584464353447,12.5455,4.012727344384388,61.059,0.75,15
basic,6,6,6x6,36,2000,3296.886892036824,2699.5873585674017,15.3735,5.578221582907403,98.3325,0.95,19
bodyaware,3,3,3x3,9,2000,895.7148099492204,1146.5159532574605,6.787,1.8529294843131283,23.6725,50.7,1014
bodyaware,4,4,4x4,16,2000,1209.6984422024573,1209.4911837777818,9.283,2.923214598998147,59.1515,4.65,93
bodyaware,5,5,5x5,25,2000,1643.885775908018,1231.7376526974488,11.396,3.5653246373766527,83.3415,0.44999999999999996,9
bodyaware,6,6,6x6,36,2000,1996.6938533495781,1513.557222795435,12.774,3.7400425076433925,119.6845,0.0,0
distance,3,3,3x3,9,2000,191.64035629285067,499.730932230219,4.617,1.9476158768612224,11.5115,9.5,190
distance,4,4,4x4,16,2000,338.9015677197733,774.0181164466135,5.325,2.819104232613111,17.465,1.15,23
distance,5,5,5x5,25,2000,248.78238799711204,450.04880473371844,4.998,2.613314122977313,21.631,0.0,0
distance,6,6,6x6,36,2000,290.91096385544785,452.23703247359737,5.2915,2.5508393012046615,27.561,0.0,0
localgrid,3,3,3x3,9,2000,1031.3639193723757,1174.7805660494275,7.443,1.2591837720864834,18.022,60.35,1207
localgrid,4,4,4x4,16,2000,1296.277936871477,1211.712569131416,9.5495,3.2278102685202543,37.863,4.75,95
localgrid,5,5,5x5,25,2000,1533.9440774505697,1251.152666433666,10.472,4.670666286706949,61.4245,0.15,3
localgrid,6,6,6x6,36,2000,1937.9715024586615,1533.362401587649,11.7395,5.030734926126448,80.654,0.0,0
raycasting,3,3,3x3,9,2000,271.76902069589863,949.4714478306446,3.7195,3.227232136619835,8.156,20.9,418
raycasting,4,4,4x4,16,2000,638.0971094774382,883.2047093117479,6.8355,3.3846961213552,23.1065,1.4000000000000001,28
raycasting,5,5,5x5,25,2000,595.8194678114406,960.8038321050428,5.9155,5.184573237000795,34.233,0.0,0
raycasting,6,6,6x6,36,2000,811.5428505826802,1315.2339291669007,7.958,5.027810203032617,151.7475,0.0,0
