encoding,grid_cols,grid_rows,grid_label,grid_area,episodes,avg_reward,std_reward,avg_score,std_score,avg_steps,win_rate,total_wins
basic,3,3,3x3,9,2000,42.04718438135725,439.59582000068593,2.216,1.7606515688725835,54.2955,3.95,79
basic,4,4,4x4,16,2000,-151.17181015225788,133.47886459083074,1.8055,1.1411927578000254,103.426,0.0,0
basic,5,5,5x5,25,2000,-319.5040195673532,121.98557255632636,1.7015,1.0945303780042774,159.3355,0.0,0
basic,6,6,6x6,36,2000,-547.7857959990176,122.72739742037955,1.446,1.1413743328478354,229.563,0.0,0
bodyaware,3,3,3x3,9,2000,7.105993633569504,409.0825686153128,2.074,1.8265245949748454,52.1265,3.2,64
bodyaware,4,4,4x4,16,2000,-182.71085125283312,138.7771296047241,1.523,1.1397897000237085,100.174,0.0,0
bodyaware,5,5,5x5,25,2000,-308.18874679674474,112.87206329391893,1.679,0.9583413844265268,156.5355,0.0,0
bodyaware,6,6,6x6,36,2000,-502.77343533650406,112.45680707295207,1.586,0.9154359679987192,223.9475,0.0,0
distance,3,3,3x3,9,2000,-8.41530264029144,590.1535979180032,2.0095,2.9473298299585133,42.335,8.55,171
distance,4,4,4x4,16,2000,-164.17878507484787,497.5539624825903,1.608,2.925340118243295,90.196,0.3,6
distance,5,5,5x5,25,2000,-459.17054696675007,276.68853314751703,0.6015,1.7335513693499507,150.508,0.0,0
distance,6,6,6x6,36,2000,-661.5063278370195,234.7826436442986,0.495,1.4625472718039332,218.5915,0.0,0
localgrid,3,3,3x3,9,2000,580.098322725921,1082.676520079009,5.1175,2.9776042069769297,30.832,33.7,674
localgrid,4,4,4x4,16,2000,277.93183132950986,684.6654125059933,4.699,3.6363457626101265,98.01,0.4,8
localgrid,5,5,5x5,25,2000,3.0570986028363794,587.2000131376309,4.2125,3.3224784696955973,175.7415,0.0,0
localgrid,6,6,6x6,36,2000,-323.09252004736663,617.2648728967788,4.077,3.214690983447634,280.123,0.0,0
raycasting,3,3,3x3,9,2000,-36.240938860417785,536.0232212364197,2.19,2.4180205565101907,31.5165,5.6000000000000005,112
raycasting,4,4,4x4,16,2000,-299.8272433349088,188.76052231311482,0.7485,1.49310496322784,83.151,0.0,0
raycasting,5,5,5x5,25,2000,-456.74500158144167,200.78835912500315,0.5645,1.308317850447244,138.236,0.0,0
raycasting,6,6,6x6,36,2000,-690.7202008108094,134.42805221799264,0.202,0.7235037863511369,210.114,0.0,0
