episode,reward,score,steps,win,epsilon
1,-300.20000000000005,0,2,0,1.0
2,-300.40000000000003,0,4,0,0.995
3,-190.7,1,7,0,0.990025
4,-300.90000000000003,0,9,0,0.985074875
5,-300.40000000000003,0,4,0,0.9801495006250001
6,-300.6,0,6,0,0.9752487531218751
7,-300.3,0,3,0,0.9703725093562657
8,-301.70000000000005,0,17,0,0.9655206468094844
9,-300.5,0,5,0,0.960693043575437
10,-71.09999999999997,2,11,0,0.9558895783575597
11,-300.3,0,3,0,0.9511101304657719
12,-300.3,0,3,0,0.946354579813443
13,-300.6,0,6,0,0.9416228069143757
14,-70.80000000000001,2,8,0,0.9369146928798039
15,-302.70000000000005,0,27,0,0.9322301194154049
16,-300.3,0,3,0,0.9275689688183278
17,-71.1,2,11,0,0.9229311239742362
18,-300.40000000000003,0,4,0,0.918316468354365
19,-300.5,0,5,0,0.9137248860125932
20,-190.89999999999998,1,9,0,0.9091562615825302
21,-301.6,0,16,0,0.9046104802746175
22,-301.0,0,10,0,0.9000874278732445
23,-300.3,0,3,0,0.8955869907338783
24,-300.3,0,3,0,0.8911090557802088
25,-300.40000000000003,0,4,0,0.8866535105013078
26,-300.20000000000005,0,2,0,0.8822202429488013
27,-300.8,0,8,0,0.8778091417340573
28,-300.6,0,6,0,0.8734200960253871
29,-301.1,0,11,0,0.8690529955452602
30,-300.20000000000005,0,2,0,0.8647077305675338
31,-300.5,0,5,0,0.8603841919146962
32,-193.40000000000003,1,34,0,0.8560822709551227
33,-301.8,0,18,0,0.851801859600347
34,-300.20000000000005,0,2,0,0.8475428503023453
35,-300.6,0,6,0,0.8433051360508336
36,-301.90000000000003,0,19,0,0.8390886103705794
37,-190.4,1,4,0,0.8348931673187264
38,-190.4,1,4,0,0.8307187014821328
39,-300.3,0,3,0,0.8265651079747222
40,-300.3,0,3,0,0.8224322824348486
41,-300.3,0,3,0,0.8183201210226743
42,-70.5,2,5,0,0.8142285204175609
43,-300.40000000000003,0,4,0,0.810157377815473
44,-190.89999999999998,1,9,0,0.8061065909263957
45,-300.90000000000003,0,9,0,0.8020760579717637
46,-300.40000000000003,0,4,0,0.798065677681905
47,-70.5,2,5,0,0.7940753492934954
48,-301.5,0,15,0,0.7901049725470279
49,-300.5,0,5,0,0.7861544476842928
50,-190.60000000000002,1,6,0,0.7822236754458713
51,-300.6,0,6,0,0.778312557068642
52,-191.90000000000003,1,19,0,0.7744209942832988
53,-301.5,0,15,0,0.7705488893118823
54,-190.70000000000002,1,7,0,0.7666961448653229
55,-300.6,0,6,0,0.7628626641409962
56,-71.1,2,11,0,0.7590483508202912
57,-192.39999999999992,1,24,0,0.7552531090661897
58,-190.7,1,7,0,0.7514768435208588
59,-191.60000000000002,1,16,0,0.7477194593032545
60,347.20000000000005,5,28,0,0.7439808620067382
61,-301.90000000000003,0,19,0,0.7402609576967045
62,58.89999999999998,3,11,0,0.736559652908221
63,-301.40000000000003,0,14,0,0.7328768546436799
64,-300.3,0,3,0,0.7292124703704616
65,-191.09999999999997,1,11,0,0.7255664080186093
66,-190.89999999999998,1,9,0,0.7219385759785162
67,-300.3,0,3,0,0.7183288830986236
68,-300.3,0,3,0,0.7147372386831305
69,-190.8,1,8,0,0.7111635524897149
70,-70.80000000000001,2,8,0,0.7076077347272662
71,-300.20000000000005,0,2,0,0.7040696960536299
72,-71.99999999999997,2,20,0,0.7005493475733617
73,-190.4,1,4,0,0.697046600835495
74,-300.5,0,5,0,0.6935613678313175
75,-300.8,0,8,0,0.6900935609921609
76,-190.3,1,3,0,0.6866430931872001
77,-302.1,0,21,0,0.6832098777212641
78,-70.4,2,4,0,0.6797938283326578
79,-301.40000000000003,0,14,0,0.6763948591909945
80,-191.1,1,11,0,0.6730128848950395
81,-70.6,2,6,0,0.6696478204705644
82,-300.20000000000005,0,2,0,0.6662995813682115
83,-70.69999999999999,2,7,0,0.6629680834613705
84,-70.5,2,5,0,0.6596532430440636
85,-191.1,1,11,0,0.6563549768288433
86,-300.20000000000005,0,2,0,0.653073201944699
87,-71.99999999999991,2,20,0,0.6498078359349755
88,-300.20000000000005,0,2,0,0.6465587967553006
89,-300.40000000000003,0,4,0,0.6433260027715241
90,-300.3,0,3,0,0.6401093727576664
91,-300.70000000000005,0,7,0,0.6369088258938781
92,-190.5,1,5,0,0.6337242817644086
93,-191.59999999999997,1,16,0,0.6305556603555866
94,-190.70000000000002,1,7,0,0.6274028820538087
95,-70.69999999999999,2,7,0,0.6242658676435396
96,-300.3,0,3,0,0.6211445383053219
97,-190.7,1,7,0,0.6180388156137953
98,-191.0,1,10,0,0.6149486215357263
99,-192.0,1,20,0,0.6118738784280476
100,57.89999999999998,3,21,0,0.6088145090359074
101,-301.3,0,13,0,0.6057704364907278
102,-300.6,0,6,0,0.6027415843082742
103,-301.3,0,13,0,0.5997278763867329
104,-301.3,0,13,0,0.5967292370047992
105,-300.3,0,3,0,0.5937455908197752
106,-71.0,2,10,0,0.5907768628656763
107,-300.40000000000003,0,4,0,0.5878229785513479
108,-191.99999999999994,1,20,0,0.5848838636585911
109,-300.70000000000005,0,7,0,0.5819594443402982
110,-190.3,1,3,0,0.5790496471185967
111,-302.6,0,26,0,0.5761543988830038
112,-300.5,0,5,0,0.5732736268885887
113,-191.39999999999998,1,14,0,0.5704072587541458
114,-300.20000000000005,0,2,0,0.567555222460375
115,-302.1,0,21,0,0.5647174463480732
116,-71.59999999999997,2,16,0,0.5618938591163328
117,-72.0,2,20,0,0.5590843898207511
118,-191.0,1,10,0,0.5562889678716474
119,-300.40000000000003,0,4,0,0.5535075230322891
120,-300.40000000000003,0,4,0,0.5507399854171277
121,-190.60000000000002,1,6,0,0.547986285490042
122,-300.20000000000005,0,2,0,0.5452463540625918
123,-191.0,1,10,0,0.5425201222922789
124,-301.70000000000005,0,17,0,0.5398075216808175
125,-300.6,0,6,0,0.5371084840724134
126,-300.40000000000003,0,4,0,0.5344229416520513
127,-191.59999999999997,1,16,0,0.531750826943791
128,-301.8,0,18,0,0.5290920728090721
129,-191.89999999999998,1,19,0,0.5264466124450268
130,-190.70000000000002,1,7,0,0.5238143793828016
131,-300.5,0,5,0,0.5211953074858876
132,-301.0,0,10,0,0.5185893309484582
133,-302.5,0,25,0,0.5159963842937159
134,57.99999999999994,3,20,0,0.5134164023722473
135,-71.39999999999995,2,14,0,0.510849320360386
136,-191.19999999999996,1,12,0,0.5082950737585841
137,-301.40000000000003,0,14,0,0.5057535983897912
138,-300.20000000000005,0,2,0,0.5032248303978422
139,-190.3,1,3,0,0.500708706245853
140,-70.89999999999998,2,9,0,0.4982051627146237
141,58.30000000000007,3,17,0,0.49571413690105054
142,-300.40000000000003,0,4,0,0.4932355662165453
143,-190.5,1,5,0,0.4907693883854626
144,-301.0,0,10,0,0.4883155414435353
145,347.89999999999986,5,21,0,0.4858739637363176
146,-190.6,1,6,0,0.483444593917636
147,-71.89999999999998,2,19,0,0.4810273709480478
148,-71.0,2,10,0,0.47862223409330756
149,-190.7,1,7,0,0.47622912292284103
150,-191.0,1,10,0,0.4738479773082268
151,57.500000000000114,3,25,0,0.47147873742168567
152,-191.2,1,12,0,0.46912134373457726
153,-191.69999999999996,1,17,0,0.46677573701590436
154,-190.3,1,3,0,0.46444185833082485
155,-71.39999999999995,2,14,0,0.46211964903917074
156,-190.5,1,5,0,0.4598090507939749
157,-300.90000000000003,0,9,0,0.457510005540005
158,-70.99999999999997,2,10,0,0.45522245551230495
159,-300.8,0,8,0,0.4529463432347434
160,-72.09999999999991,2,21,0,0.4506816115185697
161,198.10000000000002,4,19,0,0.4484282034609769
162,-191.99999999999991,1,20,0,0.446186062443672
163,-191.0,1,10,0,0.4439551321314536
164,-303.1,0,31,0,0.4417353564707963
165,-70.69999999999999,2,7,0,0.43952667968844233
166,-190.40000000000003,1,4,0,0.43732904629000013
167,-191.29999999999995,1,13,0,0.4351424010585501
168,-301.90000000000003,0,19,0,0.43296668905325736
169,-190.20000000000002,1,2,0,0.43080185560799106
170,-191.49999999999997,1,15,0,0.4286478463299511
171,-190.40000000000003,1,4,0,0.42650460709830135
172,57.40000000000009,3,26,0,0.42437208406280985
173,-70.89999999999998,2,9,0,0.4222502236424958
174,-70.69999999999999,2,7,0,0.42013897252428334
175,196.39999999999986,4,36,0,0.4180382776616619
176,-300.40000000000003,0,4,0,0.4159480862733536
177,199.0,4,10,0,0.41386834584198684
178,347.79999999999984,5,22,0,0.4117990041127769
179,-70.79999999999998,2,8,0,0.40974000909221303
180,-191.70000000000002,1,17,0,0.40769130904675194
181,-70.9,2,9,0,0.40565285250151817
182,59.0,3,10,0,0.4036245882390106
183,-300.3,0,3,0,0.4016064652978155
184,-190.3,1,3,0,0.3995984329713264
185,58.19999999999993,3,18,0,0.3976004408064698
186,-300.20000000000005,0,2,0,0.39561243860243744
187,-300.70000000000005,0,7,0,0.3936343764094253
188,58.30000000000001,3,17,0,0.39166620452737816
189,-191.0,1,10,0,0.3897078735047413
190,-70.30000000000001,2,3,0,0.3877593341372176
191,58.900000000000034,3,11,0,0.3858205374665315
192,-70.79999999999998,2,8,0,0.38389143477919885
193,-301.40000000000003,0,14,0,0.3819719776053028
194,-300.90000000000003,0,9,0,0.3800621177172763
195,-300.6,0,6,0,0.37816180712868996
196,-71.0,2,10,0,0.37627099809304654
197,-191.39999999999998,1,14,0,0.3743896431025813
198,-71.69999999999993,2,17,0,0.37251769488706843
199,-190.3,1,3,0,0.3706551064126331
200,-301.90000000000003,0,19,0,0.36880183088056995
201,-191.29999999999995,1,13,0,0.3669578217261671
202,-70.30000000000001,2,3,0,0.36512303261753626
203,-300.20000000000005,0,2,0,0.3632974174544486
204,-190.60000000000002,1,6,0,0.3614809303671764
205,-190.8,1,8,0,0.3596735257153405
206,58.799999999999955,3,12,0,0.3578751580867638
207,-301.20000000000005,0,12,0,0.35608578229633
208,-71.19999999999996,2,12,0,0.3543053533848483
209,-190.20000000000002,1,2,0,0.35253382661792404
210,-71.49999999999994,2,15,0,0.3507711574848344
211,-301.90000000000003,0,19,0,0.34901730169741024
212,-301.1,0,11,0,0.3472722151889232
213,-71.89999999999992,2,19,0,0.3455358541129786
214,-191.09999999999997,1,11,0,0.3438081748424137
215,-191.2,1,12,0,0.3420891339682016
216,-70.69999999999999,2,7,0,0.3403786882983606
217,-190.99999999999997,1,10,0,0.3386767948568688
218,-304.20000000000005,0,42,0,0.33698341088258443
219,-303.0,0,30,0,0.3352984938281715
220,-190.40000000000003,1,4,0,0.33362200135903064
221,-190.40000000000003,1,4,0,0.33195389135223546
222,-71.49999999999994,2,15,0,0.3302941218954743
223,-72.89999999999986,2,29,0,0.32864265128599696
224,-300.3,0,3,0,0.326999438029567
225,-70.5,2,5,0,0.3253644408394192
226,-301.3,0,13,0,0.3237376186352221
227,-70.6,2,6,0,0.322118930542046
228,-190.8,1,8,0,0.32050833588933575
229,-190.9,1,9,0,0.31890579420988907
230,-190.9,1,9,0,0.3173112652388396
231,-191.69999999999996,1,17,0,0.3157247089126454
232,-71.19999999999999,2,12,0,0.3141460853680822
233,-190.4,1,4,0,0.3125753549412418
234,-71.09999999999997,2,11,0,0.31101247816653554
235,58.700000000000045,3,13,0,0.30945741577570285
236,58.89999999999998,3,11,0,0.3079101286968243
237,58.69999999999999,3,13,0,0.3063705780533402
238,-193.1,1,31,0,0.30483872516307353
239,-71.09999999999997,2,11,0,0.3033145315372582
240,-190.70000000000002,1,7,0,0.3017979588795719
241,-71.99999999999997,2,20,0,0.30028896908517405
242,-190.5,1,5,0,0.2987875242397482
243,-191.2,1,12,0,0.29729358661854943
244,198.69999999999993,4,13,0,0.29580711868545667
245,-72.10000000000002,2,21,0,0.2943280830920294
246,58.000000000000114,3,20,0,0.29285644267656924
247,-70.89999999999998,2,9,0,0.2913921604631864
248,346.6,5,34,0,0.28993519966087045
249,-191.59999999999997,1,16,0,0.2884855236625661
250,58.299999999999955,3,17,0,0.28704309604425327
251,-191.3,1,13,0,0.285607880564032
252,-190.3,1,3,0,0.28417984116121187
253,-70.9,2,9,0,0.2827589419554058
254,-191.0,1,10,0,0.28134514724562876
255,-70.9,2,9,0,0.2799384215094006
256,-300.40000000000003,0,4,0,0.27853872940185365
257,59.30000000000001,3,7,0,0.27714603575484437
258,-70.69999999999999,2,7,0,0.2757603055760701
259,-300.20000000000005,0,2,0,0.2743815040481898
260,-300.20000000000005,0,2,0,0.2730095965279488
261,-70.89999999999998,2,9,0,0.27164454854530906
262,-190.70000000000002,1,7,0,0.2702863258025825
263,198.39999999999998,4,16,0,0.2689348941735696
264,58.60000000000002,3,14,0,0.26759021970270175
265,-190.8,1,8,0,0.2662522686041882
266,-301.0,0,10,0,0.2649210072611673
