encoding,food_count,food_pattern,grid,episode,reward,score,steps,win
basic,1,uniform,5x5,0,3351.0499086404966,16,73,0
basic,1,uniform,5x5,1,4438.099004396127,19,88,0
basic,1,uniform,5x5,2,1664.3870764718827,11,61,0
basic,1,uniform,5x5,3,3357.2319086404955,16,63,0
basic,1,uniform,5x5,4,435.9646947923827,5,17,0
basic,1,uniform,5x5,5,872.2342862911487,8,29,0
basic,1,uniform,5x5,6,2163.7373908174745,13,49,0
basic,1,uniform,5x5,7,4440.2910043961265,19,51,0
basic,1,uniform,5x5,8,2161.8933908174745,13,69,0
basic,1,uniform,5x5,9,1050.1023879435313,9,43,0
basic,1,uniform,5x5,10,567.6868396586982,6,27,0
basic,1,uniform,5x5,11,3695.2937677719897,17,69,0
basic,1,uniform,5x5,12,1051.9003879435313,9,31,0
basic,1,uniform,5x5,13,3691.9737677719895,17,84,0
basic,1,uniform,5x5,14,3348.3819086404956,16,57,0
basic,1,uniform,5x5,15,873.7162862911489,8,31,0
basic,1,uniform,5x5,16,1898.9552960139495,12,55,0
basic,1,uniform,5x5,17,2162.259390817474,13,49,0
basic,1,uniform,5x5,18,3037.265728385736,15,57,0
basic,1,uniform,5x5,19,6682.924810328774,23,78,0
basic,1,uniform,5x5,20,1671.0030764718822,11,39,0
basic,1,uniform,5x5,21,704.5469609703168,7,45,0
basic,1,uniform,5x5,22,3033.6697283857366,15,83,0
basic,1,uniform,5x5,23,2159.0953908174747,13,55,0
basic,1,uniform,5x5,24,563.2468396586981,6,23,0
basic,1,uniform,5x5,25,709.2989609703169,7,37,0
basic,1,uniform,5x5,26,1451.6217071896426,10,48,0
basic,1,uniform,5x5,27,2154.4953908174743,13,61,0
basic,1,uniform,5x5,28,1901.883296013949,12,53,0
basic,1,uniform,5x5,29,3037.1457283857367,15,65,0
basic,1,uniform,5x5,30,567.6868396586981,6,26,0
basic,1,uniform,5x5,31,138.7218952884062,3,13,0
basic,1,uniform,5x5,32,1050.2543879435311,9,39,0
basic,1,uniform,5x5,33,2163.569390817474,13,59,0
basic,1,uniform,5x5,34,2442.465939247615,14,57,0
basic,1,uniform,5x5,35,866.1682862911487,8,33,0
basic,1,uniform,5x5,36,2440.7379392476146,14,66,0
basic,1,uniform,5x5,37,2159.1713908174743,13,51,0
basic,1,uniform,5x5,38,2157.1773908174746,13,73,0
basic,1,uniform,5x5,39,3690.43776777199,17,81,0
basic,1,uniform,5x5,40,6213.687427301155,22,85,0
basic,1,uniform,5x5,41,870.5522862911487,8,39,0
basic,1,uniform,5x5,42,3357.3279086404964,16,55,0
basic,1,uniform,5x5,43,3041.631728385737,15,65,0
basic,1,uniform,5x5,44,2151.753390817474,13,45,0
basic,1,uniform,5x5,45,2165.1893908174743,13,52,0
basic,1,uniform,5x5,46,5767.223265324378,21,74,0
