encoding,food_count,food_pattern,grid,episode,reward,score,steps,win
basic,1,uniform,4x4,0,1909.1500460139491,12,28,0
basic,1,uniform,4x4,1,440.0845697923828,5,16,0
basic,1,uniform,4x4,2,711.2062109703168,7,13,0
basic,1,uniform,4x4,3,1669.8448264718822,11,40,0
basic,1,uniform,4x4,4,1663.9910764718823,11,46,0
basic,1,uniform,4x4,5,1450.1383321896424,10,40,0
basic,1,uniform,4x4,6,703.3774609703169,7,29,0
basic,1,uniform,4x4,7,1906.9662960139494,12,42,0
basic,1,uniform,4x4,8,2441.569814247616,14,40,0
basic,1,uniform,4x4,9,1908.761296013949,12,45,0
basic,1,uniform,4x4,10,1448.4327071896425,10,34,0
basic,1,uniform,4x4,11,870.3772862911487,8,27,0
basic,1,uniform,4x4,12,1905.3637960139495,12,31,0
basic,1,uniform,4x4,13,562.1895896586981,6,17,0
basic,1,uniform,4x4,14,2164.3298908174743,13,34,0
basic,1,uniform,4x4,15,438.2808197923828,5,12,0
basic,1,uniform,4x4,16,1671.6667014718823,11,40,0
basic,1,uniform,4x4,17,862.8954112911485,8,23,0
basic,1,uniform,4x4,18,1899.5987960139491,12,35,0
basic,1,uniform,4x4,19,1905.077546013949,12,44,0
basic,1,uniform,4x4,20,1907.0969210139492,12,38,0
basic,1,uniform,4x4,21,1666.1235764718822,11,34,0
basic,1,uniform,4x4,22,1660.5554514718824,11,33,0
basic,1,uniform,4x4,23,1899.7200460139488,12,31,0
basic,1,uniform,4x4,24,13568.093658640497,16,40,1
basic,1,uniform,4x4,25,564.0452146586981,6,18,0
basic,1,uniform,4x4,26,1907.214421013949,12,30,0
basic,1,uniform,4x4,27,2160.528015817475,13,37,0
basic,1,uniform,4x4,28,1452.2927071896424,10,28,0
basic,1,uniform,4x4,29,1046.0571379435314,9,36,0
basic,1,uniform,4x4,30,2162.428640817475,13,36,0
basic,1,uniform,4x4,31,1053.895262943531,9,20,0
basic,1,uniform,4x4,32,707.3293359703168,7,21,0
basic,1,uniform,4x4,33,443.93519479238273,5,10,0
basic,1,uniform,4x4,34,13571.309283640498,16,55,1
basic,1,uniform,4x4,35,2160.4280158174747,13,42,0
basic,1,uniform,4x4,36,2164.1848908174748,13,41,0
basic,1,uniform,4x4,37,13571.618658640498,16,45,1
