encoding,food_count,food_pattern,grid,episodes,avg_reward,std_reward,avg_score,std_score,avg_steps,win_rate,total_wins
basic,1,center_biased,5x5,100,2219.451425375875,1197.7121697272164,12.5,3.6941121594321755,47.18,0.0,0
basic,1,corners,5x5,100,2566.9245315091266,1334.8853224358709,13.47,3.988506213882814,60.72,1.0,1
basic,1,edge_biased,5x5,100,2628.4257969187806,2088.2282501865143,13.21,4.647786483038909,65.53,2.0,2
basic,1,uniform,5x5,100,2443.70812068633,1560.8474459424765,12.99,4.493530703335427,58.16,1.0,1
basic,2,center_biased,5x5,100,2634.6348356867193,1312.7907553697062,13.74,3.7460281996705884,33.23,1.0,1
basic,2,corners,5x5,100,3073.2949639449716,2690.30805214329,14.08,4.867289291844594,47.28,4.0,4
basic,2,edge_biased,5x5,100,2877.0322472646008,2225.2448918496357,13.87,4.777165805298486,42.82,6.0,6
basic,2,uniform,5x5,100,2600.8705148314293,1572.3204345298261,13.35,4.602096579744164,38.93,2.0,2
basic,3,center_biased,5x5,100,2872.9427814082756,1317.532200312236,14.44,3.7235803341744216,29.09,0.0,0
basic,3,corners,5x5,100,3260.7177174647313,2363.7711273105097,14.75,5.207560548729787,34.29,4.0,4
basic,3,edge_biased,5x5,100,3123.9166641984943,2256.619398430865,14.52,4.8377304972100665,33.11,2.0,2
basic,3,uniform,5x5,100,3149.9447782441853,2220.4490389620505,14.64,4.691535468320053,33.31,3.0,3
basic,5,center_biased,5x5,100,3161.2285644213553,1583.018707649526,15.1,4.0787698680317375,23.54,1.0,1
basic,5,corners,5x5,100,3729.354049115363,3142.8491117734893,15.48,5.305762066952412,27.72,6.0,6
basic,5,edge_biased,5x5,100,3847.925902725031,2720.5534973034137,16.09,4.911530445098688,27.57,5.0,5
basic,5,uniform,5x5,100,3284.263070125943,1775.884042502915,15.2,4.857567250791242,25.67,1.0,1
basic,8,center_biased,5x5,100,3483.237159628348,1572.993865241644,15.94,4.012153254472433,20.19,0.0,0
basic,8,corners,5x5,100,3740.5499100037014,2621.137498764253,15.79,5.845303735271227,21.29,9.0,9
basic,8,edge_biased,5x5,100,4483.319335661168,3745.8451855660105,16.58,5.836458037563742,22.46,12.0,12
basic,8,uniform,5x5,100,3770.665142944261,1915.210064053322,16.34,4.999434311433986,21.78,6.0,6
basic,14,center_biased,5x5,100,3776.7265736954632,1830.5085409082349,16.56,4.55786588373785,18.03,7.000000000000001,7
basic,14,corners,5x5,100,4856.954721727758,3387.076794925372,17.86,5.293449353739588,19.92,12.0,12
basic,14,edge_biased,5x5,100,3891.7703183512745,2525.9665709163187,16.3,5.511237372291032,17.99,9.0,9
basic,14,uniform,5x5,100,3692.2784295812844,1779.583100412089,16.31,4.596210560358555,18.22,2.0,2
bodyaware,1,center_biased,5x5,100,2045.498132978072,1108.5323235625763,11.94,3.5099281986382516,44.24,0.0,0
bodyaware,1,corners,5x5,100,2006.0292423068247,1216.7724117128867,11.76,3.7446797276437773,54.67,0.0,0
bodyaware,1,edge_biased,5x5,100,1921.4173945703512,1087.2763621340735,11.56,3.4591994169259177,51.68,0.0,0
bodyaware,1,uniform,5x5,100,1926.1553056570694,1205.4477872458917,11.54,3.599719405450901,49.89,0.0,0
bodyaware,2,center_biased,5x5,100,2572.915467414371,1345.2458811592503,13.57,3.7070912117892725,34.39,0.0,0
bodyaware,2,corners,5x5,100,2597.566975324438,1442.1624943654335,13.54,4.011146086755371,41.89,2.0,2
bodyaware,2,edge_biased,5x5,100,2666.614842277586,1650.076676912854,13.64,4.551656375164513,40.73,5.0,5
bodyaware,2,uniform,5x5,100,2249.2728911501204,1274.1895048948154,12.51,3.9529940065931815,38.17,0.0,0
bodyaware,3,center_biased,5x5,100,2924.6601414443285,1576.450155275939,14.42,4.27390484525131,29.84,1.0,1
bodyaware,3,corners,5x5,100,3107.625228690663,2324.711854701547,14.42,4.97504885514817,33.1,4.0,4
bodyaware,3,edge_biased,5x5,100,2849.6253632284,1597.642360659112,14.14,4.385513341984867,32.01,2.0,2
bodyaware,3,uniform,5x5,100,2851.9738570408063,2086.767557575413,13.99,4.083707465853383,31.89,2.0,2
bodyaware,5,center_biased,5x5,100,2928.483219121635,1412.0076201007134,14.56,3.825274797021421,23.45,1.0,1
bodyaware,5,corners,5x5,100,3508.291751039183,2412.363071162078,15.43,5.150767325399589,26.8,6.0,6
bodyaware,5,edge_biased,5x5,100,3373.4869369224853,2174.698755343348,15.34,4.330348622445909,26.41,2.0,2
bodyaware,5,uniform,5x5,100,3156.1303212863522,1736.6642950426049,14.9,4.693644962105998,26.22,2.0,2
bodyaware,8,center_biased,5x5,100,3399.1028079956204,1707.4305421765298,15.59,4.410948270662971,20.22,3.0,3
bodyaware,8,corners,5x5,100,3940.715682225827,2668.66693023046,16.16,6.051496183639717,21.85,10.0,10
bodyaware,8,edge_biased,5x5,100,3979.4966374627897,2853.0144914750194,16.29,5.39227843000217,21.98,9.0,9
bodyaware,8,uniform,5x5,100,3549.7971326769025,1815.7355236735264,15.88,4.748801018268833,21.5,3.0,3
bodyaware,14,center_biased,5x5,100,3768.3874909005403,1699.7165523622266,16.62,4.109068561662661,18.4,6.0,6
bodyaware,14,corners,5x5,100,4634.284052020037,3478.9999139981355,17.34,5.4702501189284165,19.31,19.0,19
bodyaware,14,edge_biased,5x5,100,4759.6016206307295,3419.5561081477167,17.59,5.440393256730506,19.41,14.000000000000002,14
bodyaware,14,uniform,5x5,100,3770.9091127981515,1733.1306840586294,16.59,4.233333333333333,18.58,5.0,5
distance,1,center_biased,5x5,100,2508.0505650716927,1330.1976895073378,13.29,3.8672282768740893,51.17,0.0,0
distance,1,corners,5x5,100,2021.4326870925029,1129.7408333499866,11.85,3.468108674447469,63.71,0.0,0
distance,1,edge_biased,5x5,100,2069.5170351611578,1268.5136285359556,11.97,3.822989998058133,60.49,1.0,1
distance,1,uniform,5x5,100,2117.7337895430037,1389.1493705448754,11.97,4.152290350097782,57.78,1.0,1
distance,2,center_biased,5x5,100,2894.245137615788,1738.3191168377489,14.17,4.684069283273365,38.2,3.0,3
distance,2,corners,5x5,100,2542.6544419271695,1471.9906664404618,13.3,4.2864597716224235,44.23,1.0,1
distance,2,edge_biased,5x5,100,2965.646335435227,2180.176139063295,14.12,4.63469567937357,45.26,3.0,3
distance,2,uniform,5x5,100,2746.290436504768,1668.0443423016904,13.75,4.630541997641225,43.77,1.0,1
distance,3,center_biased,5x5,100,2992.649675782701,1507.8723536218242,14.62,4.136020631798959,31.19,1.0,1
distance,3,corners,5x5,100,3526.542849508653,2408.522647550187,15.49,5.096037280043774,39.25,8.0,8
distance,3,edge_biased,5x5,100,3410.213161013834,1899.1963883171036,15.49,4.8356734147104445,37.85,5.0,5
distance,3,uniform,5x5,100,3294.0724512430966,2398.7074828306436,14.93,4.960968869204091,36.35,5.0,5
