encoding,food_count,food_pattern,grid,episodes,avg_reward,std_reward,avg_score,std_score,avg_steps,win_rate,total_wins
basic,1,center_biased,6x6,200,2850.0256155185184,1470.9415000623342,14.31,3.942284621916714,59.93,0.0,0
basic,1,corners,6x6,200,2893.6758128404194,1619.9526036866582,14.28,4.383798403463719,75.89,0.0,0
basic,1,edge_biased,6x6,200,2900.3225823463167,1735.0418169626319,14.275,4.506764876076985,73.37,0.0,0
basic,1,uniform,6x6,200,2672.550039731727,1405.6758020998968,13.825,3.7929284903176477,66.805,0.0,0
basic,2,center_biased,6x6,200,3538.981493177087,1941.7683453836796,15.895,4.8374559325638815,47.14,0.0,0
basic,2,corners,6x6,200,3680.499257543746,2300.095921211332,16.015,5.567744055660849,58.08,0.0,0
basic,2,edge_biased,6x6,200,3514.789169055061,2001.966335348434,15.835,4.894646342083396,57.31,0.0,0
basic,2,uniform,6x6,200,3296.875227307113,2055.375964403878,15.16,5.188351855346204,52.565,0.0,0
basic,3,center_biased,6x6,200,4042.1221211639013,2171.185574639639,17.075,4.975252828100054,41.025,0.0,0
basic,3,corners,6x6,200,4416.792985539669,2908.2509148325016,17.585,5.950615440490423,49.58,1.0,2
basic,3,edge_biased,6x6,200,4260.823825637996,2587.731536208574,17.345,5.933972967235305,50.0,0.0,0
basic,3,uniform,6x6,200,3972.944399018024,2404.0939838382133,16.805,5.611991378840571,45.61,0.0,0
basic,5,center_biased,6x6,200,4151.727338491756,2317.822553073089,17.36,5.144192217232867,32.525,0.0,0
basic,5,corners,6x6,200,4862.0353561237425,3236.5612368946327,18.335,7.319195867081541,39.12,0.5,1
basic,5,edge_biased,6x6,200,4502.444440057534,2910.1660468654336,17.69,6.6479225606093895,37.37,0.5,1
basic,5,uniform,6x6,200,4196.622916477971,2600.882942637007,17.14,6.178289106330898,36.115,0.0,0
basic,8,center_biased,6x6,200,5195.355681029794,2802.8652884237695,19.5,5.8935276653044175,28.75,0.0,0
basic,8,corners,6x6,200,4878.333010202304,3408.239557505449,18.325,7.578027945164128,30.015,0.0,0
basic,8,edge_biased,6x6,200,5138.166557397517,3240.0121112304214,18.995,7.25590904576415,30.945,0.0,0
basic,8,uniform,6x6,200,5137.9212026382775,2956.4593114172135,19.245,6.3976263657373655,31.685,0.0,0
bodyaware,1,center_biased,6x6,200,2806.4406470603176,1484.8531517067145,14.21,3.8392184087324015,58.955,0.0,0
bodyaware,1,corners,6x6,200,3095.8814419687346,1631.932016025166,14.875,4.274427288329523,78.655,0.0,0
bodyaware,1,edge_biased,6x6,200,2644.9155657746246,1398.4301242334682,13.695,3.8308421735688833,70.59,0.0,0
bodyaware,1,uniform,6x6,200,2814.444920900552,1480.0131545861343,14.235,3.9059000597022338,69.075,0.0,0
bodyaware,2,center_biased,6x6,200,3473.9183898614447,2001.0532409723467,15.7,4.893848050738661,47.11,0.0,0
bodyaware,2,corners,6x6,200,3467.137090192624,2376.232118009895,15.455,5.7622907749326915,56.35,0.0,0
bodyaware,2,edge_biased,6x6,200,3584.6900952845,2047.8110048543856,15.905,5.076893661111207,57.605,0.0,0
bodyaware,2,uniform,6x6,200,3531.140447622494,2569.598243128337,15.72,5.091287266512345,54.39,0.5,1
bodyaware,3,center_biased,6x6,200,3642.0743314592946,1951.4266366575598,16.18,4.7444863529963754,38.27,0.0,0
bodyaware,3,corners,6x6,200,3934.533598403515,2480.6828442707792,16.64,5.74153517194254,48.29,0.0,0
bodyaware,3,edge_biased,6x6,200,3980.0495088228727,2422.7527846150037,16.71,5.836628406518517,48.385,0.0,0
bodyaware,3,uniform,6x6,200,4047.637111508642,2840.0959754070104,16.715,5.85363993618608,45.925,0.5,1
bodyaware,5,center_biased,6x6,200,4558.278847619098,2508.9230939175777,18.16,5.593822867356167,33.215,0.0,0
bodyaware,5,corners,6x6,200,4318.802651661401,2869.9217239796976,17.28,6.617443068422963,37.13,0.0,0
bodyaware,5,edge_biased,6x6,200,5164.736335671604,3055.4695322555926,19.21,6.719498366058087,39.525,0.5,1
bodyaware,5,uniform,6x6,200,4841.9067496366515,2840.1747728468913,18.61,6.318028761978372,38.645,0.0,0
bodyaware,8,center_biased,6x6,200,5045.762147247198,3073.3569798275894,19.07,6.0037760312295,28.32,0.5,1
bodyaware,8,corners,6x6,200,4886.710808197003,3336.1438174339,18.43,7.2870160570068325,30.635,0.0,0
bodyaware,8,edge_biased,6x6,200,5531.328113280475,3893.6306055082523,19.52,7.528812328340832,31.26,1.5,3
bodyaware,8,uniform,6x6,200,5124.782534889051,2836.461161920416,19.2,6.333289253130563,30.74,0.0,0
distance,1,center_biased,6x6,200,2953.695118425855,1764.8297569260558,14.49,4.446205541649301,60.92,0.0,0
distance,1,corners,6x6,200,2576.5954526439155,1380.562661460456,13.53,3.855310245029203,71.615,0.0,0
distance,1,edge_biased,6x6,200,2944.7033236676316,1667.3254783071452,14.515,4.2461658732456025,75.725,0.0,0
distance,1,uniform,6x6,200,2743.4807866827055,1508.9535530080018,13.99,4.006263939603686,68.19,0.0,0
distance,2,center_biased,6x6,200,3461.9467058198775,1937.1009181845568,15.79,4.594720588505046,47.03,0.0,0
distance,2,corners,6x6,200,3381.3164547213846,1923.9112781972942,15.39,5.08697222639959,57.21,0.0,0
distance,2,edge_biased,6x6,200,3492.9042862978017,1985.5710410299907,15.715,5.013927837714564,57.005,0.0,0
distance,2,uniform,6x6,200,3491.9603180377853,1977.1209597670545,15.755,4.9087118739346005,54.53,0.0,0
distance,3,center_biased,6x6,200,4210.222541266603,2237.5387653447588,17.48,5.112758698348444,41.735,0.0,0
distance,3,corners,6x6,200,4073.4350873761946,2530.4021964361787,16.955,5.850995276757897,48.91,0.0,0
distance,3,edge_biased,6x6,200,3675.2652077124535,2228.8233590465975,16.04,5.472489442979093,46.64,0.0,0
distance,3,uniform,6x6,200,3589.3891606127418,2136.346330885932,15.955,5.095369362933723,45.405,0.0,0
distance,5,center_biased,6x6,200,4659.8930454677775,2536.6876405988965,18.41,5.5094163340329,33.77,0.5,1
distance,5,corners,6x6,200,4502.527586331162,2919.505581605529,17.705,6.705429810588106,37.29,0.0,0
distance,5,edge_biased,6x6,200,4751.038605810711,2713.0217528070957,18.455,6.176464894497892,38.995,0.0,0
distance,5,uniform,6x6,200,4156.076408998921,2747.198439433478,16.95,6.51226133832891,34.665,0.0,0
distance,8,center_biased,6x6,200,5088.064842084786,2710.129040224195,19.3,5.770310425970193,28.775,0.0,0
distance,8,corners,6x6,200,4684.531273410565,3317.56719867279,17.925,7.409716220771336,29.92,0.5,1
distance,8,edge_biased,6x6,200,4855.860589534387,3419.1523983906204,18.185,7.7615710345665905,29.98,0.5,1
distance,8,uniform,6x6,200,4476.77151717927,2763.885990523879,17.8,6.260669285267949,29.35,0.0,0
localgrid,1,center_biased,6x6,200,3158.610597875462,1675.6920728031564,15.08,4.168992985429791,62.55,0.0,0
localgrid,1,corners,6x6,200,3033.503537526551,1418.0030941720313,14.855,3.7582706115911537,80.91,0.0,0
localgrid,1,edge_biased,6x6,200,2882.8151192880773,1489.9569750468881,14.415,3.8869418033866374,78.205,0.0,0
localgrid,1,uniform,6x6,200,2962.1677840534812,1433.6164014582919,14.645,3.722669248222073,73.53,0.0,0
localgrid,2,center_biased,6x6,200,3997.4032386539093,1877.9805557061554,17.13,4.332082025235307,50.075,0.0,0
localgrid,2,corners,6x6,200,3679.5861527257057,2158.425519329894,16.105,5.200886569184877,60.035,0.0,0
localgrid,2,edge_biased,6x6,200,3674.658677233377,2076.299342459032,16.16,5.125990528129404,60.475,0.0,0
localgrid,2,uniform,6x6,200,3753.945107008644,2089.375402561252,16.375,5.040975318408534,57.185,0.0,0
localgrid,3,center_biased,6x6,200,4283.678383852333,2144.347233164126,17.765,4.66460800488058,42.555,0.0,0
localgrid,3,corners,6x6,200,4053.452414329199,2555.992171250698,16.82,5.999798991607844,48.455,0.0,0
localgrid,3,edge_biased,6x6,200,3819.036642076421,2193.888610635759,16.445,5.264556274162057,47.195,0.0,0
localgrid,3,uniform,6x6,200,4294.019638998553,2345.0582177309966,17.56,5.483314113594233,47.295,0.0,0
