episode,reward,score,steps,win,epsilon
1,-296.7,0,7,0,1.0
2,-255.55,1,7,0,0.995
3,-256.56,1,6,0,0.990025
4,-253.60000000000002,1,14,0,0.985074875
5,-240.94,1,10,0,0.9801495006250001
6,-247.44,1,5,0,0.9752487531218751
7,-294.28000000000003,0,3,0,0.9703725093562657
8,-263.17,1,12,0,0.9655206468094844
9,-253.69,1,7,0,0.960693043575437
10,-309.41,0,4,0,0.9558895783575597
11,-304.54,0,7,0,0.9511101304657719
12,-250.57,1,6,0,0.946354579813443
13,-307.38,0,6,0,0.9416228069143757
14,-267.12,1,9,0,0.9369146928798039
15,-348.21000000000004,0,33,0,0.9322301194154049
16,-313.21000000000004,0,12,0,0.9275689688183278
17,-260.29,1,27,0,0.9229311239742362
18,-300.28000000000003,0,3,0,0.918316468354365
19,-254.54000000000002,1,8,0,0.9137248860125932
20,-308.7,0,7,0,0.9091562615825302
21,-319.0,0,19,0,0.9046104802746175
22,-300.55,0,5,0,0.9000874278732445
23,-300.86,0,7,0,0.8955869907338783
24,-255.9,1,13,0,0.8911090557802088
25,-313.69,0,12,0,0.8866535105013078
26,-243.82,1,9,0,0.8822202429488013
27,-273.13,1,19,0,0.8778091417340573
28,-317.34000000000003,0,14,0,0.8734200960253871
29,-308.96000000000004,0,11,0,0.8690529955452602
30,-247.21,1,3,0,0.8647077305675338
31,-323.51,0,16,0,0.8603841919146962
32,-304.54,0,7,0,0.8560822709551227
33,-306.86,0,7,0,0.851801859600347
34,-249.82,1,9,0,0.8475428503023453
35,-311.54,0,6,0,0.8433051360508336
36,-186.93603290005933,2,27,0,0.8390886103705794
37,-187.1760329000593,2,3,0,0.8348931673187264
38,-335.36,0,26,0,0.8307187014821328
39,-186.37603290005933,2,6,0,0.8265651079747222
40,-300.55,0,5,0,0.8224322824348486
41,-314.01,0,12,0,0.8183201210226743
42,-321.22,0,15,0,0.8142285204175609
43,-297.7,0,6,0,0.810157377815473
44,-300.55,0,5,0,0.8061065909263957
45,-310.54,0,7,0,0.8020760579717637
46,-303.41,0,4,0,0.798065677681905
47,-296.39,0,5,0,0.7940753492934954
48,-260.43,1,23,0,0.7901049725470279
49,-255.01,1,12,0,0.7861544476842928
50,-182.12603290005933,2,15,0,0.7822236754458713
51,-294.86,0,7,0,0.778312557068642
52,-300.28000000000003,0,3,0,0.7744209942832988
53,-303.41,0,4,0,0.7705488893118823
54,-244.33,1,4,0,0.7666961448653229
55,-309.41,0,4,0,0.7628626641409962
56,-368.62,0,46,0,0.7590483508202912
57,-253.69,1,7,0,0.7552531090661897
58,-296.39,0,5,0,0.7514768435208588
59,-188.67603290005934,2,21,0,0.7477194593032545
60,-249.55,1,7,0,0.7439808620067382
61,-303.41,0,4,0,0.7402609576967045
62,-326.84000000000003,0,18,0,0.736559652908221
63,-315.05,0,9,0,0.7328768546436799
64,-306.86,0,7,0,0.7292124703704616
65,-300.91,0,13,0,0.7255664080186093
66,-188.2660329000593,2,11,0,0.7219385759785162
67,-305.28000000000003,0,10,0,0.7183288830986236
68,-306.55,0,5,0,0.7147372386831305
69,-261.95000000000005,1,15,0,0.7111635524897149
70,-185.01603290005932,2,10,0,0.7076077347272662
71,-319.44,0,10,0,0.7040696960536299
72,-304.39,0,16,0,0.7005493475733617
73,-316.13,0,20,0,0.697046600835495
74,-314.59000000000003,0,13,0,0.6935613678313175
75,-315.53000000000003,0,12,0,0.6900935609921609
76,-346.03000000000003,0,29,0,0.6866430931872001
77,-311.6,0,10,0,0.6832098777212641
78,-253.60000000000002,1,9,0,0.6797938283326578
79,-329.99,0,21,0,0.6763948591909945
80,-294.86,0,7,0,0.6730128848950395
81,-247.19,1,16,0,0.6696478204705644
82,-255.53000000000003,1,7,0,0.6662995813682115
83,-291.7,0,6,0,0.6629680834613705
84,-300.86,0,7,0,0.6596532430440636
85,-333.42,0,23,0,0.6563549768288433
86,-261.76,1,9,0,0.653073201944699
87,-192.69603290005932,2,17,0,0.6498078359349755
88,-297.05,0,9,0,0.6465587967553006
89,-264.71,1,19,0,0.6433260027715241
90,-308.64,0,11,0,0.6401093727576664
91,-300.24,0,10,0,0.6369088258938781
92,-208.77603290005933,2,34,0,0.6337242817644086
93,-250.86,1,8,0,0.6305556603555866
94,-167.05603290005934,2,10,0,0.6274028820538087
95,-255.63,1,11,0,0.6242658676435396
96,-305.55,0,13,0,0.6211445383053219
97,-272.51,1,24,0,0.6180388156137953
98,-270.29,1,31,0,0.6149486215357263
99,-301.71000000000004,0,8,0,0.6118738784280476
100,-244.91000000000003,1,8,0,0.6088145090359074
101,-255.69,1,22,0,0.6057704364907278
102,-178.10603290005932,2,11,0,0.6027415843082742
103,-102.2741047115938,3,15,0,0.5997278763867329
104,-317.7,0,15,0,0.5967292370047992
105,-309.55,0,8,0,0.5937455908197752
106,-285.99,1,32,0,0.5907768628656763
107,-250.33,1,4,0,0.5878229785513479
108,-291.41,0,4,0,0.5848838636585911
109,-363.23,0,40,0,0.5819594443402982
110,-187.2560329000593,2,33,0,0.5790496471185967
111,-253.69,1,7,0,0.5761543988830038
112,-267.57,1,19,0,0.5732736268885887
113,-267.94,1,13,0,0.5704072587541458
114,-179.1560329000593,2,10,0,0.567555222460375
115,-316.89,0,9,0,0.5647174463480732
116,-337.6,0,26,0,0.5618938591163328
117,-298.38,0,7,0,0.5590843898207511
118,-314.41,0,9,0,0.5562889678716474
119,-269.97,1,31,0,0.5535075230322891
120,-184.99603290005933,2,10,0,0.5507399854171277
121,-254.64000000000001,1,14,0,0.547986285490042
122,-335.37,0,25,0,0.5452463540625918
123,-247.69,1,7,0,0.5425201222922789
124,-302.7,0,7,0,0.5398075216808175
125,-322.91,0,13,0,0.5371084840724134
126,-113.99410471159382,3,21,0,0.5344229416520513
127,-248.79000000000002,1,10,0,0.531750826943791
128,-291.41,0,4,0,0.5290920728090721
129,-300.38,0,7,0,0.5264466124450268
130,-189.90603290005933,2,17,0,0.5238143793828016
131,-175.62603290005933,2,7,0,0.5211953074858876
132,-253.27,1,7,0,0.5185893309484582
133,-310.89,0,9,0,0.5159963842937159
134,-244.57,1,6,0,0.5134164023722473
135,-327.48,0,19,0,0.510849320360386
136,-240.31,1,16,0,0.5082950737585841
137,-187.18603290005933,2,12,0,0.5057535983897912
138,-314.96000000000004,0,10,0,0.5032248303978422
139,-244.33,1,4,0,0.500708706245853
140,-344.91,0,29,0,0.4982051627146237
141,-104.0741047115938,3,6,0,0.49571413690105054
142,-183.51603290005932,2,7,0,0.4932355662165453
143,-296.39,0,5,0,0.4907693883854626
144,-102.3941047115938,3,21,0,0.4883155414435353
145,-255.81,1,11,0,0.4858739637363176
146,-93.67410471159383,3,26,0,0.483444593917636
147,4.166211719322064,4,25,0,0.4810273709480478
148,-167.47603290005932,2,21,0,0.47862223409330756
149,-306.28000000000003,0,3,0,0.47622912292284103
150,-100.68410471159382,3,12,0,0.4738479773082268
