episode,reward,score,steps,win,epsilon
1,-299.65000000000003,0,3,0,1.0
2,-299.25,0,5,0,0.995
3,-299.8,0,6,0,0.990025
4,-299.65000000000003,0,3,0,0.985074875
5,-299.65000000000003,0,3,0,0.9801495006250001
6,-188.35,1,7,0,0.9752487531218751
7,-189.85000000000002,1,7,0,0.9703725093562657
8,-299.8,0,6,0,0.9655206468094844
9,-298.3,0,6,0,0.960693043575437
10,-299.1,0,2,0,0.9558895783575597
11,-298.7,0,4,0,0.9511101304657719
12,-298.85,0,7,0,0.946354579813443
13,-298.3,0,6,0,0.9416228069143757
14,-299.1,0,2,0,0.9369146928798039
15,-66.2260329000593,2,4,0,0.9322301194154049
16,-299.1,0,2,0,0.9275689688183278
17,-300.2,0,4,0,0.9229311239742362
18,-299.65000000000003,0,3,0,0.918316468354365
19,-301.15000000000003,0,3,0,0.9137248860125932
20,-190.10000000000002,1,2,0,0.9091562615825302
21,-299.65000000000003,0,3,0,0.9046104802746175
22,-300.75,0,5,0,0.9000874278732445
23,-190.25,1,5,0,0.8955869907338783
24,-189.3,1,6,0,0.8911090557802088
25,-189.85,1,7,0,0.8866535105013078
26,-301.15000000000003,0,3,0,0.8822202429488013
27,-189.45,1,9,0,0.8778091417340573
28,-66.7760329000593,2,5,0,0.8734200960253871
29,-300.2,0,4,0,0.8690529955452602
30,-189.7,1,4,0,0.8647077305675338
31,-298.7,0,4,0,0.8603841919146962
32,-301.15000000000003,0,3,0,0.8560822709551227
33,-188.9,1,8,0,0.851801859600347
34,-66.7760329000593,2,5,0,0.8475428503023453
35,-299.65000000000003,0,3,0,0.8433051360508336
36,-300.6,0,2,0,0.8390886103705794
37,-300.6,0,2,0,0.8348931673187264
38,-187.8,1,6,0,0.8307187014821328
39,-187.55,1,11,0,0.8265651079747222
40,-68.27603290005933,2,5,0,0.8224322824348486
41,-300.6,0,2,0,0.8183201210226743
42,-299.65000000000003,0,3,0,0.8142285204175609
43,-299.1,0,2,0,0.810157377815473
44,-298.3,0,6,0,0.8061065909263957
45,-298.7,0,4,0,0.8020760579717637
46,-298.7,0,4,0,0.798065677681905
47,-189.15,1,3,0,0.7940753492934954
48,-299.65000000000003,0,3,0,0.7901049725470279
49,-301.15000000000003,0,3,0,0.7861544476842928
50,-298.3,0,6,0,0.7822236754458713
51,-299.1,0,2,0,0.778312557068642
52,-299.1,0,2,0,0.7744209942832988
53,-299.1,0,2,0,0.7705488893118823
54,-300.6,0,2,0,0.7666961448653229
55,-62.226032900059295,2,24,0,0.7628626641409962
56,-299.8,0,6,0,0.7590483508202912
57,-63.92603290005934,2,8,0,0.7552531090661897
58,-64.07603290005932,2,11,0,0.7514768435208588
59,-300.2,0,4,0,0.7477194593032545
60,-299.40000000000003,0,8,0,0.7439808620067382
61,-299.65000000000003,0,3,0,0.7402609576967045
62,-189.15,1,3,0,0.736559652908221
63,-299.65000000000003,0,3,0,0.7328768546436799
64,-184.3,1,16,0,0.7292124703704616
65,-298.7,0,4,0,0.7255664080186093
66,-190.39999999999998,1,8,0,0.7219385759785162
67,-189.3,1,6,0,0.7183288830986236
68,-190.65,1,3,0,0.7147372386831305
69,-65.42603290005934,2,8,0,0.7111635524897149
70,-188.75,1,5,0,0.7076077347272662
71,-299.1,0,2,0,0.7040696960536299
72,-188.75,1,5,0,0.7005493475733617
73,-301.15000000000003,0,3,0,0.697046600835495
74,-301.15000000000003,0,3,0,0.6935613678313175
75,-64.87603290005933,2,7,0,0.6900935609921609
76,-187.8,1,6,0,0.6866430931872001
77,-188.25,1,15,0,0.6832098777212641
78,-67.17603290005931,2,3,0,0.6797938283326578
79,-299.0,0,10,0,0.6763948591909945
80,-300.6,0,2,0,0.6730128848950395
81,-300.6,0,2,0,0.6696478204705644
82,-189.15,1,3,0,0.6662995813682115
83,-187.14999999999998,1,13,0,0.6629680834613705
84,-189.15,1,3,0,0.6596532430440636
85,-299.8,0,6,0,0.6563549768288433
86,-64.07603290005932,2,11,0,0.653073201944699
87,-298.45,0,9,0,0.6498078359349755
88,-188.35000000000002,1,7,0,0.6465587967553006
89,-186.75,1,15,0,0.6433260027715241
90,-300.6,0,2,0,0.6401093727576664
91,-301.15000000000003,0,3,0,0.6369088258938781
92,-299.65000000000003,0,3,0,0.6337242817644086
93,-187.4,1,8,0,0.6305556603555866
94,-299.65000000000003,0,3,0,0.6274028820538087
95,-187.95,1,9,0,0.6242658676435396
96,-300.2,0,4,0,0.6211445383053219
97,-298.45,0,9,0,0.6180388156137953
98,-187.8,1,6,0,0.6149486215357263
99,-188.35,1,7,0,0.6118738784280476
100,-299.25,0,5,0,0.6088145090359074
101,-66.37603290005933,2,7,0,0.6057704364907278
102,-299.1,0,2,0,0.6027415843082742
103,-299.1,0,2,0,0.5997278763867329
104,-66.7760329000593,2,5,0,0.5967292370047992
105,-188.35,1,7,0,0.5937455908197752
106,-299.1,0,2,0,0.5907768628656763
107,-190.10000000000002,1,2,0,0.5878229785513479
108,-298.85,0,7,0,0.5848838636585911
109,-189.15,1,3,0,0.5819594443402982
110,-300.6,0,2,0,0.5790496471185967
111,-299.25,0,5,0,0.5761543988830038
112,-189.3,1,6,0,0.5732736268885887
113,-66.37603290005933,2,7,0,0.5704072587541458
114,-299.8,0,6,0,0.567555222460375
115,-299.1,0,2,0,0.5647174463480732
116,-64.32603290005932,2,6,0,0.5618938591163328
