encoding,grid_cols,grid_rows,grid_label,grid_area,episodes,avg_reward,std_reward,avg_score,std_score,avg_steps,win_rate,total_wins
basic,3,3,3x3,9,2000,1027.998653144288,1180.2730955050777,7.3995,1.3318358169540505,16.0585,61.9,1238
basic,4,4,4x4,16,2000,1530.1444312444996,1385.3656656825117,10.2425,3.0226249983979923,31.41,7.449999999999999,149
basic,5,5,5x5,25,2000,2269.916918508273,1360.5784468714037,13.0845,3.815054005978719,52.066,0.65,13
basic,6,6,6x6,36,2000,3160.1890445742683,1885.5186132086071,15.3145,4.663953900178636,74.1555,0.0,0
bodyaware,3,3,3x3,9,2000,-295.7983666666667,17.528751016105268,0.121,0.326208838174338,2.0,0.0,0
bodyaware,4,4,4x4,16,2000,-295.0234155724004,20.486676358403397,0.1395,0.36346361977707015,3.0,0.0,0
bodyaware,5,5,5x5,25,2000,1698.4376370794419,829.7521075223194,11.4995,2.8787398843349554,45.215,0.0,0
bodyaware,6,6,6x6,36,2000,-297.9100845266946,17.144927143704262,0.091,0.2962480066442987,4.0,0.0,0
distance,3,3,3x3,9,2000,-295.65551666666664,17.80987290129204,0.1255,0.3313678504715922,2.0,0.0,0
distance,4,4,4x4,16,2000,-294.8288145526502,20.015554979044865,0.141,0.35802666317716214,3.0,0.0,0
distance,5,5,5x5,25,2000,1353.7045972305857,962.2267487101308,10.146,3.44987460893997,45.5485,0.05,1
distance,6,6,6x6,36,2000,-297.731877872195,18.506740029522373,0.0965,0.31817977494585087,4.0,0.0,0
localgrid,3,3,3x3,9,2000,941.8722612127851,1165.3888939898302,7.0455,1.748702012741073,16.007,53.1,1062
localgrid,4,4,4x4,16,2000,1302.7482510156042,1222.7196219203004,9.647,2.7061139159804677,31.903,5.35,107
localgrid,5,5,5x5,25,2000,1738.849955541989,1025.1310291517416,11.553,3.3218531506039066,49.471,0.1,2
localgrid,6,6,6x6,36,2000,2352.9387437867667,1396.5894605396516,13.268,4.038357359754403,67.8745,0.0,0
raycasting,3,3,3x3,9,2000,-295.5301277777778,18.124194109753073,0.1305,0.33693695739207435,2.0,0.0,0
raycasting,4,4,4x4,16,2000,-282.2793518138989,91.03152235244995,0.2595,0.8930613244702924,4.9895,0.0,0
raycasting,5,5,5x5,25,2000,1338.773297005311,732.7341531381976,10.308,2.673894323908055,62.0805,0.0,0
raycasting,6,6,6x6,36,2000,-298.74414131067783,15.94635403430062,0.0795,0.27425783248494395,4.0,0.0,0
