encoding,grid_cols,grid_rows,grid_label,grid_area,episodes,avg_reward,std_reward,avg_score,std_score,avg_steps,win_rate,total_wins
basic,3,3,3x3,9,2000,1414.3561028880767,1061.265102139167,7.499,1.2372406322907006,16.9485,64.75,1295
basic,4,4,4x4,16,2000,1685.0064325319547,1410.9320371644917,8.7835,3.6663809028062326,81.9125,6.7,134
basic,5,5,5x5,25,2000,1756.530461839801,1301.030494155791,9.107,4.580069816035543,163.572,0.2,4
basic,6,6,6x6,36,2000,1807.3873902622101,1489.6443949162722,8.631,5.518429625606036,424.151,0.0,0
bodyaware,3,3,3x3,9,2000,1409.606712155643,1054.9135062741132,7.504,1.238446961091883,16.4755,65.55,1311
bodyaware,4,4,4x4,16,2000,-285.7469452467505,39.966217711351014,0.1295,0.35748237274502315,3.0,0.0,0
bodyaware,5,5,5x5,25,2000,-289.8955520658002,33.187685931774574,0.094,0.2986780947812393,3.0,0.0,0
bodyaware,6,6,6x6,36,2000,-290.6415520658001,32.259224657255054,0.087,0.2889164868403741,4.0,0.0,0
distance,3,3,3x3,9,2000,1386.9786024938676,1070.6823276786313,7.419,1.4322935217217805,16.933,68.2,1364
distance,4,4,4x4,16,2000,-285.3780780987002,38.68176664678346,0.133,0.34838439379932234,3.0,0.0,0
distance,5,5,5x5,25,2000,-289.1935650822502,34.453548159067694,0.101,0.309591542942844,3.0,0.0,0
distance,6,6,6x6,36,2000,-290.2948020658001,32.64056670527349,0.0895,0.292459426687069,4.0,0.0,0
localgrid,3,3,3x3,9,2000,1467.1877631849338,1074.3083084848427,7.615,1.1547474706014433,17.366,68.65,1373
localgrid,4,4,4x4,16,2000,197.34170324511257,447.93846073309317,2.055,2.6287697151153373,357.6825,0.05,1
localgrid,5,5,5x5,25,2000,157.90992736018842,262.23789255185056,0.6715,1.287018243063783,929.46,0.0,0
localgrid,6,6,6x6,36,2000,270.66087474647424,293.053052593806,0.46,0.9730742195322816,1517.892,0.0,0
raycasting,3,3,3x3,9,2000,1436.147526928751,1069.1555666420104,7.5405,1.253453358789759,17.294,69.0,1380
raycasting,4,4,4x4,16,2000,-286.58214318095037,38.335415672583025,0.122,0.3437660360532612,3.0,0.0,0
raycasting,5,5,5x5,25,2000,-291.03302603290007,31.20306829087311,0.084,0.2810400180505848,3.0,0.0,0
raycasting,6,6,6x6,36,2000,-290.8405650822502,32.318884811030834,0.0855,0.28849846738386886,4.0,0.0,0
