encoding,food_count,food_pattern,grid,episode,reward,score,steps,win
basic,1,uniform,6x6,0,565.0105618809204,6,39,0
basic,1,uniform,6x6,1,-446.5988888888889,0,216,0
basic,1,uniform,6x6,2,441.8985281257161,5,22,0
basic,1,uniform,6x6,3,441.9271392368271,5,19,0
basic,1,uniform,6x6,4,-448.48777777777775,0,216,0
basic,1,uniform,6x6,5,232.91065616376642,4,21,0
basic,1,uniform,6x6,6,-450.26555555555547,0,216,0
basic,1,uniform,6x6,7,1052.9217212768644,9,46,0
basic,1,uniform,6x6,8,-446.5988888888889,0,216,0
basic,1,uniform,6x6,9,-446.5988888888889,0,216,0
basic,1,uniform,6x6,10,568.8427841031425,6,33,0
basic,1,uniform,6x6,11,439.3732503479382,5,23,0
basic,1,uniform,6x6,12,562.1155618809202,6,36,0
basic,1,uniform,6x6,13,235.4717672748775,4,16,0
basic,1,uniform,6x6,14,566.6497285475871,6,13,0
basic,1,uniform,6x6,15,565.2394507698093,6,25,0
basic,1,uniform,6x6,16,569.0972285475871,6,17,0
basic,1,uniform,6x6,17,570.0347285475871,6,37,0
basic,1,uniform,6x6,18,440.60186145904936,5,25,0
basic,1,uniform,6x6,19,441.8207503479383,5,27,0
basic,1,uniform,6x6,20,707.1174609703166,7,35,0
basic,1,uniform,6x6,21,137.77200639951732,3,10,0
basic,1,uniform,6x6,22,434.2265836812717,5,31,0
basic,1,uniform,6x6,23,235.2764894970997,4,29,0
basic,1,uniform,6x6,24,226.40621171932196,4,32,0
basic,1,uniform,6x6,25,565.2691729920315,6,23,0
basic,1,uniform,6x6,26,436.7446392368272,5,31,0
basic,1,uniform,6x6,27,444.1490836812716,5,35,0
basic,1,uniform,6x6,28,-446.5988888888889,0,216,0
basic,1,uniform,6x6,29,569.0263952142536,6,22,0
basic,1,uniform,6x6,30,-407.21000000000004,0,216,0
basic,1,uniform,6x6,31,443.1443614590494,5,22,0
basic,1,uniform,6x6,32,563.9327841031425,6,29,0
basic,1,uniform,6x6,33,568.9786174364759,6,24,0
basic,1,uniform,6x6,34,872.1922862911485,8,33,0
basic,1,uniform,6x6,35,440.56852812571617,5,25,0
basic,1,uniform,6x6,36,446.6996392368271,5,33,0
basic,1,uniform,6x6,37,708.4469054147614,7,29,0
basic,1,uniform,6x6,38,232.22398949709975,4,23,0
basic,1,uniform,6x6,39,566.4019507698092,6,30,0
basic,1,uniform,6x6,40,713.2571831925388,7,42,0
basic,1,uniform,6x6,41,436.77991701460496,5,29,0
basic,1,uniform,6x6,42,438.6393614590494,5,30,0
basic,1,uniform,6x6,43,863.1478418467042,8,53,0
basic,1,uniform,6x6,44,569.0080618809204,6,23,0
basic,1,uniform,6x6,45,567.6200063253648,6,30,0
basic,1,uniform,6x6,46,443.0665836812716,5,27,0
basic,1,uniform,6x6,47,875.7995085133707,8,42,0
basic,1,uniform,6x6,48,-446.5988888888889,0,216,0
basic,1,uniform,6x6,49,438.31463923682736,5,44,0
basic,1,uniform,6x6,50,-401.37666666666667,0,216,0
basic,1,uniform,6x6,51,567.693339658698,6,26,0
basic,1,uniform,6x6,52,567.9813952142538,6,39,0
basic,1,uniform,6x6,53,-446.5988888888889,0,216,0
basic,1,uniform,6x6,54,438.15547257016044,5,22,0
basic,1,uniform,6x6,55,-401.37666666666667,0,216,0
basic,1,uniform,6x6,56,-446.5988888888889,0,216,0
basic,1,uniform,6x6,57,-446.5988888888889,0,216,0
basic,1,uniform,6x6,58,570.0913952142536,6,33,0
basic,1,uniform,6x6,59,-401.37666666666667,0,216,0
basic,1,uniform,6x6,60,231.57010060821085,4,27,0
basic,1,uniform,6x6,61,712.066072081428,7,40,0
basic,1,uniform,6x6,62,572.5938952142536,6,34,0
basic,1,uniform,6x6,63,-450.26555555555547,0,216,0
basic,1,uniform,6x6,64,562.7933396586981,6,21,0
basic,1,uniform,6x6,65,563.7805618809203,6,37,0
basic,1,uniform,6x6,66,562.8061174364759,6,20,0
basic,1,uniform,6x6,67,445.53408368127157,5,29,0
basic,1,uniform,6x6,68,868.3092307355932,8,42,0
basic,1,uniform,6x6,69,445.66963923682715,5,21,0
basic,1,uniform,6x6,70,711.9869054147612,7,45,0
basic,1,uniform,6x6,71,708.5607943036503,7,24,0
basic,1,uniform,6x6,72,442.9326947923827,5,34,0
basic,1,uniform,6x6,73,571.5377841031425,6,21,0
basic,1,uniform,6x6,74,567.7850063253647,6,21,0
basic,1,uniform,6x6,75,562.0877841031427,6,26,0
basic,1,uniform,6x6,76,570.2144507698092,6,25,0
basic,1,uniform,6x6,77,872.339230735593,8,24,0
basic,1,uniform,6x6,78,563.2900063253649,6,28,0
basic,1,uniform,6x6,79,567.0569507698092,6,27,0
basic,1,uniform,6x6,80,712.1944054147614,7,33,0
basic,1,uniform,6x6,81,-449.09888888888884,0,216,0
basic,1,uniform,6x6,82,566.2652841031426,6,37,0
basic,1,uniform,6x6,83,438.2207503479383,5,17,0
basic,1,uniform,6x6,84,563.652228547587,6,44,0
basic,1,uniform,6x6,85,-449.09888888888884,0,216,0
basic,1,uniform,6x6,86,570.0883396586981,6,34,0
basic,1,uniform,6x6,87,561.597228547587,6,17,0
basic,1,uniform,6x6,88,441.9793614590494,5,16,0
basic,1,uniform,6x6,89,-449.09888888888884,0,216,0
basic,1,uniform,6x6,90,570.2097285475871,6,27,0
basic,1,uniform,6x6,91,713.367183192539,7,36,0
basic,1,uniform,6x6,92,567.7836174364758,6,21,0
basic,1,uniform,6x6,93,565.2452841031426,6,24,0
basic,1,uniform,6x6,94,712.2780165258723,7,27,0
basic,1,uniform,6x6,95,709.0077387480945,7,35,0
basic,1,uniform,6x6,96,232.78843394154416,4,26,0
basic,1,uniform,6x6,97,572.750839658698,6,24,0
basic,1,uniform,6x6,98,-450.26555555555547,0,216,0
basic,1,uniform,6x6,99,-448.48777777777775,0,216,0
basic,1,uniform,6x6,100,714.3771831925391,7,50,0
basic,1,uniform,6x6,101,709.54079430365,7,41,0
basic,1,uniform,6x6,102,440.584917014605,5,26,0
basic,1,uniform,6x6,103,-446.5988888888889,0,216,0
basic,1,uniform,6x6,104,-449.09888888888884,0,216,0
basic,1,uniform,6x6,105,441.87713923682725,5,24,0
basic,1,uniform,6x6,106,571.3538952142536,6,33,0
basic,1,uniform,6x6,107,568.2336174364758,6,31,0
basic,1,uniform,6x6,108,705.9182943036501,7,32,0
basic,1,uniform,6x6,109,564.0377841031425,6,21,0
basic,1,uniform,6x6,110,567.5055618809203,6,37,0
basic,1,uniform,6x6,111,443.18825034793826,5,19,0
basic,1,uniform,6x6,112,439.4365836812716,5,20,0
basic,1,uniform,6x6,113,713.263572081428,7,44,0
basic,1,uniform,6x6,114,-450.26555555555547,0,216,0
basic,1,uniform,6x6,115,868.3450640689261,8,38,0
basic,1,uniform,6x6,116,232.8845450526553,4,20,0
basic,1,uniform,6x6,117,711.1032943036503,7,21,0
basic,1,uniform,6x6,118,-449.09888888888884,0,216,0
basic,1,uniform,6x6,119,440.62186145904946,5,23,0
basic,1,uniform,6x6,120,872.1628418467042,8,34,0
basic,1,uniform,6x6,121,444.2979725701605,5,29,0
basic,1,uniform,6x6,122,236.53954505265528,4,27,0
basic,1,uniform,6x6,123,562.7777841031426,6,22,0
basic,1,uniform,6x6,124,-407.21000000000004,0,216,0
basic,1,uniform,6x6,125,441.22713923682716,5,24,0
basic,1,uniform,6x6,126,708.3669054147613,7,37,0
basic,1,uniform,6x6,127,230.35176727487755,4,23,0
basic,1,uniform,6x6,128,563.8975063253647,6,31,0
basic,1,uniform,6x6,129,713.3352387480945,7,36,0
basic,1,uniform,6x6,130,871.0011751800375,8,31,0
basic,1,uniform,6x6,131,568.3508396586981,6,24,0
basic,1,uniform,6x6,132,-448.48777777777775,0,216,0
basic,1,uniform,6x6,133,563.5913952142537,6,28,0
basic,1,uniform,6x6,134,710.9249609703168,7,33,0
basic,1,uniform,6x6,135,565.8350063253648,6,26,0
basic,1,uniform,6x6,136,-449.09888888888884,0,216,0
basic,1,uniform,6x6,137,-401.37666666666667,0,216,0
basic,1,uniform,6x6,138,226.67898949709974,4,20,0
basic,1,uniform,6x6,139,439.2940836812717,5,28,0
basic,1,uniform,6x6,140,233.47093394154422,4,24,0
basic,1,uniform,6x6,141,570.1775063253647,6,28,0
basic,1,uniform,6x6,142,232.86398949709974,4,24,0
basic,1,uniform,6x6,143,566.4600063253648,6,26,0
basic,1,uniform,6x6,144,235.47732283043308,4,16,0
basic,1,uniform,6x6,145,566.1719507698092,6,43,0
basic,1,uniform,6x6,146,-401.37666666666667,0,216,0
basic,1,uniform,6x6,147,567.0552841031426,6,28,0
basic,1,uniform,6x6,148,441.84325034793835,5,26,0
