encoding,food_count,food_pattern,grid,episode,reward,score,steps,win
basic,1,uniform,4x4,0,711.0218359703167,7,23,0
basic,1,uniform,4x4,1,711.0337109703167,7,24,0
basic,1,uniform,4x4,2,1055.610262943531,9,31,0
basic,1,uniform,4x4,3,1907.2175460139488,12,30,0
basic,1,uniform,4x4,4,1050.034012943531,9,28,0
basic,1,uniform,4x4,5,442.0120697923827,5,12,0
basic,1,uniform,4x4,6,714.7749609703169,7,23,0
basic,1,uniform,4x4,7,1669.9023264718821,11,33,0
basic,1,uniform,4x4,8,707.3099609703168,7,22,0
basic,1,uniform,4x4,9,438.1995697923827,5,17,0
basic,1,uniform,4x4,10,705.4937109703169,7,18,0
basic,1,uniform,4x4,11,1450.5214571896424,10,22,0
basic,1,uniform,4x4,12,563.9358396586982,6,23,0
basic,1,uniform,4x4,13,1448.5102071896424,10,30,0
basic,1,uniform,4x4,14,872.252286291149,8,27,0
basic,1,uniform,4x4,15,875.9804112911486,8,27,0
basic,1,uniform,4x4,16,569.6052146586981,6,22,0
basic,1,uniform,4x4,17,868.5741612911488,8,22,0
basic,1,uniform,4x4,18,872.3304112911487,8,22,0
basic,1,uniform,4x4,19,711.1737109703167,7,15,0
basic,1,uniform,4x4,20,872.3079112911489,8,23,0
basic,1,uniform,4x4,21,1050.024012943531,9,29,0
basic,1,uniform,4x4,22,562.2608396586982,6,13,0
basic,1,uniform,4x4,23,440.03581979238277,5,19,0
basic,1,uniform,4x4,24,714.8393359703168,7,20,0
basic,1,uniform,4x4,25,872.3497862911486,8,21,0
basic,1,uniform,4x4,26,1046.3583879435312,9,24,0
basic,1,uniform,4x4,27,874.1922862911485,8,23,0
basic,1,uniform,4x4,28,872.3535362911484,8,20,0
basic,1,uniform,4x4,29,567.8602146586982,6,14,0
basic,1,uniform,4x4,30,442.0145697923829,5,13,0
basic,1,uniform,4x4,31,571.515839658698,6,20,0
basic,1,uniform,4x4,32,564.0283396586981,6,20,0
basic,1,uniform,4x4,33,1910.9050460139492,12,35,0
basic,1,uniform,4x4,34,707.3130859703169,7,22,0
basic,1,uniform,4x4,35,232.99558671932192,4,14,0
basic,1,uniform,4x4,36,438.2939447923827,5,11,0
basic,1,uniform,4x4,37,875.9685362911487,8,26,0
basic,1,uniform,4x4,38,436.32144479238275,5,17,0
basic,1,uniform,4x4,39,707.3293359703168,7,21,0
basic,1,uniform,4x4,40,569.6439646586982,6,20,0
basic,1,uniform,4x4,41,2443.4704392476156,14,39,0
basic,1,uniform,4x4,42,714.832460970317,7,21,0
basic,1,uniform,4x4,43,2162.370515817475,13,39,0
basic,1,uniform,4x4,44,567.8989646586981,6,12,0
basic,1,uniform,4x4,45,874.2247862911486,8,21,0
basic,1,uniform,4x4,46,1452.2020821896426,10,33,0
basic,1,uniform,4x4,47,142.1815202884062,3,7,0
basic,1,uniform,4x4,48,874.1447862911486,8,24,0
basic,1,uniform,4x4,49,709.019960970317,7,31,0
basic,1,uniform,4x4,50,1055.6690129435312,9,27,0
basic,1,uniform,4x4,51,569.6539646586981,6,19,0
basic,1,uniform,4x4,52,441.9433197923828,5,17,0
basic,1,uniform,4x4,53,565.8939646586981,6,20,0
basic,1,uniform,4x4,54,1055.662137943531,9,28,0
basic,1,uniform,4x4,55,1048.2533879435312,9,22,0
basic,1,uniform,4x4,56,445.72269479238275,5,15,0
basic,1,uniform,4x4,57,569.521464658698,6,26,0
basic,1,uniform,4x4,58,712.9549609703167,7,20,0
basic,1,uniform,4x4,59,709.126835970317,7,25,0
basic,1,uniform,4x4,60,231.11121171932194,4,14,0
basic,1,uniform,4x4,61,567.8664646586981,6,14,0
basic,1,uniform,4x4,62,443.8345697923827,5,16,0
basic,1,uniform,4x4,63,872.0572862911488,8,34,0
basic,1,uniform,4x4,64,569.6927146586982,6,17,0
basic,1,uniform,4x4,65,712.6887109703168,7,31,0
basic,1,uniform,4x4,66,876.0316612911486,8,25,0
basic,1,uniform,4x4,67,1053.8615129435311,9,24,0
basic,1,uniform,4x4,68,441.90456979238274,5,19,0
basic,1,uniform,4x4,69,711.0380859703168,7,22,0
basic,1,uniform,4x4,70,710.9830859703168,7,25,0
basic,1,uniform,4x4,71,712.8224609703168,7,27,0
basic,1,uniform,4x4,72,714.7849609703169,7,22,0
basic,1,uniform,4x4,73,1049.959637943531,9,32,0
basic,1,uniform,4x4,74,443.9189447923827,5,11,0
basic,1,uniform,4x4,75,866.6147862911486,8,27,0
basic,1,uniform,4x4,76,1671.8092014718823,11,32,0
basic,1,uniform,4x4,77,877.8141612911486,8,28,0
basic,1,uniform,4x4,78,1454.0445821896424,10,35,0
basic,1,uniform,4x4,79,567.879589658698,6,13,0
basic,1,uniform,4x4,80,441.8439447923827,5,21,0
basic,1,uniform,4x4,81,714.8912109703169,7,17,0
basic,1,uniform,4x4,82,571.5777146586981,6,16,0
basic,1,uniform,4x4,83,714.8943359703167,7,17,0
basic,1,uniform,4x4,84,1450.4495821896426,10,27,0
basic,1,uniform,4x4,85,711.1312109703167,7,18,0
basic,1,uniform,4x4,86,1669.9048264718822,11,34,0
basic,1,uniform,4x4,87,569.657089658698,6,19,0
basic,1,uniform,4x4,88,564.0189646586981,6,20,0
basic,1,uniform,4x4,89,870.3035362911487,8,30,0
basic,1,uniform,4x4,90,1666.2285764718822,11,31,0
basic,1,uniform,4x4,91,872.4016612911485,8,18,0
basic,1,uniform,4x4,92,716.5180859703169,7,29,0
basic,1,uniform,4x4,93,712.7262109703167,7,31,0
basic,1,uniform,4x4,94,565.9620896586981,6,16,0
basic,1,uniform,4x4,95,1053.789637943531,9,29,0
basic,1,uniform,4x4,96,441.9595697923828,5,16,0
basic,1,uniform,4x4,97,1053.910262943531,9,21,0
basic,1,uniform,4x4,98,1053.7477629435311,9,31,0
basic,1,uniform,4x4,99,1909.143171013949,12,29,0
basic,1,center_biased,4x4,0,438.1870697923828,5,17,0
basic,1,center_biased,4x4,1,443.9058197923828,5,12,0
basic,1,center_biased,4x4,2,707.3624609703169,7,18,0
basic,1,center_biased,4x4,3,707.3012109703169,7,21,0
basic,1,center_biased,4x4,4,709.1530859703169,7,23,0
basic,1,center_biased,4x4,5,569.6964646586981,6,16,0
basic,1,center_biased,4x4,6,567.8889646586981,6,13,0
basic,1,center_biased,4x4,7,233.04121171932195,4,11,0
basic,1,center_biased,4x4,8,872.3797862911488,8,18,0
basic,1,center_biased,4x4,9,436.3608197923827,5,14,0
basic,1,center_biased,4x4,10,233.07058671932197,4,9,0
basic,1,center_biased,4x4,11,438.29081979238276,5,11,0
basic,1,center_biased,4x4,12,1049.9671379435313,9,30,0
basic,1,center_biased,4x4,13,714.855585970317,7,19,0
basic,1,center_biased,4x4,14,711.0580859703168,7,20,0
basic,1,center_biased,4x4,15,231.14371171932197,4,12,0
basic,1,center_biased,4x4,16,562.1664646586981,6,19,0
basic,1,center_biased,4x4,17,571.6164646586981,6,14,0
basic,1,center_biased,4x4,18,567.9283396586982,6,10,0
basic,1,center_biased,4x4,19,872.4279112911486,8,16,0
basic,1,center_biased,4x4,20,234.92933671932195,4,10,0
basic,1,center_biased,4x4,21,441.99894479238264,5,13,0
basic,1,center_biased,4x4,22,703.7324609703168,7,11,0
basic,1,center_biased,4x4,23,1053.8196379435312,9,26,0
basic,1,center_biased,4x4,24,571.551464658698,6,18,0
basic,1,center_biased,4x4,25,870.3841612911488,8,26,0
basic,1,center_biased,4x4,26,438.3495697923828,5,7,0
basic,1,center_biased,4x4,27,1053.8002629435312,9,27,0
