episode,reward,steps,score,win,epsilon
0,1177.0,30.0,14.0,False,0.0
1,128.5,15.0,4.0,False,0.0
2,887.1,29.0,12.0,False,0.0
3,756.8,32.0,11.0,False,0.0
4,636.8,32.0,10.0,False,0.0
5,886.2,38.0,12.0,False,0.0
6,1335.9,41.0,15.0,True,0.0
7,426.9,31.0,8.0,False,0.0
8,2505.6,44.0,16.0,True,0.0
9,337.5,25.0,7.0,False,0.0
10,1025.9,41.0,13.0,False,0.0
11,757.1,29.0,11.0,False,0.0
12,427.1,29.0,8.0,False,0.0
13,1175.4,46.0,14.0,False,0.0
14,128.8,12.0,4.0,False,0.0
15,527.4,26.0,9.0,False,0.0
16,337.5,25.0,7.0,False,0.0
17,527.3,27.0,9.0,False,0.0
18,756.4,36.0,11.0,False,0.0
19,526.9,31.0,9.0,False,0.0
20,426.5,35.0,8.0,False,0.0
21,427.7,23.0,8.0,False,0.0
22,337.6,24.0,7.0,False,0.0
23,427.5,25.0,8.0,False,0.0
24,526.1,39.0,9.0,False,0.0
25,636.6,34.0,10.0,False,0.0
26,756.9,31.0,11.0,False,0.0
27,636.5,35.0,10.0,False,0.0
28,426.9,31.0,8.0,False,0.0
29,1026.3,37.0,13.0,False,0.0
30,427.6,24.0,8.0,False,0.0
31,526.6,34.0,9.0,False,0.0
32,636.0,40.0,10.0,False,0.0
33,188.7,13.0,5.0,False,0.0
34,526.8,32.0,9.0,False,0.0
35,527.8,22.0,9.0,False,0.0
36,427.3,27.0,8.0,False,0.0
37,338.3,17.0,7.0,False,0.0
38,886.2,38.0,12.0,False,0.0
39,757.0,30.0,11.0,False,0.0
40,636.5,35.0,10.0,False,0.0
41,886.4,36.0,12.0,False,0.0
42,2505.4,46.0,16.0,True,0.0
43,527.0,30.0,9.0,False,0.0
44,886.7,33.0,12.0,False,0.0
45,337.0,30.0,7.0,False,0.0
46,636.0,40.0,10.0,False,0.0
47,756.2,38.0,11.0,False,0.0
48,527.2,28.0,9.0,False,0.0
49,1175.7,43.0,14.0,False,0.0
50,636.9,31.0,10.0,False,0.0
51,1026.4,36.0,13.0,False,0.0
52,527.6,24.0,9.0,False,0.0
53,338.0,20.0,7.0,False,0.0
54,426.4,36.0,8.0,False,0.0
55,757.2,28.0,11.0,False,0.0
56,885.5,45.0,12.0,False,0.0
57,526.1,39.0,9.0,False,0.0
58,1174.6,54.0,14.0,False,0.0
59,2506.2,38.0,16.0,True,0.0
60,885.1,49.0,12.0,False,0.0
61,1026.2,38.0,13.0,False,0.0
62,527.1,29.0,9.0,False,0.0
63,527.6,24.0,9.0,False,0.0
64,636.4,36.0,10.0,False,0.0
65,526.0,40.0,9.0,False,0.0
66,635.6,44.0,10.0,False,0.0
67,337.0,30.0,7.0,False,0.0
68,885.7,43.0,12.0,False,0.0
69,526.0,40.0,9.0,False,0.0
70,2505.3,47.0,16.0,True,0.0
71,526.8,32.0,9.0,False,0.0
72,886.0,40.0,12.0,False,0.0
73,636.0,40.0,10.0,False,0.0
74,637.2,28.0,10.0,False,0.0
75,427.5,25.0,8.0,False,0.0
