episode,reward,steps,score,win,epsilon
0,258.2,18.0,6.0,False,0.0
1,427.3,27.0,8.0,False,0.0
2,337.4,26.0,7.0,False,0.0
3,129.0,10.0,4.0,False,0.0
4,336.7,33.0,7.0,False,0.0
5,337.3,27.0,7.0,False,0.0
6,187.8,22.0,5.0,False,0.0
7,338.1,19.0,7.0,False,0.0
8,337.5,25.0,7.0,False,0.0
9,258.3,17.0,6.0,False,0.0
10,79.2,8.0,3.0,False,0.0
11,338.3,17.0,7.0,False,0.0
12,257.8,22.0,6.0,False,0.0
13,337.2,28.0,7.0,False,0.0
14,257.0,30.0,6.0,False,0.0
15,256.9,31.0,6.0,False,0.0
16,257.2,28.0,6.0,False,0.0
17,337.7,23.0,7.0,False,0.0
18,427.1,29.0,8.0,False,0.0
19,337.5,25.0,7.0,False,0.0
20,337.2,28.0,7.0,False,0.0
21,257.2,28.0,6.0,False,0.0
22,79.2,8.0,3.0,False,0.0
23,428.1,19.0,8.0,False,0.0
24,336.5,35.0,7.0,False,0.0
25,338.0,20.0,7.0,False,0.0
26,258.1,19.0,6.0,False,0.0
27,427.3,27.0,8.0,False,0.0
28,258.3,17.0,6.0,False,0.0
29,427.8,22.0,8.0,False,0.0
30,258.3,17.0,6.0,False,0.0
31,427.0,30.0,8.0,False,0.0
32,78.7,13.0,3.0,False,0.0
33,427.5,25.0,8.0,False,0.0
34,128.9,11.0,4.0,False,0.0
35,427.9,21.0,8.0,False,0.0
36,257.6,24.0,6.0,False,0.0
37,337.6,24.0,7.0,False,0.0
38,338.2,18.0,7.0,False,0.0
39,337.7,23.0,7.0,False,0.0
40,337.8,22.0,7.0,False,0.0
41,258.0,20.0,6.0,False,0.0
42,427.3,27.0,8.0,False,0.0
43,337.8,22.0,7.0,False,0.0
44,188.0,20.0,5.0,False,0.0
45,-10.0,1000.0,3.0,False,0.0
46,188.4,16.0,5.0,False,0.0
47,258.5,15.0,6.0,False,0.0
48,337.6,24.0,7.0,False,0.0
49,189.0,10.0,5.0,False,0.0
50,337.5,25.0,7.0,False,0.0
51,128.8,12.0,4.0,False,0.0
52,337.3,27.0,7.0,False,0.0
53,337.7,23.0,7.0,False,0.0
54,428.2,18.0,8.0,False,0.0
55,337.5,25.0,7.0,False,0.0
56,336.7,33.0,7.0,False,0.0
57,427.3,27.0,8.0,False,0.0
58,337.7,23.0,7.0,False,0.0
59,257.9,21.0,6.0,False,0.0
60,427.1,29.0,8.0,False,0.0
61,258.4,16.0,6.0,False,0.0
62,337.8,22.0,7.0,False,0.0
63,188.6,14.0,5.0,False,0.0
64,427.9,21.0,8.0,False,0.0
65,257.6,24.0,6.0,False,0.0
66,338.2,18.0,7.0,False,0.0
67,337.1,29.0,7.0,False,0.0
68,337.1,29.0,7.0,False,0.0
69,337.1,29.0,7.0,False,0.0
70,427.9,21.0,8.0,False,0.0
71,188.5,15.0,5.0,False,0.0
72,336.5,35.0,7.0,False,0.0
73,257.6,24.0,6.0,False,0.0
74,336.7,33.0,7.0,False,0.0
75,337.9,21.0,7.0,False,0.0
76,128.6,14.0,4.0,False,0.0
77,338.0,20.0,7.0,False,0.0
78,526.7,33.0,9.0,False,0.0
79,337.9,21.0,7.0,False,0.0
80,256.8,32.0,6.0,False,0.0
81,427.6,24.0,8.0,False,0.0
82,337.0,30.0,7.0,False,0.0
83,337.2,28.0,7.0,False,0.0
84,337.4,26.0,7.0,False,0.0
85,337.3,27.0,7.0,False,0.0
86,258.2,18.0,6.0,False,0.0
87,258.4,16.0,6.0,False,0.0
88,257.9,21.0,6.0,False,0.0
89,258.2,18.0,6.0,False,0.0
90,427.8,22.0,8.0,False,0.0
91,188.0,20.0,5.0,False,0.0
92,526.9,31.0,9.0,False,0.0
93,526.3,37.0,9.0,False,0.0
94,427.6,24.0,8.0,False,0.0
95,337.4,26.0,7.0,False,0.0
96,336.8,32.0,7.0,False,0.0
97,527.5,25.0,9.0,False,0.0
98,188.2,18.0,5.0,False,0.0
99,336.9,31.0,7.0,False,0.0
100,257.6,24.0,6.0,False,0.0
101,427.0,30.0,8.0,False,0.0
102,527.5,25.0,9.0,False,0.0
103,337.6,24.0,7.0,False,0.0
104,427.4,26.0,8.0,False,0.0
105,337.6,24.0,7.0,False,0.0
106,78.9,11.0,3.0,False,0.0
107,256.4,36.0,6.0,False,0.0
108,427.9,21.0,8.0,False,0.0
109,427.0,30.0,8.0,False,0.0
110,258.3,17.0,6.0,False,0.0
111,427.6,24.0,8.0,False,0.0
112,336.7,33.0,7.0,False,0.0
113,337.6,24.0,7.0,False,0.0
114,426.9,31.0,8.0,False,0.0
115,427.4,26.0,8.0,False,0.0
