episode,reward,steps,score,win,epsilon
0,526.8,32.0,9.0,False,0.0
1,755.0,50.0,11.0,False,0.0
2,527.1,29.0,9.0,False,0.0
3,527.1,29.0,9.0,False,0.0
4,2504.3,57.0,16.0,True,0.0
5,755.9,41.0,11.0,False,0.0
6,336.8,32.0,7.0,False,0.0
7,526.2,38.0,9.0,False,0.0
8,427.1,29.0,8.0,False,0.0
9,526.3,37.0,9.0,False,0.0
10,886.2,38.0,12.0,False,0.0
11,526.4,36.0,9.0,False,0.0
12,257.8,22.0,6.0,False,0.0
13,426.8,32.0,8.0,False,0.0
14,129.0,10.0,4.0,False,0.0
15,526.8,32.0,9.0,False,0.0
16,127.9,21.0,4.0,False,0.0
17,187.7,23.0,5.0,False,0.0
18,635.7,43.0,10.0,False,0.0
19,427.8,22.0,8.0,False,0.0
20,427.6,24.0,8.0,False,0.0
21,526.9,31.0,9.0,False,0.0
22,636.6,34.0,10.0,False,0.0
23,526.1,39.0,9.0,False,0.0
24,636.3,37.0,10.0,False,0.0
25,337.7,23.0,7.0,False,0.0
26,337.3,27.0,7.0,False,0.0
27,526.1,39.0,9.0,False,0.0
28,756.3,37.0,11.0,False,0.0
29,527.2,28.0,9.0,False,0.0
30,525.9,41.0,9.0,False,0.0
31,527.7,23.0,9.0,False,0.0
32,2504.4,56.0,16.0,True,0.0
33,885.5,45.0,12.0,False,0.0
34,257.5,25.0,6.0,False,0.0
35,636.6,34.0,10.0,False,0.0
36,426.9,31.0,8.0,False,0.0
37,425.5,45.0,8.0,False,0.0
38,525.7,43.0,9.0,False,0.0
39,636.0,40.0,10.0,False,0.0
40,338.2,18.0,7.0,False,0.0
41,257.8,22.0,6.0,False,0.0
42,337.2,28.0,7.0,False,0.0
43,426.2,38.0,8.0,False,0.0
44,187.9,21.0,5.0,False,0.0
45,527.1,29.0,9.0,False,0.0
46,258.1,19.0,6.0,False,0.0
47,637.3,27.0,10.0,False,0.0
48,338.0,20.0,7.0,False,0.0
49,636.8,32.0,10.0,False,0.0
50,527.1,29.0,9.0,False,0.0
51,526.1,39.0,9.0,False,0.0
52,337.4,26.0,7.0,False,0.0
53,336.7,33.0,7.0,False,0.0
54,188.9,11.0,5.0,False,0.0
