episode,reward,steps,score,win,epsilon
0,527.2,28.0,9.0,False,0.0
1,78.7,13.0,3.0,False,0.0
2,635.7,43.0,10.0,False,0.0
3,425.9,41.0,8.0,False,0.0
4,257.6,24.0,6.0,False,0.0
5,127.8,22.0,4.0,False,0.0
6,426.7,33.0,8.0,False,0.0
7,756.0,40.0,11.0,False,0.0
8,426.0,40.0,8.0,False,0.0
9,637.0,30.0,10.0,False,0.0
10,336.6,34.0,7.0,False,0.0
11,128.1,19.0,4.0,False,0.0
12,257.9,21.0,6.0,False,0.0
13,129.0,10.0,4.0,False,0.0
14,336.5,35.0,7.0,False,0.0
15,336.2,38.0,7.0,False,0.0
16,128.0,20.0,4.0,False,0.0
17,635.2,48.0,10.0,False,0.0
18,258.7,13.0,6.0,False,0.0
19,336.8,32.0,7.0,False,0.0
20,524.4,56.0,9.0,False,0.0
21,426.2,38.0,8.0,False,0.0
22,634.9,51.0,10.0,False,0.0
23,635.3,47.0,10.0,False,0.0
24,526.5,35.0,9.0,False,0.0
25,527.5,25.0,9.0,False,0.0
26,633.9,61.0,10.0,False,0.0
27,257.0,30.0,6.0,False,0.0
28,635.9,41.0,10.0,False,0.0
29,755.0,50.0,11.0,False,0.0
30,2505.4,46.0,16.0,True,0.0
31,40.0,1000.0,4.0,False,0.0
32,338.0,20.0,7.0,False,0.0
33,336.5,35.0,7.0,False,0.0
34,187.8,22.0,5.0,False,0.0
35,756.4,36.0,11.0,False,0.0
36,523.7,63.0,9.0,False,0.0
37,1173.7,63.0,14.0,False,0.0
38,128.2,18.0,4.0,False,0.0
39,526.3,37.0,9.0,False,0.0
40,526.2,38.0,9.0,False,0.0
41,257.2,28.0,6.0,False,0.0
42,527.2,28.0,9.0,False,0.0
43,527.2,28.0,9.0,False,0.0
44,526.6,34.0,9.0,False,0.0
45,1024.9,51.0,13.0,False,0.0
46,755.5,45.0,11.0,False,0.0
47,754.5,55.0,11.0,False,0.0
48,2505.0,50.0,16.0,True,0.0
49,634.7,53.0,10.0,False,0.0
50,188.5,15.0,5.0,False,0.0
51,526.0,40.0,9.0,False,0.0
52,2505.1,49.0,16.0,True,0.0
53,525.8,42.0,9.0,False,0.0
54,337.2,28.0,7.0,False,0.0
55,336.0,40.0,7.0,False,0.0
56,524.9,51.0,9.0,False,0.0
57,635.9,41.0,10.0,False,0.0
58,636.5,35.0,10.0,False,0.0
59,426.3,37.0,8.0,False,0.0
60,755.9,41.0,11.0,False,0.0
61,100.0,1000.0,5.0,False,0.0
62,426.1,39.0,8.0,False,0.0
63,256.9,31.0,6.0,False,0.0
64,637.5,25.0,10.0,False,0.0
65,336.4,36.0,7.0,False,0.0
66,425.9,41.0,8.0,False,0.0
67,524.8,52.0,9.0,False,0.0
