episode,reward,steps,score,win,epsilon
0,-188.75,5.0,1.0,False,0.995
1,-189.15,3.0,1.0,False,0.99
2,-188.75,5.0,1.0,False,0.985
3,-300.6,2.0,0.0,False,0.98
4,-191.2,4.0,1.0,False,0.975
5,-300.6,2.0,0.0,False,0.97
6,-299.65,3.0,0.0,False,0.966
7,-298.85,7.0,0.0,False,0.961
8,-188.2,4.0,1.0,False,0.956
9,-299.65,3.0,0.0,False,0.951
10,-189.15,3.0,1.0,False,0.946
11,-189.7,4.0,1.0,False,0.942
12,-300.6,2.0,0.0,False,0.937
13,-299.8,6.0,0.0,False,0.932
14,-300.2,4.0,0.0,False,0.928
15,-190.65,3.0,1.0,False,0.923
16,-189.15,3.0,1.0,False,0.918
17,-300.6,2.0,0.0,False,0.914
18,-299.25,5.0,0.0,False,0.909
19,-299.25,5.0,0.0,False,0.905
20,-66.776,5.0,2.0,False,0.9
21,-300.6,2.0,0.0,False,0.896
22,-299.8,6.0,0.0,False,0.891
23,-300.6,2.0,0.0,False,0.887
24,-298.3,6.0,0.0,False,0.882
25,-188.5,10.0,1.0,False,0.878
26,-298.7,4.0,0.0,False,0.873
27,-189.85,7.0,1.0,False,0.869
28,-299.1,2.0,0.0,False,0.865
29,-189.7,4.0,1.0,False,0.86
30,-298.85,7.0,0.0,False,0.856
31,-300.2,4.0,0.0,False,0.852
32,-189.3,6.0,1.0,False,0.848
33,-189.85,7.0,1.0,False,0.843
34,-187.55,11.0,1.0,False,0.839
35,-300.2,4.0,0.0,False,0.835
36,-189.15,3.0,1.0,False,0.831
37,-300.2,4.0,0.0,False,0.827
38,-300.35,7.0,0.0,False,0.822
39,-299.65,3.0,0.0,False,0.818
40,-301.15,3.0,0.0,False,0.814
41,-300.6,2.0,0.0,False,0.81
42,-188.75,5.0,1.0,False,0.806
43,-298.6,12.0,0.0,False,0.802
44,-189.3,6.0,1.0,False,0.798
45,-299.1,2.0,0.0,False,0.794
46,-298.7,4.0,0.0,False,0.79
47,-299.8,6.0,0.0,False,0.786
48,-299.1,2.0,0.0,False,0.782
49,-299.1,2.0,0.0,False,0.778
50,-190.25,5.0,1.0,False,0.774
51,-299.1,2.0,0.0,False,0.771
52,-300.6,2.0,0.0,False,0.767
53,-299.1,2.0,0.0,False,0.763
54,-299.65,3.0,0.0,False,0.759
55,-67.176,3.0,2.0,False,0.755
56,-187.25,5.0,1.0,False,0.751
57,-190.1,2.0,1.0,False,0.748
58,-189.3,6.0,1.0,False,0.744
59,72.996,7.0,3.0,False,0.74
60,-66.226,4.0,2.0,False,0.737
