episode,reward,steps,score,win,epsilon
0,-298.7,4.0,0.0,False,0.995
1,-298.7,4.0,0.0,False,0.99
2,-298.85,7.0,0.0,False,0.985
3,-301.15,3.0,0.0,False,0.98
4,-299.65,3.0,0.0,False,0.975
5,-299.65,3.0,0.0,False,0.97
6,-189.15,3.0,1.0,False,0.966
7,-298.85,7.0,0.0,False,0.961
8,-299.1,2.0,0.0,False,0.956
9,-299.65,3.0,0.0,False,0.951
10,-299.65,3.0,0.0,False,0.946
11,-190.1,2.0,1.0,False,0.942
12,-187.95,9.0,1.0,False,0.937
13,-301.15,3.0,0.0,False,0.932
14,-64.876,7.0,2.0,False,0.928
15,-189.7,4.0,1.0,False,0.923
16,-188.5,10.0,1.0,False,0.918
17,-300.6,2.0,0.0,False,0.914
18,-299.65,3.0,0.0,False,0.909
19,-300.75,5.0,0.0,False,0.905
20,-299.1,2.0,0.0,False,0.9
21,-298.7,4.0,0.0,False,0.896
22,-299.4,8.0,0.0,False,0.891
23,-190.1,2.0,1.0,False,0.887
24,-300.6,2.0,0.0,False,0.882
25,-301.15,3.0,0.0,False,0.878
26,-189.85,7.0,1.0,False,0.873
27,-188.2,4.0,1.0,False,0.869
28,-299.4,8.0,0.0,False,0.865
29,-300.6,2.0,0.0,False,0.86
30,-189.15,3.0,1.0,False,0.856
31,-299.1,2.0,0.0,False,0.852
32,-66.226,4.0,2.0,False,0.848
33,-298.3,6.0,0.0,False,0.843
34,-300.75,5.0,0.0,False,0.839
35,-300.35,7.0,0.0,False,0.835
36,-189.15,3.0,1.0,False,0.831
37,-189.15,3.0,1.0,False,0.827
38,-299.65,3.0,0.0,False,0.822
39,-190.25,5.0,1.0,False,0.818
40,-187.95,9.0,1.0,False,0.814
41,-300.6,2.0,0.0,False,0.81
42,-298.7,4.0,0.0,False,0.806
43,-190.25,5.0,1.0,False,0.802
44,-300.2,4.0,0.0,False,0.798
45,-297.65,13.0,0.0,False,0.794
46,-63.926,8.0,2.0,False,0.79
47,-299.8,6.0,0.0,False,0.786
48,-299.65,3.0,0.0,False,0.782
49,-189.15,3.0,1.0,False,0.778
50,-301.15,3.0,0.0,False,0.774
51,-187.25,5.0,1.0,False,0.771
52,-299.1,2.0,0.0,False,0.767
53,-299.1,2.0,0.0,False,0.763
54,-188.9,8.0,1.0,False,0.759
55,-300.6,2.0,0.0,False,0.755
56,-189.3,6.0,1.0,False,0.751
57,-300.35,7.0,0.0,False,0.748
58,-189.15,3.0,1.0,False,0.744
59,-189.15,3.0,1.0,False,0.74
60,-65.826,6.0,2.0,False,0.737
61,-63.676,13.0,2.0,False,0.733
62,-300.75,5.0,0.0,False,0.729
63,-189.15,3.0,1.0,False,0.726
64,-300.6,2.0,0.0,False,0.722
65,-189.15,3.0,1.0,False,0.718
66,-189.7,4.0,1.0,False,0.715
67,-299.8,6.0,0.0,False,0.711
68,-300.2,4.0,0.0,False,0.708
69,-188.2,4.0,1.0,False,0.704
70,-190.65,3.0,1.0,False,0.701
71,71.496,7.0,3.0,False,0.697
72,-301.15,3.0,0.0,False,0.694
73,-299.8,6.0,0.0,False,0.69
74,-299.25,5.0,0.0,False,0.687
75,-186.35,17.0,1.0,False,0.683
76,-298.85,7.0,0.0,False,0.68
77,-298.45,9.0,0.0,False,0.676
78,-300.75,5.0,0.0,False,0.673
79,-64.876,7.0,2.0,False,0.67
80,-299.65,3.0,0.0,False,0.666
81,-188.35,7.0,1.0,False,0.663
82,-66.226,4.0,2.0,False,0.66
83,-298.3,6.0,0.0,False,0.656
84,-64.476,9.0,2.0,False,0.653
85,-299.65,3.0,0.0,False,0.65
86,-190.1,2.0,1.0,False,0.647
87,-186.9,18.0,1.0,False,0.643
88,-189.7,4.0,1.0,False,0.64
89,-187.95,9.0,1.0,False,0.637
90,-190.65,3.0,1.0,False,0.634
91,-188.9,8.0,1.0,False,0.631
92,-188.75,5.0,1.0,False,0.627
93,-64.326,6.0,2.0,False,0.624
94,-298.85,7.0,0.0,False,0.621
95,-66.376,7.0,2.0,False,0.618
96,-66.226,4.0,2.0,False,0.615
97,-67.176,3.0,2.0,False,0.612
98,-190.65,3.0,1.0,False,0.609
99,-65.276,5.0,2.0,False,0.606
100,-188.9,8.0,1.0,False,0.603
101,-299.8,6.0,0.0,False,0.6
102,-187.4,8.0,1.0,False,0.597
103,-298.45,9.0,0.0,False,0.594
104,71.496,7.0,3.0,False,0.591
105,-300.6,2.0,0.0,False,0.588
106,-189.15,3.0,1.0,False,0.585
107,-188.75,5.0,1.0,False,0.582
108,-66.376,7.0,2.0,False,0.579
109,-299.65,3.0,0.0,False,0.576
110,-66.776,5.0,2.0,False,0.573
111,-189.7,4.0,1.0,False,0.57
112,71.096,5.0,3.0,False,0.568
113,-66.776,5.0,2.0,False,0.565
114,-66.226,4.0,2.0,False,0.562
115,-301.15,3.0,0.0,False,0.559
116,-67.176,3.0,2.0,False,0.556
117,-188.75,5.0,1.0,False,0.554
118,-187.95,9.0,1.0,False,0.551
119,-189.15,3.0,1.0,False,0.548
120,-299.1,2.0,0.0,False,0.545
121,-297.9,8.0,0.0,False,0.543
