episode,reward,steps,score,win,epsilon
0,-113.78,8.0,0.0,False,0.995
1,-112.64,10.0,0.0,False,0.99
2,-19.68,7.0,1.0,False,0.985
3,-10.54,6.0,1.0,False,0.98
4,-4.26,4.0,1.0,False,0.975
5,-7.72,7.0,1.0,False,0.97
6,-8.16,11.0,1.0,False,0.966
7,-118.28,13.0,0.0,False,0.961
8,-127.0,22.0,0.0,False,0.956
9,95.854,4.0,2.0,False,0.951
10,-112.54,7.0,0.0,False,0.946
11,94.934,10.0,2.0,False,0.942
12,-103.8,6.0,0.0,False,0.937
13,-106.26,3.0,0.0,False,0.932
14,-114.28,13.0,0.0,False,0.928
15,-36.08,19.0,1.0,False,0.923
16,-102.86,7.0,0.0,False,0.918
17,-110.7,7.0,0.0,False,0.914
18,-10.54,6.0,1.0,False,0.909
19,-94.26,3.0,0.0,False,0.905
20,-103.8,6.0,0.0,False,0.9
21,-129.66,20.0,0.0,False,0.896
22,-4.6,6.0,1.0,False,0.891
23,-22.98,17.0,1.0,False,0.887
24,-112.6,5.0,0.0,False,0.882
25,-114.22,20.0,0.0,False,0.878
26,-109.42,4.0,0.0,False,0.873
27,-96.44,5.0,0.0,False,0.869
28,-10.1,9.0,1.0,False,0.865
29,-25.6,20.0,1.0,False,0.86
30,-107.62,11.0,0.0,False,0.856
31,-111.64,6.0,0.0,False,0.852
32,-106.72,17.0,0.0,False,0.848
33,-99.64,6.0,0.0,False,0.843
34,-100.6,5.0,0.0,False,0.839
35,-119.64,13.0,0.0,False,0.835
36,-115.82,12.0,0.0,False,0.831
37,-35.78,37.0,1.0,False,0.827
38,-107.48,6.0,0.0,False,0.822
39,-118.66,19.0,0.0,False,0.818
40,-100.6,5.0,0.0,False,0.814
41,-100.26,3.0,0.0,False,0.81
42,-106.1,8.0,0.0,False,0.806
43,-103.42,4.0,0.0,False,0.802
44,-21.6,12.0,1.0,False,0.798
45,-18.8,12.0,1.0,False,0.794
46,-10.26,4.0,1.0,False,0.79
47,-22.52,15.0,1.0,False,0.786
48,-109.42,4.0,0.0,False,0.782
49,-43.62,29.0,1.0,False,0.778
50,-107.94,8.0,0.0,False,0.774
51,-15.06,10.0,1.0,False,0.771
52,-108.44,5.0,0.0,False,0.767
53,-44.52,27.0,1.0,False,0.763
54,-106.6,5.0,0.0,False,0.759
55,-103.42,4.0,0.0,False,0.755
