episode,reward,steps,score,win,epsilon
0,-295.078,2.0,0.0,False,1.0
1,-292.854,6.0,0.0,False,1.0
2,-297.63,8.0,0.0,False,1.0
3,-240.922,7.0,1.0,False,0.999
4,-332.329,34.0,0.0,False,0.999
5,-289.933,8.0,0.0,False,0.999
6,-311.47,8.0,0.0,False,0.999
7,-336.18,29.0,0.0,False,0.999
8,-253.34,7.0,1.0,False,0.999
9,-315.413,18.0,0.0,False,0.999
10,-248.778,7.0,1.0,False,0.998
11,-292.539,9.0,0.0,False,0.998
12,-302.822,10.0,0.0,False,0.998
13,-304.19,7.0,0.0,False,0.998
14,-245.317,5.0,1.0,False,0.998
15,-309.21,4.0,0.0,False,0.998
16,-305.1,10.0,0.0,False,0.997
17,-300.183,3.0,0.0,False,0.997
18,-314.74,13.0,0.0,False,0.997
19,-310.758,8.0,0.0,False,0.997
20,-311.628,7.0,0.0,False,0.997
21,-312.94,10.0,0.0,False,0.997
22,-353.997,44.0,0.0,False,0.997
23,-311.929,10.0,0.0,False,0.996
24,-253.746,24.0,1.0,False,0.996
25,-306.872,4.0,0.0,False,0.996
26,-306.13,3.0,0.0,False,0.996
27,-308.673,6.0,0.0,False,0.996
28,-302.692,4.0,0.0,False,0.996
29,-300.147,3.0,0.0,False,0.996
30,-309.933,8.0,0.0,False,0.995
31,-270.791,22.0,1.0,False,0.995
32,-301.05,11.0,0.0,False,0.995
33,-305.31,8.0,0.0,False,0.995
34,-300.269,5.0,0.0,False,0.995
35,-309.933,8.0,0.0,False,0.995
36,-296.734,6.0,0.0,False,0.994
37,-250.309,6.0,1.0,False,0.994
38,-308.331,12.0,0.0,False,0.994
39,-309.606,5.0,0.0,False,0.994
40,-267.294,19.0,1.0,False,0.994
41,-313.212,9.0,0.0,False,0.994
42,-104.604,13.0,3.0,False,0.994
43,-324.896,26.0,0.0,False,0.993
44,-312.907,12.0,0.0,False,0.993
45,-298.378,7.0,0.0,False,0.993
46,-295.317,4.0,0.0,False,0.993
47,-311.538,8.0,0.0,False,0.993
48,-324.16,30.0,0.0,False,0.993
49,-310.882,11.0,0.0,False,0.993
50,-314.831,12.0,0.0,False,0.992
51,-319.274,12.0,0.0,False,0.992
52,-305.121,3.0,0.0,False,0.992
53,-246.11,6.0,1.0,False,0.992
54,-304.743,6.0,0.0,False,0.992
55,-303.816,2.0,0.0,False,0.992
56,-305.078,2.0,0.0,False,0.991
57,-310.183,3.0,0.0,False,0.991
58,-309.288,8.0,0.0,False,0.991
59,-303.816,2.0,0.0,False,0.991
60,-317.831,12.0,0.0,False,0.991
61,-250.131,4.0,1.0,False,0.991
62,-300.183,3.0,0.0,False,0.991
63,-310.64,14.0,0.0,False,0.99
64,-240.633,8.0,1.0,False,0.99
65,-312.51,7.0,0.0,False,0.99
66,-312.3,5.0,0.0,False,0.99
67,-302.005,11.0,0.0,False,0.99
68,-310.633,17.0,0.0,False,0.99
69,-303.42,10.0,0.0,False,0.99
70,-302.378,7.0,0.0,False,0.989
71,-257.482,15.0,1.0,False,0.989
72,-303.4,6.0,0.0,False,0.989
73,-318.57,11.0,0.0,False,0.989
74,-303.994,4.0,0.0,False,0.989
75,-317.782,14.0,0.0,False,0.989
76,-252.73,12.0,1.0,False,0.989
77,-313.128,7.0,0.0,False,0.988
78,-300.3,5.0,0.0,False,0.988
79,-245.706,10.0,1.0,False,0.988
80,-305.317,4.0,0.0,False,0.988
81,-303.816,2.0,0.0,False,0.988
82,-250.183,4.0,1.0,False,0.988
83,-304.537,5.0,0.0,False,0.987
84,-303.816,2.0,0.0,False,0.987
85,-246.503,8.0,1.0,False,0.987
86,-312.335,7.0,0.0,False,0.987
87,-305.078,2.0,0.0,False,0.987
88,-242.3,8.0,1.0,False,0.987
89,-318.841,15.0,0.0,False,0.987
90,-307.83,16.0,0.0,False,0.986
91,-304.42,9.0,0.0,False,0.986
92,-300.883,7.0,0.0,False,0.986
93,-300.183,3.0,0.0,False,0.986
94,-243.958,13.0,1.0,False,0.986
95,-316.438,11.0,0.0,False,0.986
