episode,reward,steps,score,win,epsilon
0,-188.75,5.0,1.0,False,0.995
1,-299.65,3.0,0.0,False,0.99
2,-300.35,7.0,0.0,False,0.985
3,-300.35,7.0,0.0,False,0.98
4,-299.25,5.0,0.0,False,0.975
5,-66.226,4.0,2.0,False,0.97
6,-300.2,4.0,0.0,False,0.966
7,-190.8,6.0,1.0,False,0.961
8,-189.05,11.0,1.0,False,0.956
9,-66.226,4.0,2.0,False,0.951
10,-299.25,5.0,0.0,False,0.946
11,-299.25,5.0,0.0,False,0.942
12,-190.1,2.0,1.0,False,0.937
13,-190.25,5.0,1.0,False,0.932
14,-300.75,5.0,0.0,False,0.928
15,-299.65,3.0,0.0,False,0.923
16,-301.15,3.0,0.0,False,0.918
17,-190.65,3.0,1.0,False,0.914
18,-188.75,5.0,1.0,False,0.909
19,-189.15,3.0,1.0,False,0.905
20,-300.75,5.0,0.0,False,0.9
21,-300.2,4.0,0.0,False,0.896
22,-300.6,2.0,0.0,False,0.891
23,-187.85,17.0,1.0,False,0.887
24,-188.75,5.0,1.0,False,0.882
25,-65.426,8.0,2.0,False,0.878
26,-299.1,2.0,0.0,False,0.873
27,-188.35,7.0,1.0,False,0.869
28,-299.65,3.0,0.0,False,0.865
29,-188.2,4.0,1.0,False,0.86
30,-300.6,2.0,0.0,False,0.856
31,-190.25,5.0,1.0,False,0.852
32,-190.1,2.0,1.0,False,0.848
33,-63.926,8.0,2.0,False,0.843
34,-300.35,7.0,0.0,False,0.839
35,-67.176,3.0,2.0,False,0.835
36,-299.65,3.0,0.0,False,0.831
37,-189.15,3.0,1.0,False,0.827
38,-300.2,4.0,0.0,False,0.822
39,-299.8,6.0,0.0,False,0.818
40,-66.226,4.0,2.0,False,0.814
41,-65.026,10.0,2.0,False,0.81
42,-301.15,3.0,0.0,False,0.806
43,-299.65,3.0,0.0,False,0.802
44,-64.476,9.0,2.0,False,0.798
45,-298.05,11.0,0.0,False,0.794
46,-300.6,2.0,0.0,False,0.79
47,-299.65,3.0,0.0,False,0.786
48,-187.8,6.0,1.0,False,0.782
49,-300.75,5.0,0.0,False,0.778
50,-298.3,6.0,0.0,False,0.774
51,-188.35,7.0,1.0,False,0.771
52,-299.1,2.0,0.0,False,0.767
53,-186.1,22.0,1.0,False,0.763
54,-300.2,4.0,0.0,False,0.759
55,-299.4,8.0,0.0,False,0.755
56,-66.226,4.0,2.0,False,0.751
57,-189.7,4.0,1.0,False,0.748
58,-299.25,5.0,0.0,False,0.744
59,-299.95,9.0,0.0,False,0.74
60,-190.1,2.0,1.0,False,0.737
61,-189.7,4.0,1.0,False,0.733
62,-299.25,5.0,0.0,False,0.729
63,-67.176,3.0,2.0,False,0.726
64,-190.1,2.0,1.0,False,0.722
65,-67.176,3.0,2.0,False,0.718
66,-66.776,5.0,2.0,False,0.715
67,-65.026,10.0,2.0,False,0.711
68,-65.826,6.0,2.0,False,0.708
69,-298.3,6.0,0.0,False,0.704
70,-299.1,2.0,0.0,False,0.701
71,-300.6,2.0,0.0,False,0.697
72,-190.25,5.0,1.0,False,0.694
73,-298.3,6.0,0.0,False,0.69
74,-300.2,4.0,0.0,False,0.687
75,-299.65,3.0,0.0,False,0.683
76,-67.176,3.0,2.0,False,0.68
77,-301.15,3.0,0.0,False,0.676
78,-299.1,2.0,0.0,False,0.673
79,-299.65,3.0,0.0,False,0.67
80,-301.15,3.0,0.0,False,0.666
81,-187.8,6.0,1.0,False,0.663
82,-66.776,5.0,2.0,False,0.66
83,-190.1,2.0,1.0,False,0.656
84,-187.55,11.0,1.0,False,0.653
85,-299.25,5.0,0.0,False,0.65
86,-300.75,5.0,0.0,False,0.647
87,-189.15,3.0,1.0,False,0.643
88,-300.2,4.0,0.0,False,0.64
89,-300.6,2.0,0.0,False,0.637
90,-187.8,6.0,1.0,False,0.634
91,-298.85,7.0,0.0,False,0.631
92,-189.7,4.0,1.0,False,0.627
93,-66.226,4.0,2.0,False,0.624
94,-190.65,3.0,1.0,False,0.621
95,-300.2,4.0,0.0,False,0.618
96,-66.776,5.0,2.0,False,0.615
97,-298.85,7.0,0.0,False,0.612
98,-189.3,6.0,1.0,False,0.609
99,-297.8,16.0,0.0,False,0.606
100,-299.4,8.0,0.0,False,0.603
101,-187.8,6.0,1.0,False,0.6
102,-298.05,11.0,0.0,False,0.597
103,-189.15,3.0,1.0,False,0.594
104,-298.45,9.0,0.0,False,0.591
105,-297.5,10.0,0.0,False,0.588
106,-300.35,7.0,0.0,False,0.585
107,-67.326,6.0,2.0,False,0.582
108,-300.2,4.0,0.0,False,0.579
109,-67.176,3.0,2.0,False,0.576
110,-66.376,7.0,2.0,False,0.573
111,-298.7,4.0,0.0,False,0.57
112,-300.6,2.0,0.0,False,0.568
113,-67.176,3.0,2.0,False,0.565
114,-188.75,5.0,1.0,False,0.562
115,-188.75,5.0,1.0,False,0.559
116,-297.9,8.0,0.0,False,0.556
117,-187.8,6.0,1.0,False,0.554
118,-188.35,7.0,1.0,False,0.551
119,71.496,7.0,3.0,False,0.548
120,-301.15,3.0,0.0,False,0.545
121,-300.75,5.0,0.0,False,0.543
122,-298.45,9.0,0.0,False,0.54
123,-188.8,16.0,1.0,False,0.537
124,-299.1,2.0,0.0,False,0.534
125,-67.176,3.0,2.0,False,0.532
126,-299.1,2.0,0.0,False,0.529
127,-189.15,3.0,1.0,False,0.526
128,-299.65,3.0,0.0,False,0.524
129,-188.5,10.0,1.0,False,0.521
130,-299.65,3.0,0.0,False,0.519
131,-191.75,5.0,1.0,False,0.516
132,-189.7,4.0,1.0,False,0.513
133,-189.15,3.0,1.0,False,0.511
134,-186.05,11.0,1.0,False,0.508
135,-67.176,3.0,2.0,False,0.506
136,-67.176,3.0,2.0,False,0.503
137,-190.25,5.0,1.0,False,0.501
138,-188.75,5.0,1.0,False,0.498
139,-65.426,8.0,2.0,False,0.496
140,-299.25,5.0,0.0,False,0.493
141,76.646,14.0,3.0,False,0.491
142,-189.05,11.0,1.0,False,0.488
143,-189.15,3.0,1.0,False,0.486
144,-299.1,2.0,0.0,False,0.483
145,-64.876,7.0,2.0,False,0.481
146,-188.35,7.0,1.0,False,0.479
147,-189.15,3.0,1.0,False,0.476
148,-67.176,3.0,2.0,False,0.474
149,-300.6,2.0,0.0,False,0.471
150,-64.326,6.0,2.0,False,0.469
151,-299.65,3.0,0.0,False,0.467
152,-65.276,5.0,2.0,False,0.464
153,-187.8,6.0,1.0,False,0.462
154,-66.376,7.0,2.0,False,0.46
155,-300.6,2.0,0.0,False,0.458
156,-65.826,6.0,2.0,False,0.455
157,-62.976,9.0,2.0,False,0.453
158,-299.1,2.0,0.0,False,0.451
159,-64.876,7.0,2.0,False,0.448
160,-299.1,2.0,0.0,False,0.446
161,72.046,6.0,3.0,False,0.444
162,-188.75,5.0,1.0,False,0.442
163,-66.226,4.0,2.0,False,0.44
164,-189.15,3.0,1.0,False,0.437
165,-189.15,3.0,1.0,False,0.435
166,-297.9,8.0,0.0,False,0.433
167,-188.75,5.0,1.0,False,0.431
168,-190.1,2.0,1.0,False,0.429
169,-299.1,2.0,0.0,False,0.427
170,-188.2,4.0,1.0,False,0.424
171,-65.276,5.0,2.0,False,0.422
172,-188.75,5.0,1.0,False,0.42
173,-189.15,3.0,1.0,False,0.418
174,-189.15,3.0,1.0,False,0.416
175,-66.226,4.0,2.0,False,0.414
176,-299.65,3.0,0.0,False,0.412
177,-189.15,3.0,1.0,False,0.41
178,-191.2,4.0,1.0,False,0.408
179,-299.1,2.0,0.0,False,0.406
180,-189.15,3.0,1.0,False,0.404
181,-65.276,5.0,2.0,False,0.402
182,-67.176,3.0,2.0,False,0.4
183,-67.176,3.0,2.0,False,0.398
184,-63.926,8.0,2.0,False,0.396
185,-190.25,5.0,1.0,False,0.394
186,-189.85,7.0,1.0,False,0.392
187,-64.326,6.0,2.0,False,0.39
188,-188.75,5.0,1.0,False,0.388
189,-189.15,3.0,1.0,False,0.386
190,-189.15,3.0,1.0,False,0.384
191,69.596,5.0,3.0,False,0.382
192,-189.15,3.0,1.0,False,0.38
193,-299.4,8.0,0.0,False,0.378
194,-188.35,7.0,1.0,False,0.376
195,-65.976,9.0,2.0,False,0.374
196,-66.376,7.0,2.0,False,0.373
197,-189.15,3.0,1.0,False,0.371
198,-189.15,3.0,1.0,False,0.369
199,-66.226,4.0,2.0,False,0.367
200,-66.376,7.0,2.0,False,0.365
201,-189.85,7.0,1.0,False,0.363
202,-67.176,3.0,2.0,False,0.361
203,-190.25,5.0,1.0,False,0.36
204,-64.876,7.0,2.0,False,0.358
205,-190.25,5.0,1.0,False,0.356
206,-64.876,7.0,2.0,False,0.354
207,72.996,7.0,3.0,False,0.353
208,-189.7,4.0,1.0,False,0.351
209,-62.176,13.0,2.0,False,0.349
210,-64.076,11.0,2.0,False,0.347
211,72.046,6.0,3.0,False,0.346
212,-189.15,3.0,1.0,False,0.344
213,-64.476,9.0,2.0,False,0.342
214,72.046,6.0,3.0,False,0.34
215,-62.576,11.0,2.0,False,0.339
216,-299.1,2.0,0.0,False,0.337
217,-65.276,5.0,2.0,False,0.335
218,-64.326,6.0,2.0,False,0.334
219,-189.15,3.0,1.0,False,0.332
220,-62.576,11.0,2.0,False,0.33
221,-187.55,11.0,1.0,False,0.329
222,-189.85,7.0,1.0,False,0.327
223,227.626,10.0,4.0,False,0.325
224,-299.1,2.0,0.0,False,0.324
225,-63.526,10.0,2.0,False,0.322
226,-189.15,3.0,1.0,False,0.321
227,-64.876,7.0,2.0,False,0.319
228,71.096,5.0,3.0,False,0.317
229,228.676,19.0,4.0,False,0.316
230,-67.176,3.0,2.0,False,0.314
231,-190.1,2.0,1.0,False,0.313
232,-63.926,8.0,2.0,False,0.311
233,72.996,7.0,3.0,False,0.309
234,-66.776,5.0,2.0,False,0.308
235,-67.176,3.0,2.0,False,0.306
236,-189.15,3.0,1.0,False,0.305
237,-187.95,9.0,1.0,False,0.303
238,-65.826,6.0,2.0,False,0.302
239,-187.25,5.0,1.0,False,0.3
240,-64.326,6.0,2.0,False,0.299
241,-65.826,6.0,2.0,False,0.297
242,-63.126,12.0,2.0,False,0.296
243,-299.1,2.0,0.0,False,0.294
244,76.796,11.0,3.0,False,0.293
245,-299.65,3.0,0.0,False,0.291
246,71.096,5.0,3.0,False,0.29
247,-188.75,5.0,1.0,False,0.288
248,73.946,8.0,3.0,False,0.287
249,-63.526,10.0,2.0,False,0.286
250,-66.226,4.0,2.0,False,0.284
251,-189.7,4.0,1.0,False,0.283
252,-188.5,10.0,1.0,False,0.281
253,-65.826,6.0,2.0,False,0.28
254,-63.926,8.0,2.0,False,0.279
255,-299.1,2.0,0.0,False,0.277
256,-300.2,4.0,0.0,False,0.276
257,-63.676,13.0,2.0,False,0.274
258,73.946,8.0,3.0,False,0.273
259,-63.526,10.0,2.0,False,0.272
260,-188.2,4.0,1.0,False,0.27
261,72.446,8.0,3.0,False,0.269
262,-296.3,16.0,0.0,False,0.268
263,-299.1,2.0,0.0,False,0.266
264,226.926,14.0,4.0,False,0.265
265,-300.6,2.0,0.0,False,0.264
266,71.096,5.0,3.0,False,0.262
267,-64.326,6.0,2.0,False,0.261
268,-296.45,19.0,0.0,False,0.26
269,-61.126,22.0,2.0,False,0.258
270,-300.6,2.0,0.0,False,0.257
271,73.096,15.0,3.0,False,0.256
272,-67.176,3.0,2.0,False,0.255
273,-65.426,8.0,2.0,False,0.253
274,74.196,13.0,3.0,False,0.252
275,-64.326,6.0,2.0,False,0.251
276,-63.376,7.0,2.0,False,0.249
277,-65.826,6.0,2.0,False,0.248
278,-66.776,5.0,2.0,False,0.247
279,-299.1,2.0,0.0,False,0.246
280,-65.826,6.0,2.0,False,0.245
281,-188.2,4.0,1.0,False,0.243
282,-65.976,9.0,2.0,False,0.242
283,-62.976,9.0,2.0,False,0.241
284,-299.1,2.0,0.0,False,0.24
285,-188.9,8.0,1.0,False,0.238
286,225.576,11.0,4.0,False,0.237
287,-64.876,7.0,2.0,False,0.236
288,-63.926,8.0,2.0,False,0.235
289,-64.876,7.0,2.0,False,0.234
290,-66.776,5.0,2.0,False,0.233
291,-65.826,6.0,2.0,False,0.231
292,-300.6,2.0,0.0,False,0.23
293,-190.1,2.0,1.0,False,0.229
294,226.526,12.0,4.0,False,0.228
295,-65.276,5.0,2.0,False,0.227
296,-299.65,3.0,0.0,False,0.226
297,74.346,10.0,3.0,False,0.225
298,-66.226,4.0,2.0,False,0.223
299,72.446,8.0,3.0,False,0.222
