episode,reward,steps,score,win,epsilon
0,-301.0,10.0,0.0,False,0.995
1,-300.7,7.0,0.0,False,0.99
2,-70.5,5.0,2.0,False,0.985
3,59.3,7.0,3.0,False,0.98
4,-300.3,3.0,0.0,False,0.975
5,-300.3,3.0,0.0,False,0.97
6,-300.6,6.0,0.0,False,0.966
7,-300.2,2.0,0.0,False,0.961
8,-300.8,8.0,0.0,False,0.956
9,-300.5,5.0,0.0,False,0.951
10,-300.2,2.0,0.0,False,0.946
11,-300.3,3.0,0.0,False,0.942
12,-300.2,2.0,0.0,False,0.937
13,-300.7,7.0,0.0,False,0.932
14,-190.7,7.0,1.0,False,0.928
15,-300.2,2.0,0.0,False,0.923
16,-300.4,4.0,0.0,False,0.918
17,-190.3,3.0,1.0,False,0.914
18,-191.2,12.0,1.0,False,0.909
19,-300.4,4.0,0.0,False,0.905
20,-300.3,3.0,0.0,False,0.9
21,-70.6,6.0,2.0,False,0.896
22,-300.2,2.0,0.0,False,0.891
23,-300.3,3.0,0.0,False,0.887
24,-301.2,12.0,0.0,False,0.882
25,-300.4,4.0,0.0,False,0.878
26,-190.2,2.0,1.0,False,0.873
27,-190.3,3.0,1.0,False,0.869
28,-190.3,3.0,1.0,False,0.865
29,-300.2,2.0,0.0,False,0.86
30,-190.8,8.0,1.0,False,0.856
31,-190.4,4.0,1.0,False,0.852
32,-300.3,3.0,0.0,False,0.848
33,-300.3,3.0,0.0,False,0.843
34,-190.3,3.0,1.0,False,0.839
35,-70.8,8.0,2.0,False,0.835
36,-300.2,2.0,0.0,False,0.831
37,-300.5,5.0,0.0,False,0.827
38,-190.2,2.0,1.0,False,0.822
39,-300.3,3.0,0.0,False,0.818
40,-300.3,3.0,0.0,False,0.814
41,-190.4,4.0,1.0,False,0.81
42,-300.3,3.0,0.0,False,0.806
43,-300.9,9.0,0.0,False,0.802
44,-300.5,5.0,0.0,False,0.798
45,-190.4,4.0,1.0,False,0.794
46,-300.2,2.0,0.0,False,0.79
47,-300.4,4.0,0.0,False,0.786
48,-300.3,3.0,0.0,False,0.782
49,-190.5,5.0,1.0,False,0.778
50,-190.2,2.0,1.0,False,0.774
51,-300.2,2.0,0.0,False,0.771
52,-300.5,5.0,0.0,False,0.767
53,-190.7,7.0,1.0,False,0.763
54,-190.5,5.0,1.0,False,0.759
55,-190.5,5.0,1.0,False,0.755
56,-300.3,3.0,0.0,False,0.751
57,-300.4,4.0,0.0,False,0.748
58,-190.7,7.0,1.0,False,0.744
59,-300.2,2.0,0.0,False,0.74
60,-190.5,5.0,1.0,False,0.737
61,-300.2,2.0,0.0,False,0.733
62,-300.6,6.0,0.0,False,0.729
63,-300.3,3.0,0.0,False,0.726
64,-190.3,3.0,1.0,False,0.722
65,-190.3,3.0,1.0,False,0.718
66,-300.9,9.0,0.0,False,0.715
67,-300.2,2.0,0.0,False,0.711
68,-190.9,9.0,1.0,False,0.708
69,-70.8,8.0,2.0,False,0.704
70,-190.4,4.0,1.0,False,0.701
71,-300.8,8.0,0.0,False,0.697
72,-190.9,9.0,1.0,False,0.694
73,-190.7,7.0,1.0,False,0.69
74,-300.3,3.0,0.0,False,0.687
75,-190.8,8.0,1.0,False,0.683
76,-300.5,5.0,0.0,False,0.68
77,-300.3,3.0,0.0,False,0.676
78,-300.3,3.0,0.0,False,0.673
79,-300.3,3.0,0.0,False,0.67
80,-300.2,2.0,0.0,False,0.666
81,-70.7,7.0,2.0,False,0.663
82,-190.3,3.0,1.0,False,0.66
83,-300.5,5.0,0.0,False,0.656
84,-190.2,2.0,1.0,False,0.653
85,-190.5,5.0,1.0,False,0.65
86,-190.3,3.0,1.0,False,0.647
87,-190.7,7.0,1.0,False,0.643
88,-190.3,3.0,1.0,False,0.64
89,-190.5,5.0,1.0,False,0.637
90,-300.2,2.0,0.0,False,0.634
91,-190.2,2.0,1.0,False,0.631
92,-300.2,2.0,0.0,False,0.627
93,-300.3,3.0,0.0,False,0.624
