episode,reward,steps,score,win,epsilon
0,-299.95,9.0,0.0,False,0.995
1,-300.2,4.0,0.0,False,0.99
2,-188.35,7.0,1.0,False,0.985
3,-187.95,9.0,1.0,False,0.98
4,-300.2,4.0,0.0,False,0.975
5,-300.35,7.0,0.0,False,0.97
6,-300.9,8.0,0.0,False,0.966
7,-299.25,5.0,0.0,False,0.961
8,-298.45,9.0,0.0,False,0.956
9,-300.35,7.0,0.0,False,0.951
10,-300.6,2.0,0.0,False,0.946
11,-299.0,10.0,0.0,False,0.942
12,-189.2,14.0,1.0,False,0.937
13,-298.7,4.0,0.0,False,0.932
14,-298.7,4.0,0.0,False,0.928
15,-300.6,2.0,0.0,False,0.923
16,-300.75,5.0,0.0,False,0.918
17,-299.65,3.0,0.0,False,0.914
18,-297.65,13.0,0.0,False,0.909
19,-186.85,7.0,1.0,False,0.905
20,-299.4,8.0,0.0,False,0.9
21,-300.6,2.0,0.0,False,0.896
22,-301.15,3.0,0.0,False,0.891
23,-298.75,15.0,0.0,False,0.887
24,-298.15,3.0,0.0,False,0.882
25,-188.2,4.0,1.0,False,0.878
26,-299.65,3.0,0.0,False,0.873
27,-300.75,5.0,0.0,False,0.869
28,-301.15,3.0,0.0,False,0.865
29,-187.25,5.0,1.0,False,0.86
30,-297.75,5.0,0.0,False,0.856
31,-66.776,5.0,2.0,False,0.852
32,-191.2,4.0,1.0,False,0.848
33,-190.1,2.0,1.0,False,0.843
34,-189.15,3.0,1.0,False,0.839
35,-300.6,2.0,0.0,False,0.835
36,-299.0,10.0,0.0,False,0.831
37,-297.9,8.0,0.0,False,0.827
38,-188.9,8.0,1.0,False,0.822
39,-300.35,7.0,0.0,False,0.818
40,-298.15,3.0,0.0,False,0.814
41,-299.8,6.0,0.0,False,0.81
42,-299.1,2.0,0.0,False,0.806
43,-187.0,10.0,1.0,False,0.802
44,-188.35,7.0,1.0,False,0.798
45,-300.9,8.0,0.0,False,0.794
46,-301.7,4.0,0.0,False,0.79
47,-189.7,4.0,1.0,False,0.786
48,-299.8,6.0,0.0,False,0.782
49,-188.25,15.0,1.0,False,0.778
50,-188.0,20.0,1.0,False,0.774
51,-187.0,10.0,1.0,False,0.771
52,-300.2,4.0,0.0,False,0.767
53,-297.5,10.0,0.0,False,0.763
54,-190.25,5.0,1.0,False,0.759
55,-298.85,7.0,0.0,False,0.755
56,-67.726,4.0,2.0,False,0.751
57,-298.2,14.0,0.0,False,0.748
58,-185.95,19.0,1.0,False,0.744
59,-188.9,8.0,1.0,False,0.74
60,-189.05,11.0,1.0,False,0.737
61,-300.6,2.0,0.0,False,0.733
62,-299.65,3.0,0.0,False,0.729
63,-188.2,4.0,1.0,False,0.726
64,-189.15,3.0,1.0,False,0.722
65,-185.8,16.0,1.0,False,0.718
66,-187.25,5.0,1.0,False,0.715
67,-300.2,4.0,0.0,False,0.711
68,-299.1,2.0,0.0,False,0.708
69,-300.6,2.0,0.0,False,0.704
70,74.896,9.0,3.0,False,0.701
71,-298.7,4.0,0.0,False,0.697
72,-301.15,3.0,0.0,False,0.694
73,-299.1,2.0,0.0,False,0.69
74,-188.5,10.0,1.0,False,0.687
75,-299.1,2.0,0.0,False,0.683
76,-299.15,13.0,0.0,False,0.68
77,-189.6,12.0,1.0,False,0.676
78,-186.75,15.0,1.0,False,0.673
79,-186.2,14.0,1.0,False,0.67
80,-188.95,19.0,1.0,False,0.666
81,-187.8,6.0,1.0,False,0.663
82,-186.45,9.0,1.0,False,0.66
83,-300.6,2.0,0.0,False,0.656
84,-297.75,5.0,0.0,False,0.653
85,-64.876,7.0,2.0,False,0.65
86,-187.4,8.0,1.0,False,0.647
87,-188.2,4.0,1.0,False,0.643
88,-187.4,8.0,1.0,False,0.64
89,-65.826,6.0,2.0,False,0.637
90,-298.15,3.0,0.0,False,0.634
91,-65.976,9.0,2.0,False,0.631
92,-300.1,12.0,0.0,False,0.627
93,-187.25,5.0,1.0,False,0.624
94,-300.75,5.0,0.0,False,0.621
95,-186.45,9.0,1.0,False,0.618
96,-299.25,5.0,0.0,False,0.615
