episode,reward,steps,score,win,epsilon
0,-190.25,5.0,1.0,False,0.995
1,-301.15,3.0,0.0,False,0.99
2,-187.8,6.0,1.0,False,0.985
3,-300.35,7.0,0.0,False,0.98
4,-300.2,4.0,0.0,False,0.975
5,-184.7,14.0,1.0,False,0.97
6,-189.7,4.0,1.0,False,0.966
7,-300.2,4.0,0.0,False,0.961
8,-297.9,8.0,0.0,False,0.956
9,-188.1,12.0,1.0,False,0.951
10,-300.75,5.0,0.0,False,0.946
11,-299.95,9.0,0.0,False,0.942
12,-188.9,8.0,1.0,False,0.937
13,-299.95,9.0,0.0,False,0.932
14,-298.3,6.0,0.0,False,0.928
15,-298.3,6.0,0.0,False,0.923
16,-189.3,6.0,1.0,False,0.918
17,-299.25,5.0,0.0,False,0.914
18,-189.3,6.0,1.0,False,0.909
19,-299.55,11.0,0.0,False,0.905
20,-188.35,7.0,1.0,False,0.9
21,-299.8,6.0,0.0,False,0.896
22,-187.95,9.0,1.0,False,0.891
23,-298.85,7.0,0.0,False,0.887
24,-299.65,3.0,0.0,False,0.882
25,-187.55,11.0,1.0,False,0.878
26,-190.4,8.0,1.0,False,0.873
27,-188.1,12.0,1.0,False,0.869
28,-188.65,13.0,1.0,False,0.865
29,-297.75,5.0,0.0,False,0.86
30,-298.7,4.0,0.0,False,0.856
31,-300.2,4.0,0.0,False,0.852
32,-300.6,2.0,0.0,False,0.848
33,-300.6,2.0,0.0,False,0.843
34,-300.75,5.0,0.0,False,0.839
35,-298.7,4.0,0.0,False,0.835
36,-188.35,7.0,1.0,False,0.831
37,-299.1,2.0,0.0,False,0.827
38,-300.6,2.0,0.0,False,0.822
39,-299.1,2.0,0.0,False,0.818
40,-188.35,7.0,1.0,False,0.814
41,-298.7,4.0,0.0,False,0.81
42,-299.1,2.0,0.0,False,0.806
43,-300.6,2.0,0.0,False,0.802
44,-297.75,5.0,0.0,False,0.798
45,-186.2,14.0,1.0,False,0.794
46,-297.25,15.0,0.0,False,0.79
47,-190.4,8.0,1.0,False,0.786
48,-186.05,11.0,1.0,False,0.782
49,-299.4,8.0,0.0,False,0.778
50,-190.1,2.0,1.0,False,0.774
51,-186.35,17.0,1.0,False,0.771
52,-301.15,3.0,0.0,False,0.767
53,-63.526,10.0,2.0,False,0.763
54,-187.3,16.0,1.0,False,0.759
55,-299.65,3.0,0.0,False,0.755
56,-66.776,5.0,2.0,False,0.751
57,-186.85,7.0,1.0,False,0.748
58,-189.85,7.0,1.0,False,0.744
59,-299.25,5.0,0.0,False,0.74
60,-298.45,9.0,0.0,False,0.737
61,-297.5,10.0,0.0,False,0.733
62,-298.45,9.0,0.0,False,0.729
63,-188.1,12.0,1.0,False,0.726
64,-299.95,9.0,0.0,False,0.722
65,-187.4,8.0,1.0,False,0.718
66,-64.326,6.0,2.0,False,0.715
67,-298.7,4.0,0.0,False,0.711
68,-298.05,11.0,0.0,False,0.708
69,-67.326,6.0,2.0,False,0.704
70,-188.1,12.0,1.0,False,0.701
71,-299.65,3.0,0.0,False,0.697
72,-188.35,7.0,1.0,False,0.694
73,-298.7,4.0,0.0,False,0.69
