episode,reward,steps,score,win,epsilon
0,-299.25,5.0,0.0,False,0.995
1,-296.15,13.0,0.0,False,0.99
2,-298.6,12.0,0.0,False,0.985
3,-189.45,9.0,1.0,False,0.98
4,-299.8,6.0,0.0,False,0.975
5,-297.5,10.0,0.0,False,0.97
6,-301.15,3.0,0.0,False,0.966
7,-301.85,7.0,0.0,False,0.961
8,-300.6,2.0,0.0,False,0.956
9,-299.1,2.0,0.0,False,0.951
10,-189.7,4.0,1.0,False,0.946
11,-63.926,8.0,2.0,False,0.942
12,-299.65,3.0,0.0,False,0.937
13,-299.0,10.0,0.0,False,0.932
14,-300.6,2.0,0.0,False,0.928
15,-301.15,3.0,0.0,False,0.923
16,-301.15,3.0,0.0,False,0.918
17,-299.65,3.0,0.0,False,0.914
18,-186.2,14.0,1.0,False,0.909
19,-300.6,2.0,0.0,False,0.905
20,-299.0,10.0,0.0,False,0.9
21,-299.25,5.0,0.0,False,0.896
22,-299.8,6.0,0.0,False,0.891
23,-298.85,7.0,0.0,False,0.887
24,-299.25,5.0,0.0,False,0.882
25,-301.15,3.0,0.0,False,0.878
26,-299.65,3.0,0.0,False,0.873
27,-300.2,4.0,0.0,False,0.869
28,-300.75,5.0,0.0,False,0.865
29,-187.8,6.0,1.0,False,0.86
30,-190.1,2.0,1.0,False,0.856
31,-298.7,4.0,0.0,False,0.852
32,-300.2,4.0,0.0,False,0.848
33,-299.65,3.0,0.0,False,0.843
34,-300.6,2.0,0.0,False,0.839
35,-297.75,5.0,0.0,False,0.835
36,-301.3,6.0,0.0,False,0.831
37,-299.65,3.0,0.0,False,0.827
38,-63.676,13.0,2.0,False,0.822
39,-298.7,4.0,0.0,False,0.818
40,-299.25,5.0,0.0,False,0.814
41,-299.25,5.0,0.0,False,0.81
42,-301.7,4.0,0.0,False,0.806
43,-300.6,2.0,0.0,False,0.802
44,-298.3,6.0,0.0,False,0.798
45,-66.776,5.0,2.0,False,0.794
46,-297.5,10.0,0.0,False,0.79
47,-299.65,3.0,0.0,False,0.786
48,-299.65,3.0,0.0,False,0.782
49,-188.2,4.0,1.0,False,0.778
50,-300.6,2.0,0.0,False,0.774
51,-301.3,6.0,0.0,False,0.771
52,-300.2,4.0,0.0,False,0.767
53,-298.05,11.0,0.0,False,0.763
54,-64.876,7.0,2.0,False,0.759
55,-299.95,9.0,0.0,False,0.755
56,-297.75,5.0,0.0,False,0.751
57,-189.7,4.0,1.0,False,0.748
58,-188.35,7.0,1.0,False,0.744
59,-297.9,8.0,0.0,False,0.74
60,72.846,10.0,3.0,False,0.737
61,-298.85,7.0,0.0,False,0.733
62,-298.85,7.0,0.0,False,0.729
63,-300.2,4.0,0.0,False,0.726
64,-297.15,23.0,0.0,False,0.722
65,-297.65,13.0,0.0,False,0.718
66,-298.3,6.0,0.0,False,0.715
67,-190.95,9.0,1.0,False,0.711
68,-299.7,14.0,0.0,False,0.708
69,-301.85,7.0,0.0,False,0.704
70,-300.75,5.0,0.0,False,0.701
71,-301.15,3.0,0.0,False,0.697
72,-300.2,4.0,0.0,False,0.694
73,-298.45,9.0,0.0,False,0.69
74,-190.65,3.0,1.0,False,0.687
75,-186.45,9.0,1.0,False,0.683
76,-298.6,12.0,0.0,False,0.68
77,-297.35,7.0,0.0,False,0.676
78,-189.15,3.0,1.0,False,0.673
79,-300.6,2.0,0.0,False,0.67
80,-188.35,7.0,1.0,False,0.666
81,-299.8,6.0,0.0,False,0.663
82,-296.85,17.0,0.0,False,0.66
83,-295.9,18.0,0.0,False,0.656
84,-298.15,3.0,0.0,False,0.653
85,-298.3,6.0,0.0,False,0.65
86,-300.9,8.0,0.0,False,0.647
87,-299.95,9.0,0.0,False,0.643
88,-299.25,5.0,0.0,False,0.64
89,-188.75,5.0,1.0,False,0.637
90,-64.326,6.0,2.0,False,0.634
91,-300.5,10.0,0.0,False,0.631
92,-298.7,4.0,0.0,False,0.627
93,-62.426,8.0,2.0,False,0.624
94,-300.2,4.0,0.0,False,0.621
95,-187.55,11.0,1.0,False,0.618
96,-188.75,5.0,1.0,False,0.615
97,-186.75,15.0,1.0,False,0.612
98,-186.05,11.0,1.0,False,0.609
99,-64.476,9.0,2.0,False,0.606
100,-297.9,8.0,0.0,False,0.603
101,-298.3,6.0,0.0,False,0.6
102,-62.976,9.0,2.0,False,0.597
103,-190.25,5.0,1.0,False,0.594
104,-186.3,6.0,1.0,False,0.591
105,-186.2,14.0,1.0,False,0.588
106,-300.6,2.0,0.0,False,0.585
107,-187.4,8.0,1.0,False,0.582
108,-297.9,8.0,0.0,False,0.579
109,-187.8,6.0,1.0,False,0.576
110,-63.526,10.0,2.0,False,0.573
111,-187.95,9.0,1.0,False,0.57
112,-186.1,22.0,1.0,False,0.568
113,-64.876,7.0,2.0,False,0.565
114,-186.75,15.0,1.0,False,0.562
115,72.996,7.0,3.0,False,0.559
116,-64.626,12.0,2.0,False,0.556
117,-187.4,8.0,1.0,False,0.554
118,-60.676,13.0,2.0,False,0.551
119,-300.6,2.0,0.0,False,0.548
120,-63.926,8.0,2.0,False,0.545
121,-299.8,6.0,0.0,False,0.543
122,227.626,10.0,4.0,False,0.54
123,-185.9,8.0,1.0,False,0.537
124,-187.8,6.0,1.0,False,0.534
125,-64.326,6.0,2.0,False,0.532
126,-300.35,7.0,0.0,False,0.529
127,228.276,17.0,4.0,False,0.526
128,-298.15,3.0,0.0,False,0.524
129,-187.55,11.0,1.0,False,0.521
130,-299.65,3.0,0.0,False,0.519
131,-298.3,6.0,0.0,False,0.516
