episode,reward,steps,score,win,epsilon
0,-301.15,3.0,0.0,False,0.995
1,-301.15,3.0,0.0,False,0.99
2,-189.15,3.0,1.0,False,0.985
3,-297.15,23.0,0.0,False,0.98
4,-301.3,6.0,0.0,False,0.975
5,-299.25,5.0,0.0,False,0.97
6,-298.85,7.0,0.0,False,0.966
7,-188.35,7.0,1.0,False,0.961
8,-301.15,3.0,0.0,False,0.956
9,-186.75,15.0,1.0,False,0.951
10,-298.05,11.0,0.0,False,0.946
11,-299.1,2.0,0.0,False,0.942
12,-301.15,3.0,0.0,False,0.937
13,-299.25,5.0,0.0,False,0.932
14,-191.2,4.0,1.0,False,0.928
15,-65.276,5.0,2.0,False,0.923
16,-297.65,13.0,0.0,False,0.918
17,-301.7,4.0,0.0,False,0.914
18,-301.3,6.0,0.0,False,0.909
19,-300.2,4.0,0.0,False,0.905
20,-300.75,5.0,0.0,False,0.9
21,-298.05,11.0,0.0,False,0.896
22,-66.226,4.0,2.0,False,0.891
23,-300.2,4.0,0.0,False,0.887
24,-186.45,9.0,1.0,False,0.882
25,-189.7,4.0,1.0,False,0.878
26,-299.1,2.0,0.0,False,0.873
27,-298.2,14.0,0.0,False,0.869
28,71.496,7.0,3.0,False,0.865
29,-297.75,5.0,0.0,False,0.86
30,-297.9,8.0,0.0,False,0.856
31,-67.176,3.0,2.0,False,0.852
32,-298.05,11.0,0.0,False,0.848
33,-300.35,7.0,0.0,False,0.843
34,-297.65,13.0,0.0,False,0.839
35,-299.65,3.0,0.0,False,0.835
36,-187.95,9.0,1.0,False,0.831
37,-186.75,15.0,1.0,False,0.827
38,-299.8,6.0,0.0,False,0.822
39,-66.376,7.0,2.0,False,0.818
40,-64.876,7.0,2.0,False,0.814
41,-299.65,3.0,0.0,False,0.81
42,-294.8,16.0,0.0,False,0.806
43,-298.6,12.0,0.0,False,0.802
44,-298.75,15.0,0.0,False,0.798
45,-296.85,17.0,0.0,False,0.794
46,-186.35,17.0,1.0,False,0.79
47,-300.75,5.0,0.0,False,0.786
48,-186.85,7.0,1.0,False,0.782
49,-299.65,3.0,0.0,False,0.778
50,-300.6,2.0,0.0,False,0.774
51,-295.9,18.0,0.0,False,0.771
52,-187.8,6.0,1.0,False,0.767
53,-299.0,10.0,0.0,False,0.763
54,-299.65,3.0,0.0,False,0.759
55,-300.75,5.0,0.0,False,0.755
56,-299.25,5.0,0.0,False,0.751
57,-187.4,8.0,1.0,False,0.748
58,-188.75,5.0,1.0,False,0.744
59,-185.1,12.0,1.0,False,0.74
60,-188.2,4.0,1.0,False,0.737
61,-300.6,2.0,0.0,False,0.733
62,-297.35,7.0,0.0,False,0.729
63,-189.85,7.0,1.0,False,0.726
64,-188.75,5.0,1.0,False,0.722
65,-189.15,3.0,1.0,False,0.718
66,-184.7,14.0,1.0,False,0.715
67,-190.25,5.0,1.0,False,0.711
68,-186.2,14.0,1.0,False,0.708
69,-299.65,3.0,0.0,False,0.704
70,-299.25,5.0,0.0,False,0.701
71,-300.6,2.0,0.0,False,0.697
72,-299.1,2.0,0.0,False,0.694
73,-188.2,4.0,1.0,False,0.69
74,-299.65,3.0,0.0,False,0.687
75,-298.7,4.0,0.0,False,0.683
76,-299.65,3.0,0.0,False,0.68
77,-300.2,4.0,0.0,False,0.676
78,-299.8,6.0,0.0,False,0.673
79,-187.25,5.0,1.0,False,0.67
80,-299.65,3.0,0.0,False,0.666
81,-300.75,5.0,0.0,False,0.663
82,-61.376,17.0,2.0,False,0.66
83,-301.15,3.0,0.0,False,0.656
84,-299.65,3.0,0.0,False,0.653
85,-188.35,7.0,1.0,False,0.65
86,-187.55,11.0,1.0,False,0.647
87,-187.8,6.0,1.0,False,0.643
88,-299.65,3.0,0.0,False,0.64
89,-186.45,9.0,1.0,False,0.637
90,-187.15,13.0,1.0,False,0.634
91,-186.6,12.0,1.0,False,0.631
92,-186.05,11.0,1.0,False,0.627
93,-297.75,5.0,0.0,False,0.624
94,-298.45,9.0,0.0,False,0.621
95,-299.4,8.0,0.0,False,0.618
96,-66.376,7.0,2.0,False,0.615
97,-189.15,3.0,1.0,False,0.612
98,-63.126,12.0,2.0,False,0.609
