episode,reward,steps,score,win,epsilon
0,-187.8,6.0,1.0,False,0.995
1,-301.15,3.0,0.0,False,0.99
2,-300.35,7.0,0.0,False,0.985
3,-300.2,4.0,0.0,False,0.98
4,-299.0,10.0,0.0,False,0.975
5,-187.55,11.0,1.0,False,0.97
6,-190.65,3.0,1.0,False,0.966
7,-297.1,12.0,0.0,False,0.961
8,-64.326,6.0,2.0,False,0.956
9,-186.3,6.0,1.0,False,0.951
10,-188.75,5.0,1.0,False,0.946
11,-188.2,4.0,1.0,False,0.942
12,-299.65,3.0,0.0,False,0.937
13,-299.55,11.0,0.0,False,0.932
14,-299.65,3.0,0.0,False,0.928
15,-189.3,6.0,1.0,False,0.923
16,-299.65,3.0,0.0,False,0.918
17,-300.6,2.0,0.0,False,0.914
18,-301.7,4.0,0.0,False,0.909
19,-299.4,8.0,0.0,False,0.905
20,-299.25,5.0,0.0,False,0.9
21,-188.2,4.0,1.0,False,0.896
22,-298.45,9.0,0.0,False,0.891
23,-299.8,6.0,0.0,False,0.887
24,-298.7,4.0,0.0,False,0.882
25,-298.05,11.0,0.0,False,0.878
26,-300.6,2.0,0.0,False,0.873
27,-67.876,7.0,2.0,False,0.869
28,-188.75,5.0,1.0,False,0.865
29,-301.05,11.0,0.0,False,0.86
30,-187.0,10.0,1.0,False,0.856
31,-300.6,2.0,0.0,False,0.852
32,-189.15,3.0,1.0,False,0.848
33,-187.95,9.0,1.0,False,0.843
34,-297.75,5.0,0.0,False,0.839
35,-187.8,6.0,1.0,False,0.835
36,-298.85,7.0,0.0,False,0.831
37,-299.65,3.0,0.0,False,0.827
38,-298.6,12.0,0.0,False,0.822
39,-300.6,2.0,0.0,False,0.818
40,-299.65,3.0,0.0,False,0.814
41,-190.25,5.0,1.0,False,0.81
42,-188.35,7.0,1.0,False,0.806
43,-299.7,14.0,0.0,False,0.802
44,-187.8,6.0,1.0,False,0.798
45,-298.45,9.0,0.0,False,0.794
46,-300.75,5.0,0.0,False,0.79
47,-299.65,3.0,0.0,False,0.786
48,-300.35,7.0,0.0,False,0.782
49,-299.1,2.0,0.0,False,0.778
50,-299.55,11.0,0.0,False,0.774
51,-300.2,4.0,0.0,False,0.771
52,-300.5,10.0,0.0,False,0.767
53,-299.95,9.0,0.0,False,0.763
54,-187.95,9.0,1.0,False,0.759
55,-299.95,9.0,0.0,False,0.755
56,-300.5,10.0,0.0,False,0.751
57,-64.876,7.0,2.0,False,0.748
58,-298.3,6.0,0.0,False,0.744
59,-298.7,4.0,0.0,False,0.74
60,-189.3,6.0,1.0,False,0.737
61,-299.8,6.0,0.0,False,0.733
62,-300.2,4.0,0.0,False,0.729
63,-298.05,11.0,0.0,False,0.726
64,-296.3,16.0,0.0,False,0.722
65,-301.3,6.0,0.0,False,0.718
66,-300.6,2.0,0.0,False,0.715
67,-187.55,11.0,1.0,False,0.711
68,-299.8,6.0,0.0,False,0.708
69,-64.876,7.0,2.0,False,0.704
70,-300.2,4.0,0.0,False,0.701
71,-300.6,2.0,0.0,False,0.697
72,-62.576,11.0,2.0,False,0.694
73,-298.45,9.0,0.0,False,0.69
74,-300.75,5.0,0.0,False,0.687
75,-295.6,12.0,0.0,False,0.683
76,-190.4,8.0,1.0,False,0.68
77,-64.476,9.0,2.0,False,0.676
78,-301.15,3.0,0.0,False,0.673
79,-299.65,3.0,0.0,False,0.67
80,-189.7,4.0,1.0,False,0.666
81,-64.226,14.0,2.0,False,0.663
82,-299.8,6.0,0.0,False,0.66
83,-300.6,2.0,0.0,False,0.656
84,-297.75,5.0,0.0,False,0.653
85,-298.85,7.0,0.0,False,0.65
86,-299.65,3.0,0.0,False,0.647
87,-186.75,15.0,1.0,False,0.643
88,-188.75,5.0,1.0,False,0.64
89,-300.5,10.0,0.0,False,0.637
90,-189.3,6.0,1.0,False,0.634
91,-299.4,8.0,0.0,False,0.631
92,-298.7,4.0,0.0,False,0.627
93,-300.6,2.0,0.0,False,0.624
94,-183.95,29.0,1.0,False,0.621
95,-189.05,11.0,1.0,False,0.618
96,-186.6,12.0,1.0,False,0.615
97,-186.75,15.0,1.0,False,0.612
98,-300.9,8.0,0.0,False,0.609
99,-299.25,5.0,0.0,False,0.606
100,-300.2,4.0,0.0,False,0.603
101,-298.85,7.0,0.0,False,0.6
102,-298.3,6.0,0.0,False,0.597
103,-67.726,4.0,2.0,False,0.594
104,-297.35,7.0,0.0,False,0.591
105,-64.626,12.0,2.0,False,0.588
106,-65.276,5.0,2.0,False,0.585
107,-297.1,12.0,0.0,False,0.582
108,-296.95,9.0,0.0,False,0.579
109,-184.45,19.0,1.0,False,0.576
110,-297.9,8.0,0.0,False,0.573
111,-301.15,3.0,0.0,False,0.57
112,-300.6,2.0,0.0,False,0.568
113,-190.8,6.0,1.0,False,0.565
114,-182.85,27.0,1.0,False,0.562
115,-189.3,6.0,1.0,False,0.559
116,-188.9,8.0,1.0,False,0.556
117,-301.15,3.0,0.0,False,0.554
118,-295.35,17.0,0.0,False,0.551
119,-299.65,3.0,0.0,False,0.548
120,-185.65,13.0,1.0,False,0.545
121,-300.75,5.0,0.0,False,0.543
122,-188.9,8.0,1.0,False,0.54
123,-187.0,10.0,1.0,False,0.537
124,-188.75,5.0,1.0,False,0.534
125,-299.95,9.0,0.0,False,0.532
126,-188.4,18.0,1.0,False,0.529
127,-60.826,16.0,2.0,False,0.526
128,-188.75,5.0,1.0,False,0.524
129,-190.1,2.0,1.0,False,0.521
130,-298.05,11.0,0.0,False,0.519
131,-187.95,9.0,1.0,False,0.516
132,-186.75,15.0,1.0,False,0.513
133,-300.75,5.0,0.0,False,0.511
134,-299.1,2.0,0.0,False,0.508
135,-188.25,15.0,1.0,False,0.506
136,-186.2,14.0,1.0,False,0.503
137,-298.85,7.0,0.0,False,0.501
138,-63.526,10.0,2.0,False,0.498
139,-185.95,19.0,1.0,False,0.496
140,-188.75,5.0,1.0,False,0.493
141,-62.476,19.0,2.0,False,0.491
142,-297.8,16.0,0.0,False,0.488
143,-186.2,14.0,1.0,False,0.486
144,-63.376,7.0,2.0,False,0.483
145,-186.85,7.0,1.0,False,0.481
146,-298.05,11.0,0.0,False,0.479
147,-190.95,9.0,1.0,False,0.476
148,-64.776,15.0,2.0,False,0.474
149,-301.15,3.0,0.0,False,0.471
150,-186.2,14.0,1.0,False,0.469
151,-188.2,4.0,1.0,False,0.467
152,-65.976,9.0,2.0,False,0.464
153,-63.676,13.0,2.0,False,0.462
154,-300.6,2.0,0.0,False,0.46
155,-189.7,4.0,1.0,False,0.458
156,-298.85,7.0,0.0,False,0.455
157,-187.8,6.0,1.0,False,0.453
158,-65.026,10.0,2.0,False,0.451
159,-189.15,3.0,1.0,False,0.448
160,-299.95,9.0,0.0,False,0.446
161,-298.7,4.0,0.0,False,0.444
162,-298.05,11.0,0.0,False,0.442
163,-190.1,2.0,1.0,False,0.44
164,-182.4,18.0,1.0,False,0.437
165,-60.276,15.0,2.0,False,0.435
166,-299.95,9.0,0.0,False,0.433
167,-188.75,5.0,1.0,False,0.431
168,-189.7,4.0,1.0,False,0.429
169,-187.0,10.0,1.0,False,0.427
170,-297.2,4.0,0.0,False,0.424
171,-188.35,7.0,1.0,False,0.422
172,-65.276,5.0,2.0,False,0.42
173,-62.726,14.0,2.0,False,0.418
174,-64.476,9.0,2.0,False,0.416
175,-299.1,2.0,0.0,False,0.414
176,-185.95,19.0,1.0,False,0.412
177,-64.876,7.0,2.0,False,0.41
178,-188.35,7.0,1.0,False,0.408
179,-298.45,9.0,0.0,False,0.406
180,-66.226,4.0,2.0,False,0.404
181,-59.776,25.0,2.0,False,0.402
182,-188.2,4.0,1.0,False,0.4
183,-187.4,8.0,1.0,False,0.398
184,-186.45,9.0,1.0,False,0.396
185,-299.1,2.0,0.0,False,0.394
186,-189.7,4.0,1.0,False,0.392
187,-186.3,6.0,1.0,False,0.39
188,-188.2,4.0,1.0,False,0.388
189,-186.6,12.0,1.0,False,0.386
190,72.846,10.0,3.0,False,0.384
191,-189.15,3.0,1.0,False,0.382
192,-183.9,18.0,1.0,False,0.38
193,-188.35,7.0,1.0,False,0.378
194,-62.026,10.0,2.0,False,0.376
195,-186.2,14.0,1.0,False,0.374
196,-299.1,2.0,0.0,False,0.373
197,-300.75,5.0,0.0,False,0.371
198,-54.826,46.0,2.0,False,0.369
199,-60.226,34.0,2.0,False,0.367
200,-186.45,9.0,1.0,False,0.365
201,-298.7,4.0,0.0,False,0.363
202,-188.2,4.0,1.0,False,0.361
203,-62.026,10.0,2.0,False,0.36
204,-189.15,3.0,1.0,False,0.358
205,-298.3,6.0,0.0,False,0.356
206,-64.476,9.0,2.0,False,0.354
207,-63.926,8.0,2.0,False,0.353
208,76.796,11.0,3.0,False,0.351
209,-65.826,6.0,2.0,False,0.349
210,-62.176,13.0,2.0,False,0.347
211,-65.426,8.0,2.0,False,0.346
212,-63.276,15.0,2.0,False,0.344
